Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 310 | GridSize: 29
Generation 2 | Revalues: 512 | GridSize: 18
Generation 3 | Revalues: 722 | GridSize: 20
Generation 4 | Revalues: 916 | GridSize: 30
Generation 5 | Revalues: 1138 | GridSize: 31
Generation 6 | Revalues: 1330 | GridSize: 32
Generation 7 | Revalues: 1532 | GridSize: 42
Generation 8 | Revalues: 1722 | GridSize: 34
Generation 9 | Revalues: 1908 | GridSize: 33
Generation 10 | Revalues: 2114 | GridSize: 34
Generation 11 | Revalues: 2284 | GridSize: 33
Generation 12 | Revalues: 2482 | GridSize: 36
Generation 13 | Revalues: 2670 | GridSize: 35
Generation 14 | Revalues: 2872 | GridSize: 37
Generation 15 | Revalues: 3092 | GridSize: 34
Generation 16 | Revalues: 3258 | GridSize: 39
Generation 17 | Revalues: 3468 | GridSize: 36
Generation 18 | Revalues: 3688 | GridSize: 43
Generation 19 | Revalues: 3876 | GridSize: 36
Generation 20 | Revalues: 4072 | GridSize: 42
Generation 21 | Revalues: 4276 | GridSize: 47
Generation 22 | Revalues: 4490 | GridSize: 52
Generation 23 | Revalues: 4702 | GridSize: 37
Generation 24 | Revalues: 4866 | GridSize: 32
Generation 25 | Revalues: 5072 | GridSize: 54
Generation 26 | Revalues: 5258 | GridSize: 38
Generation 27 | Revalues: 5476 | GridSize: 42
Generation 28 | Revalues: 5676 | GridSize: 35
Generation 29 | Revalues: 5848 | GridSize: 41
Generation 30 | Revalues: 6036 | GridSize: 50
Generation 31 | Revalues: 6236 | GridSize: 49
Generation 32 | Revalues: 6444 | GridSize: 42
Generation 33 | Revalues: 6658 | GridSize: 44
Generation 34 | Revalues: 6870 | GridSize: 52
Generation 35 | Revalues: 7074 | GridSize: 61
Generation 36 | Revalues: 7270 | GridSize: 52
Generation 37 | Revalues: 7490 | GridSize: 63
Generation 38 | Revalues: 7690 | GridSize: 55
Generation 39 | Revalues: 7878 | GridSize: 63
Generation 40 | Revalues: 8096 | GridSize: 59
Generation 41 | Revalues: 8288 | GridSize: 60
Generation 42 | Revalues: 8462 | GridSize: 72
Generation 43 | Revalues: 8678 | GridSize: 74
Generation 44 | Revalues: 8876 | GridSize: 57
Generation 45 | Revalues: 9054 | GridSize: 50
Generation 46 | Revalues: 9264 | GridSize: 49
Generation 47 | Revalues: 9452 | GridSize: 68
Generation 48 | Revalues: 9670 | GridSize: 77
Generation 49 | Revalues: 9864 | GridSize: 68
Generation 50 | Revalues: 10078 | GridSize: 60
Generation 51 | Revalues: 10268 | GridSize: 67
