Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 316 | GridSize: 7
Generation 2 | Revalues: 528 | GridSize: 8
Generation 3 | Revalues: 772 | GridSize: 13
Generation 4 | Revalues: 978 | GridSize: 8
Generation 5 | Revalues: 1216 | GridSize: 9
Generation 6 | Revalues: 1480 | GridSize: 9
Generation 7 | Revalues: 1692 | GridSize: 8
Generation 8 | Revalues: 1946 | GridSize: 8
Generation 9 | Revalues: 2148 | GridSize: 11
Generation 10 | Revalues: 2406 | GridSize: 5
Generation 11 | Revalues: 2634 | GridSize: 8
Generation 12 | Revalues: 2852 | GridSize: 9
Generation 13 | Revalues: 3082 | GridSize: 7
Generation 14 | Revalues: 3304 | GridSize: 17
Generation 15 | Revalues: 3526 | GridSize: 19
Generation 16 | Revalues: 3782 | GridSize: 16
Generation 17 | Revalues: 4034 | GridSize: 23
Generation 18 | Revalues: 4234 | GridSize: 24
Generation 19 | Revalues: 4460 | GridSize: 20
Generation 20 | Revalues: 4688 | GridSize: 21
Generation 21 | Revalues: 4920 | GridSize: 26
Generation 22 | Revalues: 5110 | GridSize: 31
Generation 23 | Revalues: 5338 | GridSize: 28
Generation 24 | Revalues: 5580 | GridSize: 23
Generation 25 | Revalues: 5786 | GridSize: 14
Generation 26 | Revalues: 6014 | GridSize: 29
Generation 27 | Revalues: 6230 | GridSize: 25
Generation 28 | Revalues: 6456 | GridSize: 24
Generation 29 | Revalues: 6672 | GridSize: 27
Generation 30 | Revalues: 6890 | GridSize: 32
Generation 31 | Revalues: 7102 | GridSize: 37
Generation 32 | Revalues: 7324 | GridSize: 29
Generation 33 | Revalues: 7558 | GridSize: 38
Generation 34 | Revalues: 7762 | GridSize: 31
Generation 35 | Revalues: 7994 | GridSize: 27
Generation 36 | Revalues: 8208 | GridSize: 32
Generation 37 | Revalues: 8454 | GridSize: 39
Generation 38 | Revalues: 8662 | GridSize: 24
Generation 39 | Revalues: 8906 | GridSize: 33
Generation 40 | Revalues: 9114 | GridSize: 38
Generation 41 | Revalues: 9364 | GridSize: 32
Generation 42 | Revalues: 9598 | GridSize: 26
Generation 43 | Revalues: 9792 | GridSize: 32
Generation 44 | Revalues: 9998 | GridSize: 29
Generation 45 | Revalues: 10212 | GridSize: 36
Generation 46 | Revalues: 10426 | GridSize: 27
Generation 47 | Revalues: 10648 | GridSize: 31
Generation 48 | Revalues: 10882 | GridSize: 28
Generation 49 | Revalues: 11122 | GridSize: 42
Generation 50 | Revalues: 11376 | GridSize: 42
Generation 51 | Revalues: 11608 | GridSize: 45
Generation 52 | Revalues: 11844 | GridSize: 46
Generation 53 | Revalues: 12064 | GridSize: 39
Generation 54 | Revalues: 12292 | GridSize: 40
Generation 55 | Revalues: 12534 | GridSize: 33
Generation 56 | Revalues: 12748 | GridSize: 36
Generation 57 | Revalues: 12962 | GridSize: 47
Generation 58 | Revalues: 13184 | GridSize: 36
Generation 59 | Revalues: 13388 | GridSize: 34
Generation 60 | Revalues: 13612 | GridSize: 35
Generation 61 | Revalues: 13816 | GridSize: 46
Generation 62 | Revalues: 14044 | GridSize: 38
Generation 63 | Revalues: 14282 | GridSize: 32
Generation 64 | Revalues: 14510 | GridSize: 33
Generation 65 | Revalues: 14724 | GridSize: 37
Generation 66 | Revalues: 14938 | GridSize: 42
Generation 67 | Revalues: 15166 | GridSize: 32
Generation 68 | Revalues: 15378 | GridSize: 38
Generation 69 | Revalues: 15582 | GridSize: 38
Generation 70 | Revalues: 15810 | GridSize: 30
Generation 71 | Revalues: 15980 | GridSize: 35
Generation 72 | Revalues: 16212 | GridSize: 38
Generation 73 | Revalues: 16410 | GridSize: 44
Generation 74 | Revalues: 16648 | GridSize: 48
Generation 75 | Revalues: 16860 | GridSize: 36
Generation 76 | Revalues: 17094 | GridSize: 34
Generation 77 | Revalues: 17308 | GridSize: 39
Generation 78 | Revalues: 17534 | GridSize: 38
Generation 79 | Revalues: 17746 | GridSize: 38
Generation 80 | Revalues: 17948 | GridSize: 42
Generation 81 | Revalues: 18158 | GridSize: 40
Generation 82 | Revalues: 18360 | GridSize: 43
Generation 83 | Revalues: 18598 | GridSize: 52
Generation 84 | Revalues: 18812 | GridSize: 50
Generation 85 | Revalues: 19034 | GridSize: 53
Generation 86 | Revalues: 19248 | GridSize: 60
Generation 87 | Revalues: 19474 | GridSize: 57
Generation 88 | Revalues: 19706 | GridSize: 54
Generation 89 | Revalues: 19924 | GridSize: 46
Generation 90 | Revalues: 20146 | GridSize: 53
Generation 91 | Revalues: 20346 | GridSize: 56
Generation 92 | Revalues: 20562 | GridSize: 56
Generation 93 | Revalues: 20786 | GridSize: 57
Generation 94 | Revalues: 21004 | GridSize: 60
Generation 95 | Revalues: 21220 | GridSize: 47
Generation 96 | Revalues: 21466 | GridSize: 53
Generation 97 | Revalues: 21666 | GridSize: 51
Generation 98 | Revalues: 21886 | GridSize: 58
Generation 99 | Revalues: 22130 | GridSize: 67
Generation 100 | Revalues: 22358 | GridSize: 63
Generation 101 | Revalues: 22578 | GridSize: 66
Generation 102 | Revalues: 22800 | GridSize: 69
Generation 103 | Revalues: 23022 | GridSize: 62
Generation 104 | Revalues: 23252 | GridSize: 64
Generation 105 | Revalues: 23448 | GridSize: 68
Generation 106 | Revalues: 23670 | GridSize: 64
Generation 107 | Revalues: 23892 | GridSize: 63
Generation 108 | Revalues: 24110 | GridSize: 67
Generation 109 | Revalues: 24324 | GridSize: 74
Generation 110 | Revalues: 24560 | GridSize: 65
Generation 111 | Revalues: 24790 | GridSize: 63
Generation 112 | Revalues: 25020 | GridSize: 69
Generation 113 | Revalues: 25224 | GridSize: 73
Generation 114 | Revalues: 25466 | GridSize: 75
Generation 115 | Revalues: 25686 | GridSize: 73
Generation 116 | Revalues: 25888 | GridSize: 70
Generation 117 | Revalues: 26088 | GridSize: 71
Generation 118 | Revalues: 26322 | GridSize: 65
Generation 119 | Revalues: 26538 | GridSize: 61
Generation 120 | Revalues: 26748 | GridSize: 62
Generation 121 | Revalues: 26958 | GridSize: 67
Generation 122 | Revalues: 27176 | GridSize: 63
Generation 123 | Revalues: 27386 | GridSize: 60
Generation 124 | Revalues: 27590 | GridSize: 60
Generation 125 | Revalues: 27802 | GridSize: 64
Generation 126 | Revalues: 28028 | GridSize: 78
