Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 300 | GridSize: 11
Generation 2 | Revalues: 492 | GridSize: 14
Generation 3 | Revalues: 700 | GridSize: 19
Generation 4 | Revalues: 892 | GridSize: 16
Generation 5 | Revalues: 1092 | GridSize: 19
Generation 6 | Revalues: 1274 | GridSize: 22
Generation 7 | Revalues: 1482 | GridSize: 22
Generation 8 | Revalues: 1658 | GridSize: 23
Generation 9 | Revalues: 1854 | GridSize: 22
Generation 10 | Revalues: 2054 | GridSize: 21
Generation 11 | Revalues: 2254 | GridSize: 23
Generation 12 | Revalues: 2456 | GridSize: 28
Generation 13 | Revalues: 2662 | GridSize: 33
Generation 14 | Revalues: 2858 | GridSize: 30
Generation 15 | Revalues: 3058 | GridSize: 33
Generation 16 | Revalues: 3248 | GridSize: 29
Generation 17 | Revalues: 3454 | GridSize: 24
Generation 18 | Revalues: 3638 | GridSize: 29
Generation 19 | Revalues: 3858 | GridSize: 30
Generation 20 | Revalues: 4056 | GridSize: 28
Generation 21 | Revalues: 4248 | GridSize: 29
Generation 22 | Revalues: 4420 | GridSize: 35
Generation 23 | Revalues: 4600 | GridSize: 36
Generation 24 | Revalues: 4798 | GridSize: 33
Generation 25 | Revalues: 4988 | GridSize: 32
Generation 26 | Revalues: 5186 | GridSize: 28
Generation 27 | Revalues: 5384 | GridSize: 33
Generation 28 | Revalues: 5578 | GridSize: 35
Generation 29 | Revalues: 5756 | GridSize: 38
Generation 30 | Revalues: 5966 | GridSize: 33
Generation 31 | Revalues: 6184 | GridSize: 33
Generation 32 | Revalues: 6386 | GridSize: 34
Generation 33 | Revalues: 6596 | GridSize: 34
Generation 34 | Revalues: 6810 | GridSize: 43
Generation 35 | Revalues: 7012 | GridSize: 48
Generation 36 | Revalues: 7248 | GridSize: 42
Generation 37 | Revalues: 7454 | GridSize: 45
Generation 38 | Revalues: 7676 | GridSize: 47
Generation 39 | Revalues: 7864 | GridSize: 49
Generation 40 | Revalues: 8092 | GridSize: 50
Generation 41 | Revalues: 8292 | GridSize: 51
Generation 42 | Revalues: 8496 | GridSize: 49
Generation 43 | Revalues: 8690 | GridSize: 51
Generation 44 | Revalues: 8896 | GridSize: 51
Generation 45 | Revalues: 9116 | GridSize: 49
Generation 46 | Revalues: 9318 | GridSize: 51
Generation 47 | Revalues: 9536 | GridSize: 52
Generation 48 | Revalues: 9750 | GridSize: 46
Generation 49 | Revalues: 9932 | GridSize: 48
Generation 50 | Revalues: 10134 | GridSize: 49
Generation 51 | Revalues: 10316 | GridSize: 51
Generation 52 | Revalues: 10512 | GridSize: 43
Generation 53 | Revalues: 10688 | GridSize: 43
Generation 54 | Revalues: 10910 | GridSize: 45
Generation 55 | Revalues: 11094 | GridSize: 47
Generation 56 | Revalues: 11304 | GridSize: 44
Generation 57 | Revalues: 11520 | GridSize: 50
Generation 58 | Revalues: 11718 | GridSize: 51
Generation 59 | Revalues: 11928 | GridSize: 51
Generation 60 | Revalues: 12112 | GridSize: 44
Generation 61 | Revalues: 12308 | GridSize: 44
Generation 62 | Revalues: 12520 | GridSize: 56
Generation 63 | Revalues: 12730 | GridSize: 55
Generation 64 | Revalues: 12940 | GridSize: 59
Generation 65 | Revalues: 13142 | GridSize: 63
Generation 66 | Revalues: 13342 | GridSize: 56
Generation 67 | Revalues: 13540 | GridSize: 57
Generation 68 | Revalues: 13722 | GridSize: 56
Generation 69 | Revalues: 13922 | GridSize: 54
Generation 70 | Revalues: 14134 | GridSize: 50
Generation 71 | Revalues: 14318 | GridSize: 52
Generation 72 | Revalues: 14490 | GridSize: 48
Generation 73 | Revalues: 14698 | GridSize: 52
Generation 74 | Revalues: 14894 | GridSize: 49
Generation 75 | Revalues: 15106 | GridSize: 50
Generation 76 | Revalues: 15302 | GridSize: 56
Generation 77 | Revalues: 15484 | GridSize: 58
Generation 78 | Revalues: 15688 | GridSize: 53
Generation 79 | Revalues: 15886 | GridSize: 59
Generation 80 | Revalues: 16112 | GridSize: 64
Generation 81 | Revalues: 16318 | GridSize: 64
Generation 82 | Revalues: 16506 | GridSize: 66
Generation 83 | Revalues: 16688 | GridSize: 68
Generation 84 | Revalues: 16884 | GridSize: 75
Generation 85 | Revalues: 17098 | GridSize: 69
Generation 86 | Revalues: 17264 | GridSize: 69
Generation 87 | Revalues: 17458 | GridSize: 64
Generation 88 | Revalues: 17668 | GridSize: 66
Generation 89 | Revalues: 17866 | GridSize: 69
Generation 90 | Revalues: 18070 | GridSize: 69
Generation 91 | Revalues: 18250 | GridSize: 69
Generation 92 | Revalues: 18448 | GridSize: 77
Generation 93 | Revalues: 18660 | GridSize: 78
Generation 94 | Revalues: 18878 | GridSize: 79
Generation 95 | Revalues: 19072 | GridSize: 76
Generation 96 | Revalues: 19270 | GridSize: 64
Generation 97 | Revalues: 19474 | GridSize: 59
Generation 98 | Revalues: 19702 | GridSize: 61
Generation 99 | Revalues: 19908 | GridSize: 62
Generation 100 | Revalues: 20110 | GridSize: 59
Generation 101 | Revalues: 20306 | GridSize: 64
Generation 102 | Revalues: 20516 | GridSize: 65
Generation 103 | Revalues: 20718 | GridSize: 68
Generation 104 | Revalues: 20920 | GridSize: 73
Generation 105 | Revalues: 21134 | GridSize: 73
Generation 106 | Revalues: 21356 | GridSize: 73
Generation 107 | Revalues: 21570 | GridSize: 67
Generation 108 | Revalues: 21770 | GridSize: 66
Generation 109 | Revalues: 21978 | GridSize: 68
Generation 110 | Revalues: 22176 | GridSize: 67
Generation 111 | Revalues: 22366 | GridSize: 65
Generation 112 | Revalues: 22558 | GridSize: 69
Generation 113 | Revalues: 22774 | GridSize: 68
Generation 114 | Revalues: 22984 | GridSize: 66
Generation 115 | Revalues: 23188 | GridSize: 66
Generation 116 | Revalues: 23386 | GridSize: 63
Generation 117 | Revalues: 23578 | GridSize: 63
Generation 118 | Revalues: 23782 | GridSize: 61
Generation 119 | Revalues: 23996 | GridSize: 62
Generation 120 | Revalues: 24200 | GridSize: 57
Generation 121 | Revalues: 24398 | GridSize: 53
Generation 122 | Revalues: 24576 | GridSize: 59
Generation 123 | Revalues: 24770 | GridSize: 60
Generation 124 | Revalues: 24948 | GridSize: 55
Generation 125 | Revalues: 25138 | GridSize: 54
Generation 126 | Revalues: 25328 | GridSize: 54
Generation 127 | Revalues: 25516 | GridSize: 58
Generation 128 | Revalues: 25708 | GridSize: 61
Generation 129 | Revalues: 25916 | GridSize: 63
Generation 130 | Revalues: 26110 | GridSize: 60
Generation 131 | Revalues: 26286 | GridSize: 60
Generation 132 | Revalues: 26504 | GridSize: 60
Generation 133 | Revalues: 26718 | GridSize: 62
Generation 134 | Revalues: 26930 | GridSize: 61
Generation 135 | Revalues: 27132 | GridSize: 54
Generation 136 | Revalues: 27302 | GridSize: 57
Generation 137 | Revalues: 27512 | GridSize: 58
Generation 138 | Revalues: 27712 | GridSize: 56
Generation 139 | Revalues: 27924 | GridSize: 55
Generation 140 | Revalues: 28120 | GridSize: 58
Generation 141 | Revalues: 28306 | GridSize: 53
Generation 142 | Revalues: 28512 | GridSize: 51
Generation 143 | Revalues: 28680 | GridSize: 56
Generation 144 | Revalues: 28884 | GridSize: 54
Generation 145 | Revalues: 29078 | GridSize: 54
Generation 146 | Revalues: 29298 | GridSize: 55
Generation 147 | Revalues: 29498 | GridSize: 58
Generation 148 | Revalues: 29704 | GridSize: 58
Generation 149 | Revalues: 29900 | GridSize: 55
Generation 150 | Revalues: 30112 | GridSize: 59
Generation 151 | Revalues: 30312 | GridSize: 63
Generation 152 | Revalues: 30502 | GridSize: 62
Generation 153 | Revalues: 30696 | GridSize: 61
Generation 154 | Revalues: 30894 | GridSize: 59
Generation 155 | Revalues: 31110 | GridSize: 62
Generation 156 | Revalues: 31296 | GridSize: 64
Generation 157 | Revalues: 31502 | GridSize: 67
Generation 158 | Revalues: 31696 | GridSize: 65
Generation 159 | Revalues: 31872 | GridSize: 62
Generation 160 | Revalues: 32078 | GridSize: 58
Generation 161 | Revalues: 32254 | GridSize: 59
Generation 162 | Revalues: 32446 | GridSize: 62
Generation 163 | Revalues: 32642 | GridSize: 65
Generation 164 | Revalues: 32840 | GridSize: 69
Generation 165 | Revalues: 33048 | GridSize: 75
Generation 166 | Revalues: 33240 | GridSize: 76
Generation 167 | Revalues: 33454 | GridSize: 78
Generation 168 | Revalues: 33656 | GridSize: 75
Generation 169 | Revalues: 33860 | GridSize: 74
Generation 170 | Revalues: 34084 | GridSize: 74
Generation 171 | Revalues: 34256 | GridSize: 73
Generation 172 | Revalues: 34464 | GridSize: 74
Generation 173 | Revalues: 34648 | GridSize: 77
Generation 174 | Revalues: 34830 | GridSize: 75
