r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0010864325,0.0010822397,0.0010836331,0.0010909102,0.001105182,0.0010810099
50%,0.0011002083,0.0011049823,0.0011016655,0.001111491,0.0011129583,0.0010967137
25%,0.0011112698,0.00107062,0.0011189673,0.0011168996,0.0011030454,0.0010912277
10%,0.0011014328,0.0011163487,0.0011109185,0.0010940753,0.0011164706,0.0011097347
5%,0.0010821028,0.0011168023,0.001119363,0.0011158365,0.0011102586,0.0011050748
