Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 328 | GridSize: 8
Generation 2 | Revalues: 550 | GridSize: 8
Generation 3 | Revalues: 748 | GridSize: 8
Generation 4 | Revalues: 974 | GridSize: 7
Generation 5 | Revalues: 1186 | GridSize: 8
Generation 6 | Revalues: 1404 | GridSize: 12
Generation 7 | Revalues: 1622 | GridSize: 11
Generation 8 | Revalues: 1862 | GridSize: 16
Generation 9 | Revalues: 2088 | GridSize: 21
Generation 10 | Revalues: 2308 | GridSize: 21
Generation 11 | Revalues: 2542 | GridSize: 15
Generation 12 | Revalues: 2780 | GridSize: 14
Generation 13 | Revalues: 2978 | GridSize: 20
Generation 14 | Revalues: 3184 | GridSize: 23
Generation 15 | Revalues: 3390 | GridSize: 17
Generation 16 | Revalues: 3616 | GridSize: 22
Generation 17 | Revalues: 3858 | GridSize: 22
Generation 18 | Revalues: 4086 | GridSize: 20
Generation 19 | Revalues: 4308 | GridSize: 12
Generation 20 | Revalues: 4510 | GridSize: 14
Generation 21 | Revalues: 4720 | GridSize: 12
Generation 22 | Revalues: 4942 | GridSize: 15
Generation 23 | Revalues: 5160 | GridSize: 14
Generation 24 | Revalues: 5380 | GridSize: 16
Generation 25 | Revalues: 5606 | GridSize: 17
Generation 26 | Revalues: 5820 | GridSize: 17
Generation 27 | Revalues: 6042 | GridSize: 20
Generation 28 | Revalues: 6260 | GridSize: 20
Generation 29 | Revalues: 6484 | GridSize: 18
Generation 30 | Revalues: 6706 | GridSize: 13
Generation 31 | Revalues: 6928 | GridSize: 21
Generation 32 | Revalues: 7136 | GridSize: 15
Generation 33 | Revalues: 7344 | GridSize: 15
Generation 34 | Revalues: 7554 | GridSize: 18
Generation 35 | Revalues: 7776 | GridSize: 18
Generation 36 | Revalues: 8012 | GridSize: 24
Generation 37 | Revalues: 8232 | GridSize: 29
Generation 38 | Revalues: 8460 | GridSize: 18
Generation 39 | Revalues: 8672 | GridSize: 18
Generation 40 | Revalues: 8884 | GridSize: 20
Generation 41 | Revalues: 9136 | GridSize: 23
Generation 42 | Revalues: 9358 | GridSize: 14
Generation 43 | Revalues: 9548 | GridSize: 19
Generation 44 | Revalues: 9774 | GridSize: 16
Generation 45 | Revalues: 9992 | GridSize: 15
Generation 46 | Revalues: 10200 | GridSize: 18
Generation 47 | Revalues: 10424 | GridSize: 25
Generation 48 | Revalues: 10648 | GridSize: 7
Generation 49 | Revalues: 10886 | GridSize: 9
Generation 50 | Revalues: 11104 | GridSize: 15
Generation 51 | Revalues: 11320 | GridSize: 16
Generation 52 | Revalues: 11542 | GridSize: 14
Generation 53 | Revalues: 11788 | GridSize: 13
Generation 54 | Revalues: 12004 | GridSize: 17
Generation 55 | Revalues: 12198 | GridSize: 19
Generation 56 | Revalues: 12424 | GridSize: 18
Generation 57 | Revalues: 12658 | GridSize: 11
Generation 58 | Revalues: 12866 | GridSize: 13
Generation 59 | Revalues: 13064 | GridSize: 19
Generation 60 | Revalues: 13290 | GridSize: 12
Generation 61 | Revalues: 13484 | GridSize: 15
Generation 62 | Revalues: 13702 | GridSize: 17
Generation 63 | Revalues: 13938 | GridSize: 10
Generation 64 | Revalues: 14156 | GridSize: 12
Generation 65 | Revalues: 14372 | GridSize: 14
Generation 66 | Revalues: 14580 | GridSize: 15
Generation 67 | Revalues: 14782 | GridSize: 14
Generation 68 | Revalues: 15028 | GridSize: 16
Generation 69 | Revalues: 15222 | GridSize: 18
Generation 70 | Revalues: 15432 | GridSize: 16
Generation 71 | Revalues: 15662 | GridSize: 18
Generation 72 | Revalues: 15880 | GridSize: 20
Generation 73 | Revalues: 16112 | GridSize: 20
Generation 74 | Revalues: 16338 | GridSize: 20
Generation 75 | Revalues: 16544 | GridSize: 12
Generation 76 | Revalues: 16768 | GridSize: 15
Generation 77 | Revalues: 17000 | GridSize: 17
Generation 78 | Revalues: 17200 | GridSize: 21
Generation 79 | Revalues: 17428 | GridSize: 25
Generation 80 | Revalues: 17660 | GridSize: 26
Generation 81 | Revalues: 17878 | GridSize: 19
Generation 82 | Revalues: 18084 | GridSize: 22
Generation 83 | Revalues: 18304 | GridSize: 28
Generation 84 | Revalues: 18524 | GridSize: 25
Generation 85 | Revalues: 18752 | GridSize: 26
Generation 86 | Revalues: 18964 | GridSize: 17
Generation 87 | Revalues: 19170 | GridSize: 15
Generation 88 | Revalues: 19382 | GridSize: 19
Generation 89 | Revalues: 19570 | GridSize: 16
Generation 90 | Revalues: 19788 | GridSize: 23
Generation 91 | Revalues: 20002 | GridSize: 31
Generation 92 | Revalues: 20216 | GridSize: 34
Generation 93 | Revalues: 20434 | GridSize: 26
Generation 94 | Revalues: 20644 | GridSize: 26
Generation 95 | Revalues: 20854 | GridSize: 33
Generation 96 | Revalues: 21096 | GridSize: 37
Generation 97 | Revalues: 21292 | GridSize: 25
Generation 98 | Revalues: 21506 | GridSize: 25
Generation 99 | Revalues: 21732 | GridSize: 24
Generation 100 | Revalues: 21926 | GridSize: 31
Generation 101 | Revalues: 22150 | GridSize: 28
Generation 102 | Revalues: 22340 | GridSize: 26
Generation 103 | Revalues: 22548 | GridSize: 26
Generation 104 | Revalues: 22746 | GridSize: 25
Generation 105 | Revalues: 22968 | GridSize: 28
Generation 106 | Revalues: 23204 | GridSize: 33
Generation 107 | Revalues: 23426 | GridSize: 33
Generation 108 | Revalues: 23666 | GridSize: 30
Generation 109 | Revalues: 23894 | GridSize: 36
Generation 110 | Revalues: 24120 | GridSize: 39
Generation 111 | Revalues: 24340 | GridSize: 35
Generation 112 | Revalues: 24556 | GridSize: 37
Generation 113 | Revalues: 24788 | GridSize: 33
Generation 114 | Revalues: 24988 | GridSize: 39
Generation 115 | Revalues: 25238 | GridSize: 27
Generation 116 | Revalues: 25442 | GridSize: 32
Generation 117 | Revalues: 25690 | GridSize: 25
Generation 118 | Revalues: 25880 | GridSize: 26
Generation 119 | Revalues: 26120 | GridSize: 27
Generation 120 | Revalues: 26372 | GridSize: 34
Generation 121 | Revalues: 26606 | GridSize: 24
Generation 122 | Revalues: 26830 | GridSize: 26
Generation 123 | Revalues: 27040 | GridSize: 30
Generation 124 | Revalues: 27264 | GridSize: 33
Generation 125 | Revalues: 27490 | GridSize: 42
Generation 126 | Revalues: 27710 | GridSize: 41
Generation 127 | Revalues: 27924 | GridSize: 36
Generation 128 | Revalues: 28138 | GridSize: 31
Generation 129 | Revalues: 28344 | GridSize: 29
Generation 130 | Revalues: 28568 | GridSize: 33
Generation 131 | Revalues: 28782 | GridSize: 34
Generation 132 | Revalues: 28968 | GridSize: 39
Generation 133 | Revalues: 29180 | GridSize: 36
Generation 134 | Revalues: 29392 | GridSize: 40
Generation 135 | Revalues: 29616 | GridSize: 39
Generation 136 | Revalues: 29842 | GridSize: 44
Generation 137 | Revalues: 30074 | GridSize: 32
Generation 138 | Revalues: 30272 | GridSize: 41
Generation 139 | Revalues: 30486 | GridSize: 45
Generation 140 | Revalues: 30726 | GridSize: 47
Generation 141 | Revalues: 30938 | GridSize: 44
Generation 142 | Revalues: 31154 | GridSize: 46
Generation 143 | Revalues: 31354 | GridSize: 41
Generation 144 | Revalues: 31562 | GridSize: 41
Generation 145 | Revalues: 31766 | GridSize: 38
Generation 146 | Revalues: 31990 | GridSize: 43
Generation 147 | Revalues: 32206 | GridSize: 39
Generation 148 | Revalues: 32412 | GridSize: 46
Generation 149 | Revalues: 32632 | GridSize: 48
Generation 150 | Revalues: 32876 | GridSize: 42
Generation 151 | Revalues: 33110 | GridSize: 39
Generation 152 | Revalues: 33312 | GridSize: 40
Generation 153 | Revalues: 33524 | GridSize: 37
Generation 154 | Revalues: 33762 | GridSize: 37
Generation 155 | Revalues: 33982 | GridSize: 38
