Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 310 | GridSize: 11
Generation 2 | Revalues: 526 | GridSize: 21
Generation 3 | Revalues: 742 | GridSize: 27
Generation 4 | Revalues: 942 | GridSize: 28
Generation 5 | Revalues: 1154 | GridSize: 34
Generation 6 | Revalues: 1358 | GridSize: 41
Generation 7 | Revalues: 1552 | GridSize: 33
Generation 8 | Revalues: 1738 | GridSize: 41
Generation 9 | Revalues: 1926 | GridSize: 44
Generation 10 | Revalues: 2122 | GridSize: 41
Generation 11 | Revalues: 2332 | GridSize: 56
Generation 12 | Revalues: 2516 | GridSize: 48
Generation 13 | Revalues: 2728 | GridSize: 57
Generation 14 | Revalues: 2930 | GridSize: 62
Generation 15 | Revalues: 3126 | GridSize: 51
Generation 16 | Revalues: 3308 | GridSize: 44
Generation 17 | Revalues: 3516 | GridSize: 72
Generation 18 | Revalues: 3740 | GridSize: 28
Generation 19 | Revalues: 3930 | GridSize: 57
Generation 20 | Revalues: 4138 | GridSize: 65
Generation 21 | Revalues: 4342 | GridSize: 78
Generation 22 | Revalues: 4568 | GridSize: 63
Generation 23 | Revalues: 4750 | GridSize: 77
Generation 24 | Revalues: 4938 | GridSize: 91
Generation 25 | Revalues: 5130 | GridSize: 112
Generation 26 | Revalues: 5344 | GridSize: 95
Generation 27 | Revalues: 5524 | GridSize: 97
Generation 28 | Revalues: 5704 | GridSize: 77
Generation 29 | Revalues: 5892 | GridSize: 84
Generation 30 | Revalues: 6102 | GridSize: 90
Generation 31 | Revalues: 6288 | GridSize: 81
Generation 32 | Revalues: 6484 | GridSize: 69
Generation 33 | Revalues: 6676 | GridSize: 69
Generation 34 | Revalues: 6888 | GridSize: 73
Generation 35 | Revalues: 7110 | GridSize: 90
Generation 36 | Revalues: 7296 | GridSize: 85
Generation 37 | Revalues: 7498 | GridSize: 87
Generation 38 | Revalues: 7700 | GridSize: 93
Generation 39 | Revalues: 7910 | GridSize: 96
Generation 40 | Revalues: 8114 | GridSize: 90
Generation 41 | Revalues: 8326 | GridSize: 99
Generation 42 | Revalues: 8496 | GridSize: 84
Generation 43 | Revalues: 8652 | GridSize: 81
Generation 44 | Revalues: 8828 | GridSize: 88
Generation 45 | Revalues: 9074 | GridSize: 98
Generation 46 | Revalues: 9296 | GridSize: 95
Generation 47 | Revalues: 9494 | GridSize: 96
Generation 48 | Revalues: 9682 | GridSize: 101
Generation 49 | Revalues: 9884 | GridSize: 107
Generation 50 | Revalues: 10078 | GridSize: 113
Generation 51 | Revalues: 10290 | GridSize: 100
Generation 52 | Revalues: 10510 | GridSize: 90
Generation 53 | Revalues: 10724 | GridSize: 89
Generation 54 | Revalues: 10930 | GridSize: 72
Generation 55 | Revalues: 11112 | GridSize: 72
Generation 56 | Revalues: 11316 | GridSize: 77
Generation 57 | Revalues: 11528 | GridSize: 80
Generation 58 | Revalues: 11722 | GridSize: 97
Generation 59 | Revalues: 11902 | GridSize: 95
Generation 60 | Revalues: 12100 | GridSize: 104
Generation 61 | Revalues: 12320 | GridSize: 112
Generation 62 | Revalues: 12522 | GridSize: 103
Generation 63 | Revalues: 12722 | GridSize: 106
Generation 64 | Revalues: 12928 | GridSize: 99
Generation 65 | Revalues: 13124 | GridSize: 110
Generation 66 | Revalues: 13352 | GridSize: 109
Generation 67 | Revalues: 13548 | GridSize: 99
Generation 68 | Revalues: 13750 | GridSize: 120
Generation 69 | Revalues: 13952 | GridSize: 119
Generation 70 | Revalues: 14156 | GridSize: 126
Generation 71 | Revalues: 14368 | GridSize: 136
Generation 72 | Revalues: 14590 | GridSize: 137
Generation 73 | Revalues: 14774 | GridSize: 125
Generation 74 | Revalues: 14962 | GridSize: 129
Generation 75 | Revalues: 15174 | GridSize: 143
Generation 76 | Revalues: 15350 | GridSize: 141
Generation 77 | Revalues: 15574 | GridSize: 129
Generation 78 | Revalues: 15798 | GridSize: 130
Generation 79 | Revalues: 16016 | GridSize: 128
Generation 80 | Revalues: 16222 | GridSize: 142
Generation 81 | Revalues: 16440 | GridSize: 139
Generation 82 | Revalues: 16630 | GridSize: 145
Generation 83 | Revalues: 16834 | GridSize: 152
Generation 84 | Revalues: 17056 | GridSize: 128
Generation 85 | Revalues: 17258 | GridSize: 133
Generation 86 | Revalues: 17478 | GridSize: 139
Generation 87 | Revalues: 17696 | GridSize: 143
Generation 88 | Revalues: 17876 | GridSize: 154
Generation 89 | Revalues: 18050 | GridSize: 134
Generation 90 | Revalues: 18254 | GridSize: 121
Generation 91 | Revalues: 18448 | GridSize: 129
Generation 92 | Revalues: 18654 | GridSize: 118
Generation 93 | Revalues: 18868 | GridSize: 128
Generation 94 | Revalues: 19076 | GridSize: 138
Generation 95 | Revalues: 19286 | GridSize: 136
Generation 96 | Revalues: 19486 | GridSize: 136
Generation 97 | Revalues: 19682 | GridSize: 141
Generation 98 | Revalues: 19872 | GridSize: 158
Generation 99 | Revalues: 20052 | GridSize: 155
Generation 100 | Revalues: 20252 | GridSize: 152
Generation 101 | Revalues: 20442 | GridSize: 162
Generation 102 | Revalues: 20628 | GridSize: 172
Generation 103 | Revalues: 20838 | GridSize: 158
Generation 104 | Revalues: 21066 | GridSize: 135
Generation 105 | Revalues: 21254 | GridSize: 143
Generation 106 | Revalues: 21468 | GridSize: 149
Generation 107 | Revalues: 21676 | GridSize: 151
Generation 108 | Revalues: 21892 | GridSize: 146
Generation 109 | Revalues: 22094 | GridSize: 160
Generation 110 | Revalues: 22308 | GridSize: 169
Generation 111 | Revalues: 22494 | GridSize: 166
Generation 112 | Revalues: 22664 | GridSize: 141
Generation 113 | Revalues: 22854 | GridSize: 144
Generation 114 | Revalues: 23068 | GridSize: 156
Generation 115 | Revalues: 23278 | GridSize: 140
Generation 116 | Revalues: 23438 | GridSize: 117
Generation 117 | Revalues: 23612 | GridSize: 112
Generation 118 | Revalues: 23812 | GridSize: 118
Generation 119 | Revalues: 23984 | GridSize: 109
Generation 120 | Revalues: 24190 | GridSize: 121
Generation 121 | Revalues: 24402 | GridSize: 131
Generation 122 | Revalues: 24634 | GridSize: 137
Generation 123 | Revalues: 24810 | GridSize: 136
Generation 124 | Revalues: 25008 | GridSize: 135
Generation 125 | Revalues: 25212 | GridSize: 130
Generation 126 | Revalues: 25380 | GridSize: 123
Generation 127 | Revalues: 25594 | GridSize: 116
Generation 128 | Revalues: 25798 | GridSize: 120
Generation 129 | Revalues: 26000 | GridSize: 123
Generation 130 | Revalues: 26186 | GridSize: 120
Generation 131 | Revalues: 26402 | GridSize: 107
Generation 132 | Revalues: 26614 | GridSize: 113
Generation 133 | Revalues: 26804 | GridSize: 104
Generation 134 | Revalues: 26988 | GridSize: 126
Generation 135 | Revalues: 27164 | GridSize: 125
Generation 136 | Revalues: 27368 | GridSize: 140
Generation 137 | Revalues: 27580 | GridSize: 132
Generation 138 | Revalues: 27780 | GridSize: 118
Generation 139 | Revalues: 27984 | GridSize: 115
Generation 140 | Revalues: 28176 | GridSize: 117
Generation 141 | Revalues: 28384 | GridSize: 123
Generation 142 | Revalues: 28586 | GridSize: 114
Generation 143 | Revalues: 28790 | GridSize: 113
Generation 144 | Revalues: 28992 | GridSize: 111
Generation 145 | Revalues: 29172 | GridSize: 115
Generation 146 | Revalues: 29364 | GridSize: 98
Generation 147 | Revalues: 29582 | GridSize: 112
Generation 148 | Revalues: 29784 | GridSize: 108
Generation 149 | Revalues: 29942 | GridSize: 132
Generation 150 | Revalues: 30148 | GridSize: 133
Generation 151 | Revalues: 30344 | GridSize: 117
Generation 152 | Revalues: 30516 | GridSize: 117
Generation 153 | Revalues: 30710 | GridSize: 115
Generation 154 | Revalues: 30900 | GridSize: 121
Generation 155 | Revalues: 31086 | GridSize: 120
Generation 156 | Revalues: 31282 | GridSize: 131
Generation 157 | Revalues: 31458 | GridSize: 133
Generation 158 | Revalues: 31666 | GridSize: 122
Generation 159 | Revalues: 31852 | GridSize: 136
Generation 160 | Revalues: 32056 | GridSize: 134
Generation 161 | Revalues: 32240 | GridSize: 113
Generation 162 | Revalues: 32412 | GridSize: 133
Generation 163 | Revalues: 32618 | GridSize: 126
Generation 164 | Revalues: 32822 | GridSize: 141
Generation 165 | Revalues: 33022 | GridSize: 125
Generation 166 | Revalues: 33230 | GridSize: 126
Generation 167 | Revalues: 33440 | GridSize: 121
Generation 168 | Revalues: 33634 | GridSize: 117
Generation 169 | Revalues: 33816 | GridSize: 124
Generation 170 | Revalues: 34006 | GridSize: 111
Generation 171 | Revalues: 34220 | GridSize: 117
Generation 172 | Revalues: 34424 | GridSize: 97
Generation 173 | Revalues: 34626 | GridSize: 113
Generation 174 | Revalues: 34828 | GridSize: 115
Generation 175 | Revalues: 35032 | GridSize: 100
Generation 176 | Revalues: 35220 | GridSize: 112
Generation 177 | Revalues: 35414 | GridSize: 107
Generation 178 | Revalues: 35610 | GridSize: 121
Generation 179 | Revalues: 35828 | GridSize: 130
Generation 180 | Revalues: 36026 | GridSize: 153
Generation 181 | Revalues: 36228 | GridSize: 140
Generation 182 | Revalues: 36402 | GridSize: 162
Generation 183 | Revalues: 36602 | GridSize: 156
Generation 184 | Revalues: 36792 | GridSize: 161
Generation 185 | Revalues: 37006 | GridSize: 158
Generation 186 | Revalues: 37212 | GridSize: 151
Generation 187 | Revalues: 37418 | GridSize: 164
Generation 188 | Revalues: 37630 | GridSize: 145
Generation 189 | Revalues: 37830 | GridSize: 142
Generation 190 | Revalues: 38020 | GridSize: 145
Generation 191 | Revalues: 38220 | GridSize: 145
Generation 192 | Revalues: 38418 | GridSize: 129
Generation 193 | Revalues: 38624 | GridSize: 143
Generation 194 | Revalues: 38820 | GridSize: 143
Generation 195 | Revalues: 39016 | GridSize: 144
Generation 196 | Revalues: 39210 | GridSize: 152
Generation 197 | Revalues: 39400 | GridSize: 147
Generation 198 | Revalues: 39598 | GridSize: 143
Generation 199 | Revalues: 39810 | GridSize: 144
Generation 200 | Revalues: 40008 | GridSize: 144
Generation 201 | Revalues: 40192 | GridSize: 137
Generation 202 | Revalues: 40404 | GridSize: 153
Generation 203 | Revalues: 40586 | GridSize: 147
Generation 204 | Revalues: 40806 | GridSize: 141
Generation 205 | Revalues: 41020 | GridSize: 140
Generation 206 | Revalues: 41216 | GridSize: 143
Generation 207 | Revalues: 41406 | GridSize: 138
Generation 208 | Revalues: 41602 | GridSize: 140
Generation 209 | Revalues: 41810 | GridSize: 164
Generation 210 | Revalues: 42038 | GridSize: 159
Generation 211 | Revalues: 42264 | GridSize: 148
Generation 212 | Revalues: 42506 | GridSize: 154
Generation 213 | Revalues: 42698 | GridSize: 162
Generation 214 | Revalues: 42892 | GridSize: 168
Generation 215 | Revalues: 43082 | GridSize: 174
Generation 216 | Revalues: 43302 | GridSize: 155
Generation 217 | Revalues: 43502 | GridSize: 156
Generation 218 | Revalues: 43692 | GridSize: 153
Generation 219 | Revalues: 43916 | GridSize: 153
Generation 220 | Revalues: 44120 | GridSize: 140
Generation 221 | Revalues: 44332 | GridSize: 162
Generation 222 | Revalues: 44536 | GridSize: 164
Generation 223 | Revalues: 44736 | GridSize: 162
Generation 224 | Revalues: 44918 | GridSize: 193
Generation 225 | Revalues: 45104 | GridSize: 202
Generation 226 | Revalues: 45294 | GridSize: 203
Generation 227 | Revalues: 45524 | GridSize: 169
Generation 228 | Revalues: 45726 | GridSize: 162
Generation 229 | Revalues: 45930 | GridSize: 167
Generation 230 | Revalues: 46126 | GridSize: 173
Generation 231 | Revalues: 46338 | GridSize: 155
Generation 232 | Revalues: 46552 | GridSize: 153
Generation 233 | Revalues: 46760 | GridSize: 156
Generation 234 | Revalues: 46950 | GridSize: 143
Generation 235 | Revalues: 47162 | GridSize: 153
Generation 236 | Revalues: 47364 | GridSize: 129
Generation 237 | Revalues: 47588 | GridSize: 129
Generation 238 | Revalues: 47802 | GridSize: 128
Generation 239 | Revalues: 47986 | GridSize: 141
Generation 240 | Revalues: 48174 | GridSize: 144
Generation 241 | Revalues: 48356 | GridSize: 151
Generation 242 | Revalues: 48552 | GridSize: 173
Generation 243 | Revalues: 48764 | GridSize: 157
Generation 244 | Revalues: 48978 | GridSize: 171
Generation 245 | Revalues: 49178 | GridSize: 167
Generation 246 | Revalues: 49396 | GridSize: 153
Generation 247 | Revalues: 49590 | GridSize: 141
Generation 248 | Revalues: 49786 | GridSize: 160
Generation 249 | Revalues: 50000 | GridSize: 171
Generation 250 | Revalues: 50212 | GridSize: 167
Generation 251 | Revalues: 50434 | GridSize: 191
Generation 252 | Revalues: 50660 | GridSize: 179
Generation 253 | Revalues: 50872 | GridSize: 176
