Feature,Importance
SUP_sd,0.12387759086357354
SUP_r1,0.09716857799284907
INF_sd,0.08484807572811891
INF_sk,0.08144922001071092
SUP_avg,0.07158539654143267
SUP_kr,0.05677857787258406
SUP_sk,0.04722932932760531
INC_sk,0.04230749948617993
IND_sd,0.04207878229578481
INF_avg,0.04135043448704341
INF_r1,0.04104036094856206
INF_kr,0.04103818797672324
IND_sk,0.04042125126932025
INC_sd,0.039869552676788336
IND_kr,0.03196700595434148
INC_kr,0.03122678916515329
IND_r1,0.02931035402644238
INC_r1,0.02749123131263085
IND_avg,0.014616971047366407
INC_avg,0.014344811016788979
