Feature,Importance
SUP_r1,0.16537477889969376
INF_r1,0.08226548357367333
SUP_sd,0.0765129874455062
INF_avg,0.0762951811080549
SUP_kr,0.07582612165830517
INF_sd,0.065640420545671
INC_sk,0.06150429407262484
IND_sk,0.060119545209554974
SUP_sk,0.04620479813831749
INF_sk,0.039330263537230736
IND_r1,0.03862722353589871
INC_r1,0.03624815599948405
INF_kr,0.03193555789237951
IND_avg,0.022647022289263852
SUP_avg,0.022618315714483823
INC_avg,0.022186355085089465
IND_sd,0.020345052312996704
INC_sd,0.019589410318325732
IND_kr,0.018718815985200133
INC_kr,0.018010216678245462
