Feature,Importance
SUP_sd,0.3528744798088387
SUP_avg,0.07526704695643338
INF_sd,0.07323082086297816
INF_r1,0.06749927534996131
IND_r1,0.061530914334556236
INC_r1,0.055529053105419994
SUP_r1,0.045776520005463305
INF_sk,0.03651774269303164
INF_kr,0.03128362675277756
INC_sd,0.03053905677265513
IND_sd,0.03036403894804083
SUP_kr,0.0254454341913406
SUP_sk,0.022078576808798565
IND_sk,0.017559353211063274
INC_sk,0.017353675732715294
INF_avg,0.016855308984689534
IND_kr,0.013385331022173905
INC_kr,0.011753237032491428
INC_avg,0.007595404585704136
IND_avg,0.007561102840866958
