Feature,Importance
INF_r1,0.10801270938291947
INF_sk,0.0852785040154728
INF_sd,0.08238026887632773
SUP_avg,0.08073896687209216
SUP_sk,0.07428936005851332
INC_sk,0.06062235291503286
IND_sk,0.05894493441484051
IND_r1,0.058406595156972746
INC_r1,0.05445677719555604
SUP_r1,0.053585123306519364
SUP_sd,0.0417092587811658
SUP_kr,0.03913797800402234
IND_kr,0.036928643114697325
INC_kr,0.036010665880536655
INF_kr,0.03141156022072684
INF_avg,0.03012034617042638
IND_avg,0.023820591921129126
INC_avg,0.023792066820468104
IND_sd,0.010615620501291095
INC_sd,0.009737676391289325
