Feature,Importance
INF_kr,0.15976168964208085
INF_avg,0.14301336528937791
INC_sk,0.07556774966461685
SUP_avg,0.07200423943185912
IND_sk,0.07139510439403893
SUP_sk,0.06448135815801934
SUP_sd,0.051544910023210315
SUP_r1,0.04906543150482033
INF_sd,0.048323081549033364
INF_r1,0.04319358694682737
SUP_kr,0.03775992517766065
IND_kr,0.03249801563222869
INC_kr,0.0314640615391006
INF_sk,0.029179423378174883
IND_sd,0.020723703887873268
INC_sd,0.01940429625222891
IND_r1,0.014126042088203634
INC_r1,0.013731301350403369
INC_avg,0.011430700043717374
IND_avg,0.011332014046524288
