Feature,Importance
SUP_sk,0.2767078884250502
INF_r1,0.2150989992287564
SUP_r1,0.05961205701521628
SUP_sd,0.05667202877913553
INF_avg,0.05300293823956799
INF_sk,0.0389599900544726
INF_sd,0.03595554360169344
INF_kr,0.034618763930784106
SUP_avg,0.032003492935802645
SUP_kr,0.027376488983126817
IND_sk,0.02531794836258897
INC_sk,0.024577444876721737
IND_kr,0.022596548245614415
INC_kr,0.02184376161069195
IND_sd,0.016285443028727337
IND_r1,0.015704537178008134
INC_sd,0.015180300680812836
INC_r1,0.014941365083043215
IND_avg,0.007002669670158278
INC_avg,0.00654179007002731
