Feature,Importance
INF_sd,0.15036683148899313
INF_sk,0.08122328431005849
SUP_sk,0.0691023532166112
INF_r1,0.06784717482004748
INC_sk,0.06502154701400258
INF_avg,0.06255416885218124
IND_sk,0.06250844064350738
IND_sd,0.04670490385786347
INF_kr,0.04448139448646901
INC_sd,0.0441472816548272
SUP_kr,0.04342290198065943
IND_avg,0.03758595409209478
INC_avg,0.03749949533928245
SUP_r1,0.036786832518639116
SUP_sd,0.036121871524327165
IND_r1,0.029369295106948475
SUP_avg,0.028345330041202196
INC_r1,0.027602442654155932
IND_kr,0.014933768596278742
INC_kr,0.014374727801850529
