Feature,Importance
SUP_sd,0.10014995369301354
INF_sd,0.09877360170505176
SUP_r1,0.09608699417894133
INF_kr,0.08246448540709535
INF_sk,0.07434449674796773
SUP_sk,0.05492202386717644
INF_avg,0.054432645023260035
SUP_kr,0.04712869346921589
INF_r1,0.04321011125984718
SUP_avg,0.04070352963807656
IND_r1,0.03891707414409247
INC_sk,0.03683953830672581
INC_r1,0.03648196413950922
IND_sk,0.035862297758054135
IND_sd,0.028031926578182594
IND_kr,0.027976705236273554
INC_sd,0.02697100572045739
INC_kr,0.02669834549526351
INC_avg,0.02505538699830387
IND_avg,0.02494922063349167
