Feature,Importance
SUP_kr,0.10824081963807515
IND_r1,0.10609286734062082
INC_r1,0.0952079599483028
INF_sd,0.08619265890695037
SUP_r1,0.08204623238445052
INF_sk,0.06136578464346859
SUP_sd,0.05879453093937685
INF_r1,0.05549374197007835
SUP_sk,0.04516222481145136
INF_kr,0.03872677759517453
IND_kr,0.03869379158795468
INC_kr,0.03723595407874465
INF_avg,0.0357041019780814
SUP_avg,0.030270871389681563
IND_avg,0.025676074250447135
INC_avg,0.025629088099366655
INC_sk,0.023955627010377165
IND_sk,0.023594784446419683
IND_sd,0.01141745657148785
INC_sd,0.010498652409489852
