Feature,Importance
SUP_kr,0.16653661057572788
SUP_sd,0.06971429059827457
SUP_r1,0.06844193953052304
INF_sk,0.0625861248135334
INF_r1,0.05268662643719764
INC_sk,0.05059436656515851
IND_sk,0.04910917571962213
IND_kr,0.0440115099114168
INC_kr,0.04220575412396471
IND_r1,0.042161778916015795
INC_avg,0.04127894957044491
IND_avg,0.0408544400725978
INC_r1,0.03944272077412633
INF_avg,0.03937505422057312
SUP_avg,0.038999391594410605
INF_kr,0.03540275141221401
INF_sd,0.03428801115360191
SUP_sk,0.03339599312015447
IND_sd,0.024795812018513223
INC_sd,0.024118698871929172
