Instance,SBS_Prediction
0,0.7261243515039998
1,0.7923285164804996
10,0.7796810139874996
100,0.7620137356615
101,0.7928973344400009
102,0.794794002528501
103,0.7640939258785002
104,0.7394467239630004
105,0.7392356204245004
106,0.7243353682910003
107,0.7129948122750001
108,0.7106350914704997
109,0.7365028116704996
11,0.7730161388985001
110,0.7852197492269998
111,0.7738646389525003
112,0.7677668148525
113,0.7649633795564997
114,0.7436920034874998
115,0.7445336127454995
116,0.7420933061439997
117,0.7416664362554997
118,0.7400471926349996
119,0.7310698192159996
12,0.7297868968199999
120,0.7392400149854998
121,0.7384823845090003
122,0.7449054910450001
123,0.7549983952550002
124,0.7540977014285004
125,0.7544343078725
126,0.7712531588059999
127,0.7675314295755
128,0.7438486970939998
129,0.7826102269835009
13,0.7678777758225004
130,0.7793518503385005
131,0.7701061214145
132,0.7454034363445002
133,0.7512624234305
134,0.76547327324
135,0.7680908084419998
136,0.7978351861565
137,0.7993452082719992
138,0.7896050824554997
139,0.7658800778714991
14,0.7792597801669998
140,0.7988135993139995
141,0.813957875622001
142,0.8186532304254999
143,0.8099559362594999
144,0.8064148130465999
145,0.8117164257171001
146,0.8040786636596498
147,0.8147500351281503
148,0.8022423945578998
149,0.812969928377
15,0.8119214934982998
150,0.8033954931383498
151,0.8122857273120998
152,0.8053815236156499
153,0.7967233269356995
154,0.8048845590850499
155,0.8084510301943998
156,0.8095298862898999
157,0.80768461892595
158,0.8140001961694006
159,0.8118934409341998
16,0.8009056341027498
160,0.8056206829899999
161,0.7998570311960002
162,0.8102462924064503
163,0.8192249025454998
164,0.8007318100282999
