Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 330 | GridSize: 5
Generation 2 | Revalues: 578 | GridSize: 3
Generation 3 | Revalues: 806 | GridSize: 13
Generation 4 | Revalues: 1032 | GridSize: 8
Generation 5 | Revalues: 1268 | GridSize: 5
Generation 6 | Revalues: 1494 | GridSize: 6
Generation 7 | Revalues: 1712 | GridSize: 9
Generation 8 | Revalues: 1948 | GridSize: 13
Generation 9 | Revalues: 2144 | GridSize: 12
Generation 10 | Revalues: 2378 | GridSize: 16
Generation 11 | Revalues: 2606 | GridSize: 18
Generation 12 | Revalues: 2792 | GridSize: 12
Generation 13 | Revalues: 2984 | GridSize: 8
Generation 14 | Revalues: 3204 | GridSize: 15
Generation 15 | Revalues: 3414 | GridSize: 16
Generation 16 | Revalues: 3642 | GridSize: 12
Generation 17 | Revalues: 3848 | GridSize: 16
Generation 18 | Revalues: 4068 | GridSize: 13
Generation 19 | Revalues: 4272 | GridSize: 12
Generation 20 | Revalues: 4490 | GridSize: 12
Generation 21 | Revalues: 4706 | GridSize: 13
Generation 22 | Revalues: 4900 | GridSize: 19
Generation 23 | Revalues: 5122 | GridSize: 13
Generation 24 | Revalues: 5344 | GridSize: 21
Generation 25 | Revalues: 5576 | GridSize: 31
Generation 26 | Revalues: 5800 | GridSize: 31
Generation 27 | Revalues: 6020 | GridSize: 28
Generation 28 | Revalues: 6246 | GridSize: 26
Generation 29 | Revalues: 6470 | GridSize: 22
Generation 30 | Revalues: 6678 | GridSize: 21
Generation 31 | Revalues: 6908 | GridSize: 24
Generation 32 | Revalues: 7114 | GridSize: 25
Generation 33 | Revalues: 7328 | GridSize: 22
Generation 34 | Revalues: 7560 | GridSize: 24
Generation 35 | Revalues: 7790 | GridSize: 23
Generation 36 | Revalues: 7996 | GridSize: 18
Generation 37 | Revalues: 8188 | GridSize: 21
Generation 38 | Revalues: 8412 | GridSize: 23
Generation 39 | Revalues: 8624 | GridSize: 27
Generation 40 | Revalues: 8848 | GridSize: 24
Generation 41 | Revalues: 9078 | GridSize: 29
Generation 42 | Revalues: 9296 | GridSize: 27
Generation 43 | Revalues: 9506 | GridSize: 33
Generation 44 | Revalues: 9714 | GridSize: 24
Generation 45 | Revalues: 9934 | GridSize: 32
Generation 46 | Revalues: 10134 | GridSize: 36
Generation 47 | Revalues: 10350 | GridSize: 41
Generation 48 | Revalues: 10606 | GridSize: 37
Generation 49 | Revalues: 10822 | GridSize: 35
Generation 50 | Revalues: 11050 | GridSize: 25
Generation 51 | Revalues: 11258 | GridSize: 29
Generation 52 | Revalues: 11460 | GridSize: 34
Generation 53 | Revalues: 11690 | GridSize: 32
Generation 54 | Revalues: 11916 | GridSize: 33
Generation 55 | Revalues: 12108 | GridSize: 39
Generation 56 | Revalues: 12334 | GridSize: 36
Generation 57 | Revalues: 12552 | GridSize: 37
Generation 58 | Revalues: 12756 | GridSize: 38
Generation 59 | Revalues: 12966 | GridSize: 38
Generation 60 | Revalues: 13158 | GridSize: 30
Generation 61 | Revalues: 13388 | GridSize: 28
Generation 62 | Revalues: 13614 | GridSize: 34
Generation 63 | Revalues: 13804 | GridSize: 36
Generation 64 | Revalues: 14002 | GridSize: 36
Generation 65 | Revalues: 14242 | GridSize: 30
Generation 66 | Revalues: 14456 | GridSize: 35
Generation 67 | Revalues: 14670 | GridSize: 32
Generation 68 | Revalues: 14896 | GridSize: 34
Generation 69 | Revalues: 15112 | GridSize: 40
Generation 70 | Revalues: 15330 | GridSize: 46
