Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 322 | GridSize: 7
Generation 2 | Revalues: 552 | GridSize: 11
Generation 3 | Revalues: 748 | GridSize: 14
Generation 4 | Revalues: 980 | GridSize: 21
Generation 5 | Revalues: 1206 | GridSize: 13
Generation 6 | Revalues: 1428 | GridSize: 18
Generation 7 | Revalues: 1654 | GridSize: 19
Generation 8 | Revalues: 1888 | GridSize: 22
Generation 9 | Revalues: 2112 | GridSize: 35
Generation 10 | Revalues: 2322 | GridSize: 35
Generation 11 | Revalues: 2528 | GridSize: 29
Generation 12 | Revalues: 2768 | GridSize: 37
Generation 13 | Revalues: 2990 | GridSize: 33
Generation 14 | Revalues: 3204 | GridSize: 33
Generation 15 | Revalues: 3428 | GridSize: 36
Generation 16 | Revalues: 3656 | GridSize: 35
Generation 17 | Revalues: 3878 | GridSize: 36
Generation 18 | Revalues: 4118 | GridSize: 35
Generation 19 | Revalues: 4342 | GridSize: 38
Generation 20 | Revalues: 4570 | GridSize: 40
Generation 21 | Revalues: 4774 | GridSize: 45
Generation 22 | Revalues: 4996 | GridSize: 45
Generation 23 | Revalues: 5226 | GridSize: 44
Generation 24 | Revalues: 5428 | GridSize: 40
Generation 25 | Revalues: 5636 | GridSize: 39
Generation 26 | Revalues: 5856 | GridSize: 38
Generation 27 | Revalues: 6096 | GridSize: 45
Generation 28 | Revalues: 6308 | GridSize: 38
Generation 29 | Revalues: 6526 | GridSize: 43
Generation 30 | Revalues: 6736 | GridSize: 45
Generation 31 | Revalues: 6962 | GridSize: 45
Generation 32 | Revalues: 7214 | GridSize: 38
Generation 33 | Revalues: 7424 | GridSize: 34
Generation 34 | Revalues: 7654 | GridSize: 41
Generation 35 | Revalues: 7850 | GridSize: 47
Generation 36 | Revalues: 8076 | GridSize: 47
Generation 37 | Revalues: 8284 | GridSize: 61
Generation 38 | Revalues: 8502 | GridSize: 45
Generation 39 | Revalues: 8716 | GridSize: 44
Generation 40 | Revalues: 8938 | GridSize: 45
