Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 342 | GridSize: 8
Generation 2 | Revalues: 568 | GridSize: 14
Generation 3 | Revalues: 788 | GridSize: 14
Generation 4 | Revalues: 1016 | GridSize: 9
Generation 5 | Revalues: 1218 | GridSize: 7
Generation 6 | Revalues: 1432 | GridSize: 12
Generation 7 | Revalues: 1664 | GridSize: 7
Generation 8 | Revalues: 1896 | GridSize: 13
Generation 9 | Revalues: 2140 | GridSize: 24
Generation 10 | Revalues: 2374 | GridSize: 16
Generation 11 | Revalues: 2600 | GridSize: 19
Generation 12 | Revalues: 2798 | GridSize: 16
Generation 13 | Revalues: 3024 | GridSize: 18
Generation 14 | Revalues: 3242 | GridSize: 16
Generation 15 | Revalues: 3476 | GridSize: 11
Generation 16 | Revalues: 3684 | GridSize: 18
Generation 17 | Revalues: 3886 | GridSize: 19
Generation 18 | Revalues: 4078 | GridSize: 12
Generation 19 | Revalues: 4306 | GridSize: 18
Generation 20 | Revalues: 4532 | GridSize: 13
Generation 21 | Revalues: 4748 | GridSize: 23
Generation 22 | Revalues: 4962 | GridSize: 21
Generation 23 | Revalues: 5166 | GridSize: 16
Generation 24 | Revalues: 5382 | GridSize: 21
Generation 25 | Revalues: 5630 | GridSize: 15
Generation 26 | Revalues: 5840 | GridSize: 19
Generation 27 | Revalues: 6078 | GridSize: 27
Generation 28 | Revalues: 6290 | GridSize: 27
Generation 29 | Revalues: 6484 | GridSize: 28
Generation 30 | Revalues: 6714 | GridSize: 27
Generation 31 | Revalues: 6944 | GridSize: 32
Generation 32 | Revalues: 7164 | GridSize: 25
Generation 33 | Revalues: 7376 | GridSize: 22
Generation 34 | Revalues: 7562 | GridSize: 23
Generation 35 | Revalues: 7770 | GridSize: 38
Generation 36 | Revalues: 8010 | GridSize: 41
Generation 37 | Revalues: 8204 | GridSize: 34
Generation 38 | Revalues: 8408 | GridSize: 26
Generation 39 | Revalues: 8628 | GridSize: 30
Generation 40 | Revalues: 8834 | GridSize: 37
Generation 41 | Revalues: 9050 | GridSize: 36
Generation 42 | Revalues: 9286 | GridSize: 34
Generation 43 | Revalues: 9524 | GridSize: 39
Generation 44 | Revalues: 9734 | GridSize: 42
Generation 45 | Revalues: 9950 | GridSize: 43
Generation 46 | Revalues: 10160 | GridSize: 35
Generation 47 | Revalues: 10382 | GridSize: 31
Generation 48 | Revalues: 10628 | GridSize: 27
Generation 49 | Revalues: 10858 | GridSize: 27
Generation 50 | Revalues: 11066 | GridSize: 28
Generation 51 | Revalues: 11298 | GridSize: 32
Generation 52 | Revalues: 11520 | GridSize: 35
Generation 53 | Revalues: 11704 | GridSize: 37
Generation 54 | Revalues: 11934 | GridSize: 30
Generation 55 | Revalues: 12174 | GridSize: 45
Generation 56 | Revalues: 12382 | GridSize: 47
Generation 57 | Revalues: 12578 | GridSize: 50
Generation 58 | Revalues: 12812 | GridSize: 53
Generation 59 | Revalues: 13048 | GridSize: 52
Generation 60 | Revalues: 13246 | GridSize: 44
Generation 61 | Revalues: 13454 | GridSize: 47
Generation 62 | Revalues: 13668 | GridSize: 49
Generation 63 | Revalues: 13900 | GridSize: 42
Generation 64 | Revalues: 14138 | GridSize: 46
Generation 65 | Revalues: 14384 | GridSize: 40
Generation 66 | Revalues: 14614 | GridSize: 43
Generation 67 | Revalues: 14834 | GridSize: 48
Generation 68 | Revalues: 15056 | GridSize: 49
Generation 69 | Revalues: 15292 | GridSize: 54
Generation 70 | Revalues: 15508 | GridSize: 53
Generation 71 | Revalues: 15738 | GridSize: 43
Generation 72 | Revalues: 15966 | GridSize: 53
Generation 73 | Revalues: 16168 | GridSize: 46
Generation 74 | Revalues: 16356 | GridSize: 45
Generation 75 | Revalues: 16556 | GridSize: 49
Generation 76 | Revalues: 16802 | GridSize: 39
Generation 77 | Revalues: 16986 | GridSize: 40
Generation 78 | Revalues: 17212 | GridSize: 44
Generation 79 | Revalues: 17450 | GridSize: 40
Generation 80 | Revalues: 17654 | GridSize: 41
Generation 81 | Revalues: 17870 | GridSize: 44
Generation 82 | Revalues: 18116 | GridSize: 36
Generation 83 | Revalues: 18332 | GridSize: 37
Generation 84 | Revalues: 18562 | GridSize: 40
Generation 85 | Revalues: 18808 | GridSize: 35
Generation 86 | Revalues: 19050 | GridSize: 41
Generation 87 | Revalues: 19266 | GridSize: 48
Generation 88 | Revalues: 19508 | GridSize: 43
Generation 89 | Revalues: 19728 | GridSize: 48
Generation 90 | Revalues: 19916 | GridSize: 52
Generation 91 | Revalues: 20134 | GridSize: 41
Generation 92 | Revalues: 20360 | GridSize: 50
Generation 93 | Revalues: 20574 | GridSize: 57
Generation 94 | Revalues: 20778 | GridSize: 59
Generation 95 | Revalues: 21014 | GridSize: 56
Generation 96 | Revalues: 21228 | GridSize: 47
Generation 97 | Revalues: 21432 | GridSize: 46
Generation 98 | Revalues: 21618 | GridSize: 51
Generation 99 | Revalues: 21854 | GridSize: 61
Generation 100 | Revalues: 22072 | GridSize: 61
Generation 101 | Revalues: 22282 | GridSize: 65
Generation 102 | Revalues: 22484 | GridSize: 62
Generation 103 | Revalues: 22740 | GridSize: 74
Generation 104 | Revalues: 22936 | GridSize: 74
Generation 105 | Revalues: 23146 | GridSize: 74
Generation 106 | Revalues: 23366 | GridSize: 65
Generation 107 | Revalues: 23562 | GridSize: 63
Generation 108 | Revalues: 23768 | GridSize: 63
Generation 109 | Revalues: 24012 | GridSize: 63
Generation 110 | Revalues: 24230 | GridSize: 74
Generation 111 | Revalues: 24446 | GridSize: 75
Generation 112 | Revalues: 24664 | GridSize: 83
Generation 113 | Revalues: 24884 | GridSize: 93
Generation 114 | Revalues: 25086 | GridSize: 83
Generation 115 | Revalues: 25294 | GridSize: 73
Generation 116 | Revalues: 25520 | GridSize: 75
Generation 117 | Revalues: 25722 | GridSize: 77
Generation 118 | Revalues: 25916 | GridSize: 83
Generation 119 | Revalues: 26134 | GridSize: 83
Generation 120 | Revalues: 26358 | GridSize: 83
Generation 121 | Revalues: 26578 | GridSize: 68
Generation 122 | Revalues: 26812 | GridSize: 70
Generation 123 | Revalues: 27032 | GridSize: 68
Generation 124 | Revalues: 27242 | GridSize: 75
Generation 125 | Revalues: 27470 | GridSize: 79
Generation 126 | Revalues: 27688 | GridSize: 65
Generation 127 | Revalues: 27916 | GridSize: 63
Generation 128 | Revalues: 28122 | GridSize: 70
Generation 129 | Revalues: 28346 | GridSize: 69
Generation 130 | Revalues: 28566 | GridSize: 76
Generation 131 | Revalues: 28804 | GridSize: 75
Generation 132 | Revalues: 29026 | GridSize: 68
Generation 133 | Revalues: 29252 | GridSize: 64
Generation 134 | Revalues: 29450 | GridSize: 71
Generation 135 | Revalues: 29680 | GridSize: 67
Generation 136 | Revalues: 29880 | GridSize: 68
Generation 137 | Revalues: 30102 | GridSize: 62
Generation 138 | Revalues: 30314 | GridSize: 62
Generation 139 | Revalues: 30520 | GridSize: 62
Generation 140 | Revalues: 30752 | GridSize: 64
Generation 141 | Revalues: 30954 | GridSize: 76
Generation 142 | Revalues: 31166 | GridSize: 81
Generation 143 | Revalues: 31398 | GridSize: 84
Generation 144 | Revalues: 31614 | GridSize: 93
Generation 145 | Revalues: 31828 | GridSize: 87
Generation 146 | Revalues: 32058 | GridSize: 100
Generation 147 | Revalues: 32268 | GridSize: 96
Generation 148 | Revalues: 32450 | GridSize: 87
Generation 149 | Revalues: 32648 | GridSize: 90
Generation 150 | Revalues: 32876 | GridSize: 84
Generation 151 | Revalues: 33094 | GridSize: 90
Generation 152 | Revalues: 33296 | GridSize: 87
Generation 153 | Revalues: 33520 | GridSize: 95
Generation 154 | Revalues: 33714 | GridSize: 98
Generation 155 | Revalues: 33940 | GridSize: 97
Generation 156 | Revalues: 34170 | GridSize: 93
Generation 157 | Revalues: 34374 | GridSize: 96
Generation 158 | Revalues: 34596 | GridSize: 90
Generation 159 | Revalues: 34818 | GridSize: 89
Generation 160 | Revalues: 35046 | GridSize: 94
Generation 161 | Revalues: 35280 | GridSize: 90
Generation 162 | Revalues: 35510 | GridSize: 97
Generation 163 | Revalues: 35726 | GridSize: 100
Generation 164 | Revalues: 35946 | GridSize: 103
Generation 165 | Revalues: 36148 | GridSize: 109
Generation 166 | Revalues: 36358 | GridSize: 123
Generation 167 | Revalues: 36600 | GridSize: 122
Generation 168 | Revalues: 36804 | GridSize: 129
Generation 169 | Revalues: 37016 | GridSize: 139
Generation 170 | Revalues: 37250 | GridSize: 143
Generation 171 | Revalues: 37454 | GridSize: 123
Generation 172 | Revalues: 37678 | GridSize: 120
Generation 173 | Revalues: 37908 | GridSize: 120
Generation 174 | Revalues: 38146 | GridSize: 122
Generation 175 | Revalues: 38362 | GridSize: 127
Generation 176 | Revalues: 38584 | GridSize: 125
Generation 177 | Revalues: 38836 | GridSize: 111
Generation 178 | Revalues: 39064 | GridSize: 116
Generation 179 | Revalues: 39274 | GridSize: 126
Generation 180 | Revalues: 39490 | GridSize: 125
Generation 181 | Revalues: 39718 | GridSize: 127
Generation 182 | Revalues: 39898 | GridSize: 131
Generation 183 | Revalues: 40106 | GridSize: 138
Generation 184 | Revalues: 40348 | GridSize: 139
Generation 185 | Revalues: 40556 | GridSize: 137
Generation 186 | Revalues: 40758 | GridSize: 141
Generation 187 | Revalues: 40992 | GridSize: 131
Generation 188 | Revalues: 41216 | GridSize: 134
Generation 189 | Revalues: 41446 | GridSize: 131
Generation 190 | Revalues: 41664 | GridSize: 130
Generation 191 | Revalues: 41920 | GridSize: 123
Generation 192 | Revalues: 42126 | GridSize: 134
Generation 193 | Revalues: 42336 | GridSize: 133
Generation 194 | Revalues: 42554 | GridSize: 134
Generation 195 | Revalues: 42758 | GridSize: 127
Generation 196 | Revalues: 42968 | GridSize: 121
Generation 197 | Revalues: 43198 | GridSize: 123
Generation 198 | Revalues: 43408 | GridSize: 127
Generation 199 | Revalues: 43640 | GridSize: 120
Generation 200 | Revalues: 43856 | GridSize: 123
Generation 201 | Revalues: 44074 | GridSize: 130
Generation 202 | Revalues: 44304 | GridSize: 139
Generation 203 | Revalues: 44528 | GridSize: 149
Generation 204 | Revalues: 44754 | GridSize: 150
Generation 205 | Revalues: 44968 | GridSize: 145
Generation 206 | Revalues: 45184 | GridSize: 157
Generation 207 | Revalues: 45402 | GridSize: 150
Generation 208 | Revalues: 45624 | GridSize: 162
Generation 209 | Revalues: 45852 | GridSize: 173
Generation 210 | Revalues: 46062 | GridSize: 163
Generation 211 | Revalues: 46266 | GridSize: 162
Generation 212 | Revalues: 46496 | GridSize: 176
Generation 213 | Revalues: 46714 | GridSize: 184
Generation 214 | Revalues: 46942 | GridSize: 186
Generation 215 | Revalues: 47144 | GridSize: 195
Generation 216 | Revalues: 47372 | GridSize: 198
Generation 217 | Revalues: 47588 | GridSize: 176
Generation 218 | Revalues: 47786 | GridSize: 175
Generation 219 | Revalues: 48008 | GridSize: 180
Generation 220 | Revalues: 48220 | GridSize: 182
Generation 221 | Revalues: 48460 | GridSize: 190
Generation 222 | Revalues: 48682 | GridSize: 195
Generation 223 | Revalues: 48896 | GridSize: 194
Generation 224 | Revalues: 49098 | GridSize: 190
Generation 225 | Revalues: 49302 | GridSize: 191
Generation 226 | Revalues: 49524 | GridSize: 195
Generation 227 | Revalues: 49748 | GridSize: 195
Generation 228 | Revalues: 49974 | GridSize: 194
Generation 229 | Revalues: 50182 | GridSize: 184
Generation 230 | Revalues: 50380 | GridSize: 187
Generation 231 | Revalues: 50600 | GridSize: 189
Generation 232 | Revalues: 50824 | GridSize: 184
Generation 233 | Revalues: 51046 | GridSize: 181
Generation 234 | Revalues: 51282 | GridSize: 176
Generation 235 | Revalues: 51522 | GridSize: 182
Generation 236 | Revalues: 51750 | GridSize: 185
Generation 237 | Revalues: 51962 | GridSize: 184
Generation 238 | Revalues: 52190 | GridSize: 178
Generation 239 | Revalues: 52404 | GridSize: 170
Generation 240 | Revalues: 52626 | GridSize: 170
Generation 241 | Revalues: 52826 | GridSize: 170
Generation 242 | Revalues: 53026 | GridSize: 176
Generation 243 | Revalues: 53226 | GridSize: 175
Generation 244 | Revalues: 53434 | GridSize: 163
Generation 245 | Revalues: 53656 | GridSize: 162
Generation 246 | Revalues: 53870 | GridSize: 169
Generation 247 | Revalues: 54100 | GridSize: 173
Generation 248 | Revalues: 54294 | GridSize: 181
Generation 249 | Revalues: 54506 | GridSize: 181
Generation 250 | Revalues: 54720 | GridSize: 194
Generation 251 | Revalues: 54950 | GridSize: 198
Generation 252 | Revalues: 55160 | GridSize: 197
Generation 253 | Revalues: 55366 | GridSize: 199
Generation 254 | Revalues: 55588 | GridSize: 188
Generation 255 | Revalues: 55844 | GridSize: 184
Generation 256 | Revalues: 56062 | GridSize: 189
Generation 257 | Revalues: 56292 | GridSize: 196
Generation 258 | Revalues: 56530 | GridSize: 199
Generation 259 | Revalues: 56750 | GridSize: 205
Generation 260 | Revalues: 56970 | GridSize: 209
Generation 261 | Revalues: 57204 | GridSize: 214
Generation 262 | Revalues: 57436 | GridSize: 202
Generation 263 | Revalues: 57662 | GridSize: 201
Generation 264 | Revalues: 57888 | GridSize: 200
Generation 265 | Revalues: 58096 | GridSize: 196
Generation 266 | Revalues: 58330 | GridSize: 195
Generation 267 | Revalues: 58558 | GridSize: 201
Generation 268 | Revalues: 58802 | GridSize: 203
Generation 269 | Revalues: 59032 | GridSize: 205
Generation 270 | Revalues: 59254 | GridSize: 204
Generation 271 | Revalues: 59472 | GridSize: 205
Generation 272 | Revalues: 59682 | GridSize: 204
Generation 273 | Revalues: 59884 | GridSize: 194
Generation 274 | Revalues: 60106 | GridSize: 185
Generation 275 | Revalues: 60336 | GridSize: 178
Generation 276 | Revalues: 60556 | GridSize: 179
Generation 277 | Revalues: 60784 | GridSize: 184
Generation 278 | Revalues: 61024 | GridSize: 190
Generation 279 | Revalues: 61226 | GridSize: 193
Generation 280 | Revalues: 61434 | GridSize: 194
Generation 281 | Revalues: 61666 | GridSize: 200
Generation 282 | Revalues: 61880 | GridSize: 206
Generation 283 | Revalues: 62122 | GridSize: 203
Generation 284 | Revalues: 62330 | GridSize: 210
Generation 285 | Revalues: 62528 | GridSize: 216
Generation 286 | Revalues: 62724 | GridSize: 219
Generation 287 | Revalues: 62922 | GridSize: 233
Generation 288 | Revalues: 63150 | GridSize: 244
Generation 289 | Revalues: 63380 | GridSize: 252
Generation 290 | Revalues: 63616 | GridSize: 265
Generation 291 | Revalues: 63854 | GridSize: 270
Generation 292 | Revalues: 64074 | GridSize: 275
Generation 293 | Revalues: 64298 | GridSize: 268
Generation 294 | Revalues: 64536 | GridSize: 261
Generation 295 | Revalues: 64748 | GridSize: 264
Generation 296 | Revalues: 64980 | GridSize: 266
Generation 297 | Revalues: 65194 | GridSize: 260
Generation 298 | Revalues: 65392 | GridSize: 257
Generation 299 | Revalues: 65622 | GridSize: 258
Generation 300 | Revalues: 65846 | GridSize: 255
Generation 301 | Revalues: 66082 | GridSize: 254
Generation 302 | Revalues: 66300 | GridSize: 260
Generation 303 | Revalues: 66498 | GridSize: 268
Generation 304 | Revalues: 66728 | GridSize: 270
Generation 305 | Revalues: 66932 | GridSize: 266
Generation 306 | Revalues: 67154 | GridSize: 265
Generation 307 | Revalues: 67370 | GridSize: 269
Generation 308 | Revalues: 67574 | GridSize: 268
Generation 309 | Revalues: 67802 | GridSize: 278
Generation 310 | Revalues: 68018 | GridSize: 274
Generation 311 | Revalues: 68236 | GridSize: 277
Generation 312 | Revalues: 68476 | GridSize: 277
Generation 313 | Revalues: 68678 | GridSize: 269
Generation 314 | Revalues: 68890 | GridSize: 279
Generation 315 | Revalues: 69124 | GridSize: 266
Generation 316 | Revalues: 69340 | GridSize: 265
Generation 317 | Revalues: 69578 | GridSize: 265
Generation 318 | Revalues: 69832 | GridSize: 267
Generation 319 | Revalues: 70048 | GridSize: 269
Generation 320 | Revalues: 70278 | GridSize: 276
Generation 321 | Revalues: 70502 | GridSize: 276
Generation 322 | Revalues: 70736 | GridSize: 270
Generation 323 | Revalues: 70948 | GridSize: 278
Generation 324 | Revalues: 71150 | GridSize: 279
Generation 325 | Revalues: 71374 | GridSize: 270
Generation 326 | Revalues: 71574 | GridSize: 274
Generation 327 | Revalues: 71780 | GridSize: 268
Generation 328 | Revalues: 71990 | GridSize: 273
Generation 329 | Revalues: 72228 | GridSize: 268
Generation 330 | Revalues: 72456 | GridSize: 274
Generation 331 | Revalues: 72674 | GridSize: 278
Generation 332 | Revalues: 72880 | GridSize: 277
Generation 333 | Revalues: 73092 | GridSize: 280
Generation 334 | Revalues: 73320 | GridSize: 284
Generation 335 | Revalues: 73528 | GridSize: 288
Generation 336 | Revalues: 73756 | GridSize: 292
Generation 337 | Revalues: 73974 | GridSize: 297
Generation 338 | Revalues: 74178 | GridSize: 300
Generation 339 | Revalues: 74398 | GridSize: 291
Generation 340 | Revalues: 74606 | GridSize: 290
Generation 341 | Revalues: 74838 | GridSize: 289
Generation 342 | Revalues: 75052 | GridSize: 289
Generation 343 | Revalues: 75270 | GridSize: 286
Generation 344 | Revalues: 75474 | GridSize: 291
Generation 345 | Revalues: 75710 | GridSize: 283
Generation 346 | Revalues: 75938 | GridSize: 291
Generation 347 | Revalues: 76160 | GridSize: 297
Generation 348 | Revalues: 76380 | GridSize: 294
Generation 349 | Revalues: 76596 | GridSize: 277
Generation 350 | Revalues: 76796 | GridSize: 273
Generation 351 | Revalues: 77016 | GridSize: 277
Generation 352 | Revalues: 77236 | GridSize: 280
Generation 353 | Revalues: 77460 | GridSize: 285
Generation 354 | Revalues: 77686 | GridSize: 296
Generation 355 | Revalues: 77912 | GridSize: 300
Generation 356 | Revalues: 78146 | GridSize: 296
Generation 357 | Revalues: 78372 | GridSize: 300
Generation 358 | Revalues: 78604 | GridSize: 300
Generation 359 | Revalues: 78826 | GridSize: 295
Generation 360 | Revalues: 79040 | GridSize: 293
Generation 361 | Revalues: 79258 | GridSize: 300
Generation 362 | Revalues: 79470 | GridSize: 292
Generation 363 | Revalues: 79684 | GridSize: 288
Generation 364 | Revalues: 79896 | GridSize: 290
Generation 365 | Revalues: 80136 | GridSize: 291
Generation 366 | Revalues: 80346 | GridSize: 289
Generation 367 | Revalues: 80562 | GridSize: 283
Generation 368 | Revalues: 80762 | GridSize: 273
Generation 369 | Revalues: 80974 | GridSize: 273
Generation 370 | Revalues: 81200 | GridSize: 275
Generation 371 | Revalues: 81408 | GridSize: 280
Generation 372 | Revalues: 81618 | GridSize: 285
Generation 373 | Revalues: 81860 | GridSize: 293
Generation 374 | Revalues: 82080 | GridSize: 296
Generation 375 | Revalues: 82304 | GridSize: 295
Generation 376 | Revalues: 82522 | GridSize: 297
Generation 377 | Revalues: 82752 | GridSize: 298
Generation 378 | Revalues: 82964 | GridSize: 296
Generation 379 | Revalues: 83190 | GridSize: 299
Generation 380 | Revalues: 83418 | GridSize: 293
Generation 381 | Revalues: 83646 | GridSize: 285
Generation 382 | Revalues: 83878 | GridSize: 284
Generation 383 | Revalues: 84110 | GridSize: 289
Generation 384 | Revalues: 84310 | GridSize: 277
Generation 385 | Revalues: 84524 | GridSize: 280
Generation 386 | Revalues: 84752 | GridSize: 282
Generation 387 | Revalues: 84974 | GridSize: 267
Generation 388 | Revalues: 85176 | GridSize: 268
Generation 389 | Revalues: 85396 | GridSize: 256
Generation 390 | Revalues: 85602 | GridSize: 248
Generation 391 | Revalues: 85792 | GridSize: 247
