r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0008281549,0.0008210336,0.0008154882,0.0008238643,0.0008425048,0.0008007782
50%,0.0008245365,0.0008343689,0.0008159303,0.0008313186,0.0008379598,0.0008183049
25%,0.0008332957,0.0007994011,0.0008295514,0.0008382689,0.0008251652,0.0008154835
10%,0.0008209651,0.0008336643,0.0008230826,0.000819851,0.0008282356,0.0008233512
5%,0.0008107093,0.0008324684,0.0008490132,0.0008344318,0.0008314316,0.0008198649
