r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.108950993,0.1081716706,0.1074613596,0.1086597327,0.1109902683,0.1055763493
50%,0.1086337791,0.1098268944,0.1076601367,0.1095853288,0.1103895262,0.1077567621
25%,0.1097651567,0.1054073658,0.109364918,0.1104421444,0.108782104,0.1075827204
10%,0.1081660398,0.109881583,0.1085230992,0.1081256156,0.1092135194,0.1084816768
5%,0.1068985907,0.1098954262,0.1117855642,0.109957044,0.1096953959,0.1080978663
