r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9987334122,0.9988400145,0.9987477433,0.9987465463,0.9988105406,0.9988354135
50%,0.9987375028,0.9986566343,0.9987957618,0.998784707,0.9987196918,0.9987430460
25%,0.9987110317,0.9988446096,0.9986788417,0.9987028582,0.9987509571,0.9987617529
10%,0.9986962487,0.9986996114,0.9987340801,0.9987401974,0.9987056561,0.9986649142
5%,0.9988055708,0.9987431952,0.9986616875,0.9986716608,0.9987636149,0.9987276487
