Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 300 | GridSize: 25
Generation 2 | Revalues: 504 | GridSize: 25
Generation 3 | Revalues: 690 | GridSize: 24
Generation 4 | Revalues: 880 | GridSize: 29
Generation 5 | Revalues: 1068 | GridSize: 28
Generation 6 | Revalues: 1244 | GridSize: 38
Generation 7 | Revalues: 1452 | GridSize: 38
Generation 8 | Revalues: 1638 | GridSize: 42
Generation 9 | Revalues: 1842 | GridSize: 33
Generation 10 | Revalues: 2044 | GridSize: 40
Generation 11 | Revalues: 2244 | GridSize: 42
Generation 12 | Revalues: 2436 | GridSize: 53
Generation 13 | Revalues: 2646 | GridSize: 58
Generation 14 | Revalues: 2846 | GridSize: 60
Generation 15 | Revalues: 3060 | GridSize: 68
Generation 16 | Revalues: 3248 | GridSize: 70
Generation 17 | Revalues: 3458 | GridSize: 71
Generation 18 | Revalues: 3684 | GridSize: 76
Generation 19 | Revalues: 3860 | GridSize: 88
Generation 20 | Revalues: 4066 | GridSize: 88
Generation 21 | Revalues: 4254 | GridSize: 87
Generation 22 | Revalues: 4448 | GridSize: 84
Generation 23 | Revalues: 4622 | GridSize: 90
Generation 24 | Revalues: 4842 | GridSize: 81
Generation 25 | Revalues: 5042 | GridSize: 93
Generation 26 | Revalues: 5212 | GridSize: 88
Generation 27 | Revalues: 5426 | GridSize: 84
Generation 28 | Revalues: 5632 | GridSize: 96
Generation 29 | Revalues: 5826 | GridSize: 105
Generation 30 | Revalues: 6048 | GridSize: 111
Generation 31 | Revalues: 6242 | GridSize: 116
Generation 32 | Revalues: 6460 | GridSize: 124
Generation 33 | Revalues: 6654 | GridSize: 126
Generation 34 | Revalues: 6860 | GridSize: 122
Generation 35 | Revalues: 7046 | GridSize: 120
Generation 36 | Revalues: 7244 | GridSize: 122
Generation 37 | Revalues: 7460 | GridSize: 135
Generation 38 | Revalues: 7668 | GridSize: 139
Generation 39 | Revalues: 7890 | GridSize: 146
Generation 40 | Revalues: 8094 | GridSize: 146
Generation 41 | Revalues: 8302 | GridSize: 155
Generation 42 | Revalues: 8496 | GridSize: 157
Generation 43 | Revalues: 8706 | GridSize: 146
Generation 44 | Revalues: 8920 | GridSize: 149
Generation 45 | Revalues: 9120 | GridSize: 150
Generation 46 | Revalues: 9342 | GridSize: 150
Generation 47 | Revalues: 9530 | GridSize: 157
Generation 48 | Revalues: 9738 | GridSize: 153
Generation 49 | Revalues: 9950 | GridSize: 157
Generation 50 | Revalues: 10164 | GridSize: 160
Generation 51 | Revalues: 10356 | GridSize: 164
Generation 52 | Revalues: 10556 | GridSize: 168
Generation 53 | Revalues: 10778 | GridSize: 171
Generation 54 | Revalues: 10962 | GridSize: 149
Generation 55 | Revalues: 11162 | GridSize: 147
Generation 56 | Revalues: 11354 | GridSize: 143
Generation 57 | Revalues: 11546 | GridSize: 144
Generation 58 | Revalues: 11748 | GridSize: 147
Generation 59 | Revalues: 11958 | GridSize: 151
Generation 60 | Revalues: 12162 | GridSize: 144
Generation 61 | Revalues: 12356 | GridSize: 143
Generation 62 | Revalues: 12554 | GridSize: 150
Generation 63 | Revalues: 12742 | GridSize: 151
Generation 64 | Revalues: 12948 | GridSize: 152
Generation 65 | Revalues: 13174 | GridSize: 143
Generation 66 | Revalues: 13376 | GridSize: 140
Generation 67 | Revalues: 13566 | GridSize: 142
Generation 68 | Revalues: 13772 | GridSize: 144
Generation 69 | Revalues: 13976 | GridSize: 146
Generation 70 | Revalues: 14174 | GridSize: 148
Generation 71 | Revalues: 14348 | GridSize: 152
Generation 72 | Revalues: 14530 | GridSize: 158
Generation 73 | Revalues: 14708 | GridSize: 162
Generation 74 | Revalues: 14896 | GridSize: 165
Generation 75 | Revalues: 15110 | GridSize: 155
Generation 76 | Revalues: 15316 | GridSize: 155
Generation 77 | Revalues: 15502 | GridSize: 160
Generation 78 | Revalues: 15706 | GridSize: 164
Generation 79 | Revalues: 15914 | GridSize: 168
Generation 80 | Revalues: 16094 | GridSize: 164
Generation 81 | Revalues: 16306 | GridSize: 169
Generation 82 | Revalues: 16490 | GridSize: 169
Generation 83 | Revalues: 16678 | GridSize: 178
Generation 84 | Revalues: 16858 | GridSize: 177
Generation 85 | Revalues: 17056 | GridSize: 185
Generation 86 | Revalues: 17250 | GridSize: 173
Generation 87 | Revalues: 17450 | GridSize: 172
Generation 88 | Revalues: 17646 | GridSize: 173
Generation 89 | Revalues: 17852 | GridSize: 179
Generation 90 | Revalues: 18040 | GridSize: 178
Generation 91 | Revalues: 18244 | GridSize: 185
Generation 92 | Revalues: 18460 | GridSize: 185
Generation 93 | Revalues: 18662 | GridSize: 186
Generation 94 | Revalues: 18852 | GridSize: 186
Generation 95 | Revalues: 19058 | GridSize: 180
Generation 96 | Revalues: 19252 | GridSize: 185
Generation 97 | Revalues: 19464 | GridSize: 181
Generation 98 | Revalues: 19648 | GridSize: 185
Generation 99 | Revalues: 19838 | GridSize: 185
Generation 100 | Revalues: 20036 | GridSize: 187
Generation 101 | Revalues: 20242 | GridSize: 177
