Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 308 | GridSize: 11
Generation 2 | Revalues: 494 | GridSize: 16
Generation 3 | Revalues: 696 | GridSize: 24
Generation 4 | Revalues: 900 | GridSize: 27
Generation 5 | Revalues: 1108 | GridSize: 22
Generation 6 | Revalues: 1302 | GridSize: 22
Generation 7 | Revalues: 1504 | GridSize: 29
Generation 8 | Revalues: 1706 | GridSize: 31
Generation 9 | Revalues: 1922 | GridSize: 35
Generation 10 | Revalues: 2168 | GridSize: 39
Generation 11 | Revalues: 2364 | GridSize: 38
Generation 12 | Revalues: 2562 | GridSize: 38
Generation 13 | Revalues: 2758 | GridSize: 39
Generation 14 | Revalues: 2952 | GridSize: 40
Generation 15 | Revalues: 3122 | GridSize: 43
Generation 16 | Revalues: 3328 | GridSize: 40
Generation 17 | Revalues: 3552 | GridSize: 45
Generation 18 | Revalues: 3736 | GridSize: 49
Generation 19 | Revalues: 3934 | GridSize: 52
Generation 20 | Revalues: 4124 | GridSize: 53
Generation 21 | Revalues: 4322 | GridSize: 58
Generation 22 | Revalues: 4496 | GridSize: 56
Generation 23 | Revalues: 4700 | GridSize: 58
Generation 24 | Revalues: 4900 | GridSize: 60
Generation 25 | Revalues: 5106 | GridSize: 62
Generation 26 | Revalues: 5322 | GridSize: 55
Generation 27 | Revalues: 5532 | GridSize: 57
Generation 28 | Revalues: 5762 | GridSize: 56
Generation 29 | Revalues: 5948 | GridSize: 60
Generation 30 | Revalues: 6138 | GridSize: 64
Generation 31 | Revalues: 6332 | GridSize: 65
Generation 32 | Revalues: 6538 | GridSize: 68
Generation 33 | Revalues: 6722 | GridSize: 69
Generation 34 | Revalues: 6914 | GridSize: 71
Generation 35 | Revalues: 7118 | GridSize: 77
Generation 36 | Revalues: 7312 | GridSize: 80
Generation 37 | Revalues: 7510 | GridSize: 80
Generation 38 | Revalues: 7682 | GridSize: 82
Generation 39 | Revalues: 7906 | GridSize: 84
Generation 40 | Revalues: 8066 | GridSize: 86
Generation 41 | Revalues: 8266 | GridSize: 84
Generation 42 | Revalues: 8474 | GridSize: 83
Generation 43 | Revalues: 8684 | GridSize: 87
Generation 44 | Revalues: 8874 | GridSize: 90
Generation 45 | Revalues: 9052 | GridSize: 89
Generation 46 | Revalues: 9240 | GridSize: 93
Generation 47 | Revalues: 9442 | GridSize: 95
Generation 48 | Revalues: 9624 | GridSize: 93
Generation 49 | Revalues: 9794 | GridSize: 91
Generation 50 | Revalues: 10020 | GridSize: 91
Generation 51 | Revalues: 10208 | GridSize: 94
