Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 294 | GridSize: 11
Generation 2 | Revalues: 516 | GridSize: 13
Generation 3 | Revalues: 706 | GridSize: 15
Generation 4 | Revalues: 888 | GridSize: 19
Generation 5 | Revalues: 1082 | GridSize: 21
Generation 6 | Revalues: 1296 | GridSize: 23
Generation 7 | Revalues: 1532 | GridSize: 26
Generation 8 | Revalues: 1760 | GridSize: 27
Generation 9 | Revalues: 1946 | GridSize: 21
Generation 10 | Revalues: 2148 | GridSize: 34
Generation 11 | Revalues: 2338 | GridSize: 22
Generation 12 | Revalues: 2566 | GridSize: 31
Generation 13 | Revalues: 2776 | GridSize: 26
Generation 14 | Revalues: 2994 | GridSize: 26
Generation 15 | Revalues: 3214 | GridSize: 27
Generation 16 | Revalues: 3428 | GridSize: 29
Generation 17 | Revalues: 3628 | GridSize: 29
Generation 18 | Revalues: 3870 | GridSize: 31
Generation 19 | Revalues: 4094 | GridSize: 33
Generation 20 | Revalues: 4276 | GridSize: 38
Generation 21 | Revalues: 4486 | GridSize: 40
Generation 22 | Revalues: 4694 | GridSize: 36
Generation 23 | Revalues: 4872 | GridSize: 38
Generation 24 | Revalues: 5074 | GridSize: 43
Generation 25 | Revalues: 5284 | GridSize: 51
Generation 26 | Revalues: 5480 | GridSize: 48
Generation 27 | Revalues: 5666 | GridSize: 42
Generation 28 | Revalues: 5840 | GridSize: 45
Generation 29 | Revalues: 6026 | GridSize: 51
Generation 30 | Revalues: 6238 | GridSize: 56
Generation 31 | Revalues: 6428 | GridSize: 43
Generation 32 | Revalues: 6618 | GridSize: 52
Generation 33 | Revalues: 6810 | GridSize: 46
Generation 34 | Revalues: 7016 | GridSize: 52
Generation 35 | Revalues: 7206 | GridSize: 45
Generation 36 | Revalues: 7388 | GridSize: 45
Generation 37 | Revalues: 7588 | GridSize: 44
Generation 38 | Revalues: 7802 | GridSize: 52
Generation 39 | Revalues: 8010 | GridSize: 53
Generation 40 | Revalues: 8202 | GridSize: 59
Generation 41 | Revalues: 8408 | GridSize: 67
Generation 42 | Revalues: 8620 | GridSize: 70
Generation 43 | Revalues: 8812 | GridSize: 58
Generation 44 | Revalues: 8990 | GridSize: 50
Generation 45 | Revalues: 9202 | GridSize: 54
Generation 46 | Revalues: 9426 | GridSize: 56
Generation 47 | Revalues: 9630 | GridSize: 56
Generation 48 | Revalues: 9832 | GridSize: 56
Generation 49 | Revalues: 10016 | GridSize: 64
Generation 50 | Revalues: 10212 | GridSize: 63
Generation 51 | Revalues: 10420 | GridSize: 66
Generation 52 | Revalues: 10614 | GridSize: 65
Generation 53 | Revalues: 10810 | GridSize: 72
Generation 54 | Revalues: 11000 | GridSize: 71
Generation 55 | Revalues: 11194 | GridSize: 75
