Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.4885632184,0.1425585341,0.9390160939,1.8692510887,-0.2234891165,0.0976436782,0.0925185259,0.9440643094,2.7200758277,0.9573703835,0.4137931034,0.0674876128,0.7100353486,2.0726197923,-0.2494509531,0.4137931034,0.0674876128,0.7100353486,2.0726197923,-0.2494509531,0.71176977605,0.7119888226
2,0.3960869565,0.099372559,0.8452647597,1.8932700285,0.0910942808,0.1095652174,0.0825663507,0.8556619869,2.1915838804,0.5597379792,0.4943478261,0.0435591639,0.2040138729,2.5804405992,0.0399879842,0.4943478261,0.0435591639,0.2040138729,2.5804405992,0.0399879842,0.78983422385,0.7898593295
3,0.3961458333,0.1227346375,0.9153681265,1.7894602568,-0.0993971224,0.0810416667,0.0725571494,0.8301753938,2.8752678612,0.9442856023,0.5228125,0.0664729444,0.6794673425,2.0776536928,-0.3115732834,0.5228125,0.0664729444,0.6794673425,2.0776536928,-0.3115732834,0.800794240515,0.8017430957000002
4,0.3901136364,0.0924477041,0.8946940925,2.0106049111,-0.0652115583,0.1180113636,0.0890688567,0.9089140678,2.4853405266,0.7206905744,0.491875,0.0384745525,0.2181069213,2.9109522001,-0.0898258492,0.491875,0.0384745525,0.2181069213,2.9109522001,-0.0898258492,0.77398164805,0.7742030026499999
5,0.4624637681,0.1340198536,0.9199340201,1.9976498166,-0.1214865473,0.0725362319,0.0608253808,0.867195948,4.0998640904,1.2343617234,0.465,0.0842098827,0.8411043588,2.1788479156,-0.3102012518,0.465,0.0842098827,0.8411043588,2.1788479156,-0.3102012518,0.7053284405900001,0.7065731888499999
6,0.3960080645,0.0918887385,0.8391897369,1.9236009922,-0.1140876662,0.1048387097,0.0768637659,0.9043843723,2.5767834105,0.7919661956,0.4991532258,0.0401595697,0.1909304347,3.2609482453,0.0835761142,0.4991532258,0.0401595697,0.1909304347,3.2609482453,0.0835761142,0.8400510180000001,0.84050517255
7,0.4382894737,0.1396107197,0.8827244425,1.818580279,-0.169389549,0.0807894737,0.0713177316,0.8018453191,4.0964507955,1.2591545151,0.4809210526,0.0808251464,0.8106993688,1.7112787853,-0.3051116438,0.4809210526,0.0808251464,0.8106993688,1.7112787853,-0.3051116438,0.81681554876,0.8170895733500002
8,0.4201428571,0.0994304187,0.8706919144,2.0059271118,-0.1349258946,0.0689285714,0.0617881915,0.8813780128,3.0833723522,0.9991460173,0.5109285714,0.0505985097,0.6032477424,2.5461282023,-0.3267450207,0.5109285714,0.0505985097,0.6032477424,2.5461282023,-0.3267450207,0.7818474831500001,0.7820877881
9,0.6421830986,0.143182471,0.9492013355,1.8643934481,-0.2289304897,0.0831690141,0.0719117193,0.8990172451,3.4864698549,1.0575494468,0.2746478873,0.0796131666,0.9084874649,1.953957883,-0.1012987677,0.2746478873,0.0796131666,0.9084874649,1.953957883,-0.1012987677,0.76403364875,0.7645986961000002
10,0.5790909091,0.2213123891,0.9536144417,1.709774324,-0.2960000849,0.0932727273,0.0892657838,0.9148549546,3.0553623514,1.0196871079,0.3276363636,0.141831701,0.9040756691,1.5901248121,0.1048568869,0.3276363636,0.141831701,0.9040756691,1.5901248121,0.1048568869,0.68008450385,0.6811542617499999
11,0.6272727273,0.1654612053,0.8333161616,2.692116856,-0.8765759696,0.0562121212,0.070000328,0.7800406801,4.8293128693,1.6553072158,0.3165151515,0.1033344441,0.7709506941,1.9172877078,0.4255606776,0.3165151515,0.1033344441,0.7709506941,1.9172877078,0.4255606776,0.7663275058,0.76652139405
12,0.6062711864,0.1676143506,0.9378361224,2.1059887188,-0.4812125512,0.0628813559,0.0586370869,0.8711426754,2.8701504982,1.0324437146,0.3308474576,0.1137092357,0.9044445472,2.0288388745,0.2077204685,0.3308474576,0.1137092357,0.9044445472,2.0288388745,0.2077204685,0.7606499918499998,0.7607151004999999
13,0.4012628866,0.0883384889,0.8394523316,2.1261909417,-0.0777213909,0.0859278351,0.0672598052,0.89990901,2.7595177306,0.8468437569,0.5128092784,0.0407528345,0.3640146087,3.5641946606,-0.397501735,0.5128092784,0.0407528345,0.3640146087,3.5641946606,-0.397501735,0.7375424576149999,0.7395493140499999
14,0.5584042553,0.1347026133,0.9110464476,1.7889932459,-0.489458576,0.0707446809,0.0703031333,0.9070868334,2.1762774684,0.8502448214,0.3708510638,0.0715580344,0.7692453113,1.7569115105,0.1593497401,0.3708510638,0.0715580344,0.7692453113,1.7569115105,0.1593497401,0.6372191278150001,0.63777533035
15,0.5021323529,0.1225054506,0.8879407721,2.2131036876,-0.4372290909,0.0713970588,0.0607541186,0.8703235182,4.9189366535,1.6023367776,0.4264705882,0.0745084817,0.7729876762,1.8488957857,-0.1112063641,0.4264705882,0.0745084817,0.7729876762,1.8488957857,-0.1112063641,0.6346159763999999,0.6365972518499999
16,0.5375862069,0.135106093,0.9239131498,2.3569813678,-0.5916304176,0.0989655172,0.0889147142,0.9213167423,3.7409422967,1.2644810026,0.3634482759,0.0601234857,0.7450910865,2.7535188313,-0.0294139799,0.3634482759,0.0601234857,0.7450910865,2.7535188313,-0.0294139799,0.800114596455,0.80277666225
17,0.4951030928,0.1304768799,0.9176772541,1.9569188462,-0.35307118,0.0832989691,0.0872928671,0.9202719582,3.4630631168,1.2459508382,0.4215979381,0.0620007748,0.6964851786,2.3463793168,-0.1780281127,0.4215979381,0.0620007748,0.6964851786,2.3463793168,-0.1780281127,0.77366263085,0.77518693965
18,0.4833333333,0.1472007322,0.9402077567,1.918504583,-0.1158834256,0.0855357143,0.0762983565,0.9034452526,3.2454651128,1.0670599233,0.4311309524,0.0839832438,0.8313257231,2.1434452473,-0.303335187,0.4311309524,0.0839832438,0.8313257231,2.1434452473,-0.303335187,0.7283013139050001,0.7290264868499998
19,0.4778313253,0.1171040953,0.8740275203,1.869875461,-0.1257563103,0.0739156627,0.0614682217,0.8775665522,3.45413182,1.12575755,0.448253012,0.0703538121,0.6520204129,1.9941005943,-0.1464674822,0.448253012,0.0703538121,0.6520204129,1.9941005943,-0.1464674822,0.82442057335,0.8270755761499998
20,0.5375657895,0.1529501411,0.9504264067,1.7292416043,-0.3283684864,0.0836184211,0.0664890112,0.9285228058,2.4690405361,0.7699267718,0.3788157895,0.0923304578,0.8694697528,1.7842914862,0.2174655372,0.3788157895,0.0923304578,0.8694697528,1.7842914862,0.2174655372,0.7875467973999999,0.7891424392500002
21,0.4432291667,0.1340416974,0.903812974,1.6364084974,-0.0456136682,0.0963541667,0.0794626457,0.8411243308,2.8960421426,0.8901711486,0.4604166667,0.0714349452,0.6164905924,2.049946766,-0.1977540457,0.4604166667,0.0714349452,0.6164905924,2.049946766,-0.1977540457,0.8173009849000001,0.8184101963000001
22,0.3705974843,0.0806252391,0.8163325448,2.1951021294,-0.1168316838,0.086509434,0.0683078371,0.8935389882,2.5601961395,0.7913533181,0.5428930818,0.0383150776,0.1623347443,2.6286993267,-0.1591666155,0.5428930818,0.0383150776,0.1623347443,2.6286993267,-0.1591666155,0.7410255091999999,0.7421007761000001
23,0.4407738095,0.1366597575,0.9128631937,1.7907992477,-0.1384413356,0.0991666667,0.0828755282,0.9095556766,2.3703642721,0.8064452725,0.4600595238,0.0681843354,0.6585630594,2.2085834458,-0.292472543,0.4600595238,0.0681843354,0.6585630594,2.2085834458,-0.292472543,0.68077319268,0.685975915
