Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
263,0.2702702703,0.1055612154,-0.0014914111,2.3405642266,0.4938744993,0.2135135135,0.0890252383,0.1675982185,2.8904009429,-0.1524377366,0.5162162162,0.1007096805,-0.0175880472,2.3500631959,-0.0109588311,0.5162162162,0.1007096805,-0.0175880472,2.3500631959,-0.0109588311,0.7672311663999999,0.7624346662
264,0.25,0.1122167215,0.1764705882,2.3531574394,-0.255545432,0.1462962963,0.0859865686,-0.0982663408,3.7330390918,0.5953510514,0.6037037037,0.120896287,0.146830465,2.6934952317,0.2748702334,0.6037037037,0.120896287,0.146830465,2.6934952317,0.2748702334,0.7722867235499999,0.7688935652
265,0.375,0.1620185175,-0.2457496136,2.8996598639,0.0881733428,0.14375,0.094991776,-0.0457846542,4.2430426716,1.1638054656,0.48125,0.1333170563,0.0922844175,3.1012148291,-0.2281185075,0.48125,0.1333170563,0.0922844175,3.1012148291,-0.2281185075,0.8163401254,0.8157576561
266,0.2769230769,0.0774978526,-0.0393603936,1.5870198258,-0.0718767242,0.1692307692,0.0821313712,0.2184368737,3.3882156048,0.1004365048,0.5538461538,0.1064488654,0.5010235415,3.0306532869,0.7126295415,0.5538461538,0.1064488654,0.5010235415,3.0306532869,0.7126295415,0.8038725751300001,0.80196771265
267,0.3296296296,0.1002397674,0.1714189565,2.5954904542,-0.5080978888,0.1925925926,0.0968998182,0.2752654096,1.9934544044,-0.2179965549,0.4777777778,0.1234783932,-0.2063637195,2.8149863135,0.4276984387,0.4777777778,0.1234783932,-0.2063637195,2.8149863135,0.4276984387,0.8521726128999999,0.8455828346499998
268,0.36,0.1113552873,-0.3706563707,2.0793444329,0.6170311183,0.14,0.08,-0.0080645161,2.5908203125,-0.55078125,0.5,0.0547722558,-0.4,2.5,0.9128709292,0.5,0.0547722558,-0.4,2.5,0.9128709292,0.8609662116099999,0.8554201882099999
269,0.3815789474,0.1053946547,-0.2153820091,3.8237106734,0.321761391,0.1552631579,0.0686231832,0.0982095561,2.3369290657,-0.1898238347,0.4631578947,0.1110264374,-0.3237947123,2.6007183436,0.3590494907,0.4631578947,0.1110264374,-0.3237947123,2.6007183436,0.3590494907,0.78844275963,0.7860688494500001
270,0.235,0.09367497,0.0914277564,2.2889181094,0.3932491982,0.2275,0.1005919977,-0.0514959127,2.7627898477,-0.588824242,0.5375,0.1059186008,0.1839581517,2.2790403551,-0.0808683229,0.5375,0.1059186008,0.1839581517,2.2790403551,-0.0808683229,0.8700875003050001,0.8599162205549999
271,0.2652777778,0.0998745355,-0.2787020035,3.7193739718,0.8514787121,0.2027777778,0.0971428247,0.1655598336,2.6450332915,0.0126724212,0.5319444444,0.1112759194,0.0341420269,3.4153690017,-0.2977162177,0.5319444444,0.1112759194,0.0341420269,3.4153690017,-0.2977162177,0.6894686820000001,0.66770167215
272,0.3282051282,0.1136768202,0.2613557327,3.3764774787,0.0607596664,0.1371794872,0.0860217241,0.3346696806,3.1624952314,0.9438791656,0.5346153846,0.1050969309,-0.1003047141,4.917833227,0.7404859638,0.5346153846,0.1050969309,-0.1003047141,4.917833227,0.7404859638,0.8544397086,0.85342067125
273,0.365,0.141509717,0.0906251952,1.8380535566,-0.0942220338,0.145,0.0835164654,-0.1479215024,2.1952056114,0.3514856448,0.49,0.1365650028,0.0889464594,2.4260793939,-0.2756251594,0.49,0.1365650028,0.0889464594,2.4260793939,-0.2756251594,0.90731273025,0.90215186735
274,0.3694444444,0.1510508458,0.566391485,1.9136278543,0.1456498038,0.175,0.1181453907,0.4617563739,3.7658721319,1.1369750226,0.4555555556,0.1393326245,0.0079231455,1.7481226668,0.3937816541,0.4555555556,0.1393326245,0.0079231455,1.7481226668,0.3937816541,0.826540614255,0.8235732344000001
275,0.3378787879,0.1164697275,-0.0955427897,2.3713504024,0.0352336437,0.1833333333,0.0930678041,0.0815694373,2.2840738128,0.2939432945,0.4787878788,0.1062660348,-0.1876973885,2.5507287998,0.2501036729,0.4787878788,0.1062660348,-0.1876973885,2.5507287998,0.2501036729,0.7845389522649999,0.7712096214999999
276,0.3311111111,0.1252947143,-0.1159512204,3.0556892407,0.4486322327,0.1911111111,0.0961993814,0.0914777602,2.9929027249,0.4964040752,0.4777777778,0.1166931187,-0.2919277748,2.4993506542,0.0502843292,0.4777777778,0.1166931187,-0.2919277748,2.4993506542,0.0502843292,0.6872688498499999,0.6862042594500001
277,0.395,0.0878919792,-0.0437358425,2.501618123,-0.2894108592,0.1475,0.0679613861,0.5309319409,2.3929440545,-0.50683481,0.4575,0.0978199877,-0.076126735,3.1712630884,0.1501378171,0.4575,0.0978199877,-0.076126735,3.1712630884,0.1501378171,0.8545401288000001,0.85396762615
278,0.3361111111,0.1140243097,0.2839956795,2.831423716,0.4843339909,0.1638888889,0.0741723885,0.2571367476,3.0680411276,-0.0747955387,0.5,0.0971825316,0.0147058824,2.4134948097,0.453966843,0.5,0.0971825316,0.0147058824,2.4134948097,0.453966843,0.9145416941,0.9094373977
279,0.31,0.121380943,-0.0119667014,2.0843553572,0.5351313765,0.17,0.0881286938,0.2013718765,2.454143565,0.293659502,0.52,0.1275408431,0.0343614159,2.734975477,0.0679627998,0.52,0.1275408431,0.0343614159,2.734975477,0.0679627998,0.8916103796650001,0.8898764947500002
280,0.29375,0.0966226552,-0.0440142541,3.3819611001,0.0730746784,0.240625,0.1097612229,0.1992043087,2.4941482694,-0.1153451946,0.465625,0.1212591277,0.0836994636,2.766185638,0.2992249907,0.465625,0.1212591277,0.0836994636,2.766185638,0.2992249907,0.8487286659999999,0.8412390619
