Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.3829508197,0.1050112291,0.6424205457,2.5191546086,-0.1349467716,0.1193442623,0.0749178534,0.6861106998,2.6422250099,0.6450525826,0.497704918,0.0683384404,-0.056272343,2.444062338,0.3420043525,0.497704918,0.0683384404,-0.056272343,2.444062338,0.3420043525,0.71176977605,0.7119888226
2,0.3533333333,0.0807039733,0.1248962656,2.7601934006,0.2377753157,0.1418181818,0.0817036235,0.5680219308,4.0516395325,0.5639457699,0.5048484848,0.0756435506,-0.1697686485,2.4990635176,0.0438065946,0.5048484848,0.0756435506,-0.1697686485,2.4990635176,0.0438065946,0.78983422385,0.7898593295
3,0.35,0.0958245947,0.5761132206,1.7795393892,0.0529474791,0.1229411765,0.0708158096,0.652944569,2.698117149,0.315927571,0.5270588235,0.0685792548,0.0307296331,3.2681220924,0.276649345,0.5270588235,0.0685792548,0.0307296331,3.2681220924,0.276649345,0.800794240515,0.8017430957000002
4,0.3725806452,0.0863775561,0.4435105651,2.686933373,-0.1090764929,0.1274193548,0.0845659789,0.7505303995,2.3954855008,0.5014403854,0.5,0.0736162675,0.0061349693,2.2859863946,-0.2406300444,0.5,0.0736162675,0.0061349693,2.2859863946,-0.2406300444,0.77398164805,0.7742030026499999
5,0.405862069,0.1244024959,0.6943902148,2.2890559684,0.0854238583,0.1403448276,0.0894805993,0.8068267655,2.1615900636,0.3155300649,0.4537931034,0.0670776078,-0.0136138305,3.1143337699,0.3853327176,0.4537931034,0.0670776078,-0.0136138305,3.1143337699,0.3853327176,0.7053284405900001,0.7065731888499999
6,0.3107462687,0.0723448094,0.453527899,2.9317213439,0.368482973,0.1558208955,0.0784580742,0.5894952032,2.2139482497,0.233622193,0.5334328358,0.0676592039,0.2171262028,3.0249075694,-0.1234771019,0.5334328358,0.0676592039,0.2171262028,3.0249075694,-0.1234771019,0.8400510180000001,0.84050517255
7,0.3535294118,0.093773267,0.5942307766,2.2966186464,0.2521355354,0.1070588235,0.0702738095,0.6453539295,3.5012505279,0.8936386647,0.5394117647,0.0633357615,0.232000125,2.2949940813,-0.2175564914,0.5394117647,0.0633357615,0.232000125,2.2949940813,-0.2175564914,0.81681554876,0.8170895733500002
8,0.3338461538,0.0858327349,0.3060173519,2.5464940097,-0.1348845282,0.1271794872,0.071966827,0.5143228761,2.7002631838,0.430570827,0.538974359,0.0670168319,-0.2423511541,3.8383912513,0.3103430488,0.538974359,0.0670168319,-0.2423511541,3.8383912513,0.3103430488,0.7818474831500001,0.7820877881
9,0.465,0.1782086792,0.8776864567,1.8079059079,0.0539789784,0.1595833333,0.0824105154,0.5085264609,1.8806785917,0.0809782846,0.3754166667,0.1218085645,0.6660198164,2.4856786034,0.0814890124,0.3754166667,0.1218085645,0.6660198164,2.4856786034,0.0814890124,0.76403364875,0.7645986961000002
10,0.5015789474,0.1626996962,0.7772573549,2.5460262295,-0.2058222232,0.1242105263,0.0924699547,0.2982865653,6.5785004284,1.6594874847,0.3742105263,0.1043181263,0.5764921289,2.3046642566,0.0088476647,0.3742105263,0.1043181263,0.5764921289,2.3046642566,0.0088476647,0.68008450385,0.6811542617499999
