Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 300 | GridSize: 14
Generation 2 | Revalues: 500 | GridSize: 11
Generation 3 | Revalues: 702 | GridSize: 28
Generation 4 | Revalues: 892 | GridSize: 19
Generation 5 | Revalues: 1110 | GridSize: 12
Generation 6 | Revalues: 1336 | GridSize: 25
Generation 7 | Revalues: 1556 | GridSize: 20
Generation 8 | Revalues: 1738 | GridSize: 23
Generation 9 | Revalues: 1938 | GridSize: 28
Generation 10 | Revalues: 2126 | GridSize: 31
Generation 11 | Revalues: 2324 | GridSize: 52
Generation 12 | Revalues: 2528 | GridSize: 49
Generation 13 | Revalues: 2700 | GridSize: 47
Generation 14 | Revalues: 2904 | GridSize: 41
Generation 15 | Revalues: 3112 | GridSize: 42
Generation 16 | Revalues: 3326 | GridSize: 46
Generation 17 | Revalues: 3526 | GridSize: 56
Generation 18 | Revalues: 3730 | GridSize: 54
Generation 19 | Revalues: 3922 | GridSize: 56
Generation 20 | Revalues: 4108 | GridSize: 45
Generation 21 | Revalues: 4308 | GridSize: 60
Generation 22 | Revalues: 4514 | GridSize: 69
Generation 23 | Revalues: 4714 | GridSize: 76
Generation 24 | Revalues: 4912 | GridSize: 77
Generation 25 | Revalues: 5126 | GridSize: 52
Generation 26 | Revalues: 5322 | GridSize: 59
Generation 27 | Revalues: 5530 | GridSize: 51
Generation 28 | Revalues: 5746 | GridSize: 52
Generation 29 | Revalues: 5942 | GridSize: 59
Generation 30 | Revalues: 6156 | GridSize: 56
Generation 31 | Revalues: 6368 | GridSize: 49
Generation 32 | Revalues: 6548 | GridSize: 72
Generation 33 | Revalues: 6742 | GridSize: 78
Generation 34 | Revalues: 6944 | GridSize: 66
Generation 35 | Revalues: 7138 | GridSize: 60
Generation 36 | Revalues: 7344 | GridSize: 71
Generation 37 | Revalues: 7542 | GridSize: 74
Generation 38 | Revalues: 7728 | GridSize: 88
Generation 39 | Revalues: 7928 | GridSize: 85
Generation 40 | Revalues: 8128 | GridSize: 86
Generation 41 | Revalues: 8320 | GridSize: 70
Generation 42 | Revalues: 8510 | GridSize: 83
Generation 43 | Revalues: 8702 | GridSize: 93
Generation 44 | Revalues: 8914 | GridSize: 87
Generation 45 | Revalues: 9118 | GridSize: 85
Generation 46 | Revalues: 9298 | GridSize: 96
Generation 47 | Revalues: 9520 | GridSize: 101
Generation 48 | Revalues: 9714 | GridSize: 92
Generation 49 | Revalues: 9904 | GridSize: 101
Generation 50 | Revalues: 10100 | GridSize: 124
Generation 51 | Revalues: 10296 | GridSize: 103
Generation 52 | Revalues: 10488 | GridSize: 107
Generation 53 | Revalues: 10678 | GridSize: 109
Generation 54 | Revalues: 10896 | GridSize: 116
Generation 55 | Revalues: 11084 | GridSize: 118
Generation 56 | Revalues: 11290 | GridSize: 123
Generation 57 | Revalues: 11484 | GridSize: 122
Generation 58 | Revalues: 11684 | GridSize: 117
Generation 59 | Revalues: 11862 | GridSize: 114
Generation 60 | Revalues: 12060 | GridSize: 121
Generation 61 | Revalues: 12274 | GridSize: 124
Generation 62 | Revalues: 12482 | GridSize: 123
Generation 63 | Revalues: 12686 | GridSize: 128
Generation 64 | Revalues: 12880 | GridSize: 127
Generation 65 | Revalues: 13056 | GridSize: 123
Generation 66 | Revalues: 13282 | GridSize: 119
Generation 67 | Revalues: 13502 | GridSize: 118
Generation 68 | Revalues: 13710 | GridSize: 115
Generation 69 | Revalues: 13904 | GridSize: 118
Generation 70 | Revalues: 14114 | GridSize: 123
Generation 71 | Revalues: 14320 | GridSize: 117
Generation 72 | Revalues: 14542 | GridSize: 131
Generation 73 | Revalues: 14748 | GridSize: 136
Generation 74 | Revalues: 14958 | GridSize: 142
Generation 75 | Revalues: 15136 | GridSize: 149
Generation 76 | Revalues: 15336 | GridSize: 147
Generation 77 | Revalues: 15536 | GridSize: 147
Generation 78 | Revalues: 15734 | GridSize: 143
Generation 79 | Revalues: 15940 | GridSize: 154
Generation 80 | Revalues: 16134 | GridSize: 155
Generation 81 | Revalues: 16338 | GridSize: 150
Generation 82 | Revalues: 16514 | GridSize: 156
Generation 83 | Revalues: 16710 | GridSize: 158
Generation 84 | Revalues: 16922 | GridSize: 157
Generation 85 | Revalues: 17140 | GridSize: 151
Generation 86 | Revalues: 17346 | GridSize: 163
Generation 87 | Revalues: 17536 | GridSize: 167
Generation 88 | Revalues: 17734 | GridSize: 167
Generation 89 | Revalues: 17922 | GridSize: 160
Generation 90 | Revalues: 18120 | GridSize: 166
Generation 91 | Revalues: 18294 | GridSize: 172
Generation 92 | Revalues: 18494 | GridSize: 170
Generation 93 | Revalues: 18670 | GridSize: 171
Generation 94 | Revalues: 18868 | GridSize: 175
Generation 95 | Revalues: 19076 | GridSize: 178
Generation 96 | Revalues: 19294 | GridSize: 180
Generation 97 | Revalues: 19518 | GridSize: 189
Generation 98 | Revalues: 19708 | GridSize: 198
Generation 99 | Revalues: 19900 | GridSize: 197
Generation 100 | Revalues: 20098 | GridSize: 192
Generation 101 | Revalues: 20300 | GridSize: 200
Generation 102 | Revalues: 20498 | GridSize: 197
Generation 103 | Revalues: 20698 | GridSize: 198
Generation 104 | Revalues: 20890 | GridSize: 195
Generation 105 | Revalues: 21092 | GridSize: 199
Generation 106 | Revalues: 21316 | GridSize: 189
Generation 107 | Revalues: 21518 | GridSize: 193
Generation 108 | Revalues: 21722 | GridSize: 196
Generation 109 | Revalues: 21942 | GridSize: 203
Generation 110 | Revalues: 22158 | GridSize: 211
Generation 111 | Revalues: 22362 | GridSize: 203
Generation 112 | Revalues: 22568 | GridSize: 212
Generation 113 | Revalues: 22776 | GridSize: 203
Generation 114 | Revalues: 22974 | GridSize: 210
Generation 115 | Revalues: 23186 | GridSize: 215
Generation 116 | Revalues: 23386 | GridSize: 221
Generation 117 | Revalues: 23598 | GridSize: 219
Generation 118 | Revalues: 23794 | GridSize: 212
Generation 119 | Revalues: 23998 | GridSize: 212
Generation 120 | Revalues: 24228 | GridSize: 214
Generation 121 | Revalues: 24420 | GridSize: 218
Generation 122 | Revalues: 24614 | GridSize: 225
Generation 123 | Revalues: 24806 | GridSize: 241
Generation 124 | Revalues: 25002 | GridSize: 225
Generation 125 | Revalues: 25238 | GridSize: 230
Generation 126 | Revalues: 25430 | GridSize: 233
Generation 127 | Revalues: 25648 | GridSize: 242
Generation 128 | Revalues: 25862 | GridSize: 248
Generation 129 | Revalues: 26050 | GridSize: 245
Generation 130 | Revalues: 26256 | GridSize: 261
Generation 131 | Revalues: 26450 | GridSize: 265
Generation 132 | Revalues: 26646 | GridSize: 239
Generation 133 | Revalues: 26872 | GridSize: 244
Generation 134 | Revalues: 27084 | GridSize: 256
Generation 135 | Revalues: 27278 | GridSize: 261
Generation 136 | Revalues: 27482 | GridSize: 249
Generation 137 | Revalues: 27666 | GridSize: 257
Generation 138 | Revalues: 27858 | GridSize: 261
Generation 139 | Revalues: 28036 | GridSize: 264
Generation 140 | Revalues: 28244 | GridSize: 271
Generation 141 | Revalues: 28450 | GridSize: 257
Generation 142 | Revalues: 28646 | GridSize: 256
Generation 143 | Revalues: 28824 | GridSize: 261
Generation 144 | Revalues: 29052 | GridSize: 269
Generation 145 | Revalues: 29252 | GridSize: 266
Generation 146 | Revalues: 29462 | GridSize: 262
Generation 147 | Revalues: 29650 | GridSize: 261
Generation 148 | Revalues: 29824 | GridSize: 270
Generation 149 | Revalues: 30050 | GridSize: 277
Generation 150 | Revalues: 30246 | GridSize: 280
Generation 151 | Revalues: 30440 | GridSize: 284
Generation 152 | Revalues: 30656 | GridSize: 291
Generation 153 | Revalues: 30852 | GridSize: 300
Generation 154 | Revalues: 31036 | GridSize: 295
Generation 155 | Revalues: 31252 | GridSize: 291
Generation 156 | Revalues: 31456 | GridSize: 294
Generation 157 | Revalues: 31652 | GridSize: 296
Generation 158 | Revalues: 31828 | GridSize: 288
Generation 159 | Revalues: 32026 | GridSize: 296
Generation 160 | Revalues: 32208 | GridSize: 294
Generation 161 | Revalues: 32396 | GridSize: 300
Generation 162 | Revalues: 32612 | GridSize: 300
Generation 163 | Revalues: 32786 | GridSize: 300
Generation 164 | Revalues: 32988 | GridSize: 293
Generation 165 | Revalues: 33182 | GridSize: 300
Generation 166 | Revalues: 33386 | GridSize: 294
Generation 167 | Revalues: 33558 | GridSize: 289
Generation 168 | Revalues: 33744 | GridSize: 291
Generation 169 | Revalues: 33940 | GridSize: 291
Generation 170 | Revalues: 34124 | GridSize: 297
Generation 171 | Revalues: 34314 | GridSize: 296
Generation 172 | Revalues: 34522 | GridSize: 297
Generation 173 | Revalues: 34714 | GridSize: 300
Generation 174 | Revalues: 34912 | GridSize: 295
Generation 175 | Revalues: 35110 | GridSize: 295
Generation 176 | Revalues: 35318 | GridSize: 295
Generation 177 | Revalues: 35546 | GridSize: 300
Generation 178 | Revalues: 35752 | GridSize: 288
Generation 179 | Revalues: 35938 | GridSize: 290
Generation 180 | Revalues: 36132 | GridSize: 292
Generation 181 | Revalues: 36330 | GridSize: 296
Generation 182 | Revalues: 36508 | GridSize: 286
Generation 183 | Revalues: 36718 | GridSize: 283
Generation 184 | Revalues: 36932 | GridSize: 288
Generation 185 | Revalues: 37128 | GridSize: 300
Generation 186 | Revalues: 37320 | GridSize: 300
Generation 187 | Revalues: 37522 | GridSize: 295
Generation 188 | Revalues: 37724 | GridSize: 300
Generation 189 | Revalues: 37914 | GridSize: 300
Generation 190 | Revalues: 38110 | GridSize: 300
Generation 191 | Revalues: 38294 | GridSize: 296
Generation 192 | Revalues: 38496 | GridSize: 300
Generation 193 | Revalues: 38716 | GridSize: 300
Generation 194 | Revalues: 38892 | GridSize: 300
Generation 195 | Revalues: 39072 | GridSize: 298
Generation 196 | Revalues: 39260 | GridSize: 293
Generation 197 | Revalues: 39442 | GridSize: 287
Generation 198 | Revalues: 39638 | GridSize: 295
Generation 199 | Revalues: 39816 | GridSize: 300
Generation 200 | Revalues: 40018 | GridSize: 293
Generation 201 | Revalues: 40202 | GridSize: 294
Generation 202 | Revalues: 40380 | GridSize: 299
Generation 203 | Revalues: 40574 | GridSize: 299
Generation 204 | Revalues: 40762 | GridSize: 300
Generation 205 | Revalues: 40976 | GridSize: 293
Generation 206 | Revalues: 41200 | GridSize: 300
Generation 207 | Revalues: 41410 | GridSize: 300
Generation 208 | Revalues: 41604 | GridSize: 300
Generation 209 | Revalues: 41808 | GridSize: 294
Generation 210 | Revalues: 42018 | GridSize: 300
Generation 211 | Revalues: 42222 | GridSize: 300
Generation 212 | Revalues: 42412 | GridSize: 300
Generation 213 | Revalues: 42616 | GridSize: 299
Generation 214 | Revalues: 42826 | GridSize: 296
Generation 215 | Revalues: 43032 | GridSize: 293
Generation 216 | Revalues: 43238 | GridSize: 293
Generation 217 | Revalues: 43434 | GridSize: 299
Generation 218 | Revalues: 43640 | GridSize: 300
Generation 219 | Revalues: 43846 | GridSize: 300
Generation 220 | Revalues: 44032 | GridSize: 300
Generation 221 | Revalues: 44246 | GridSize: 300
Generation 222 | Revalues: 44454 | GridSize: 300
Generation 223 | Revalues: 44674 | GridSize: 300
Generation 224 | Revalues: 44872 | GridSize: 300
Generation 225 | Revalues: 45088 | GridSize: 300
Generation 226 | Revalues: 45280 | GridSize: 300
Generation 227 | Revalues: 45496 | GridSize: 300
Generation 228 | Revalues: 45698 | GridSize: 298
Generation 229 | Revalues: 45916 | GridSize: 300
Generation 230 | Revalues: 46134 | GridSize: 297
Generation 231 | Revalues: 46328 | GridSize: 296
Generation 232 | Revalues: 46544 | GridSize: 300
Generation 233 | Revalues: 46748 | GridSize: 298
Generation 234 | Revalues: 46960 | GridSize: 300
Generation 235 | Revalues: 47184 | GridSize: 300
Generation 236 | Revalues: 47372 | GridSize: 297
Generation 237 | Revalues: 47588 | GridSize: 300
Generation 238 | Revalues: 47770 | GridSize: 300
Generation 239 | Revalues: 47984 | GridSize: 300
Generation 240 | Revalues: 48196 | GridSize: 295
Generation 241 | Revalues: 48406 | GridSize: 300
Generation 242 | Revalues: 48608 | GridSize: 300
Generation 243 | Revalues: 48800 | GridSize: 300
Generation 244 | Revalues: 49002 | GridSize: 294
Generation 245 | Revalues: 49182 | GridSize: 294
Generation 246 | Revalues: 49398 | GridSize: 297
Generation 247 | Revalues: 49606 | GridSize: 296
Generation 248 | Revalues: 49814 | GridSize: 297
Generation 249 | Revalues: 50004 | GridSize: 300
Generation 250 | Revalues: 50210 | GridSize: 300
Generation 251 | Revalues: 50408 | GridSize: 300
Generation 252 | Revalues: 50588 | GridSize: 300
Generation 253 | Revalues: 50802 | GridSize: 300
Generation 254 | Revalues: 50964 | GridSize: 300
Generation 255 | Revalues: 51142 | GridSize: 299
Generation 256 | Revalues: 51344 | GridSize: 297
Generation 257 | Revalues: 51544 | GridSize: 298
Generation 258 | Revalues: 51742 | GridSize: 299
Generation 259 | Revalues: 51926 | GridSize: 300
Generation 260 | Revalues: 52152 | GridSize: 300
Generation 261 | Revalues: 52354 | GridSize: 300
Generation 262 | Revalues: 52546 | GridSize: 298
Generation 263 | Revalues: 52752 | GridSize: 293
Generation 264 | Revalues: 52960 | GridSize: 297
Generation 265 | Revalues: 53170 | GridSize: 299
Generation 266 | Revalues: 53368 | GridSize: 298
Generation 267 | Revalues: 53558 | GridSize: 300
Generation 268 | Revalues: 53758 | GridSize: 300
Generation 269 | Revalues: 53974 | GridSize: 300
Generation 270 | Revalues: 54142 | GridSize: 300
