Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 304 | GridSize: 18
Generation 2 | Revalues: 516 | GridSize: 27
Generation 3 | Revalues: 726 | GridSize: 22
Generation 4 | Revalues: 922 | GridSize: 29
Generation 5 | Revalues: 1130 | GridSize: 32
Generation 6 | Revalues: 1346 | GridSize: 34
Generation 7 | Revalues: 1564 | GridSize: 29
Generation 8 | Revalues: 1776 | GridSize: 34
Generation 9 | Revalues: 1962 | GridSize: 37
Generation 10 | Revalues: 2162 | GridSize: 40
Generation 11 | Revalues: 2354 | GridSize: 43
Generation 12 | Revalues: 2558 | GridSize: 43
Generation 13 | Revalues: 2758 | GridSize: 35
Generation 14 | Revalues: 2930 | GridSize: 44
Generation 15 | Revalues: 3130 | GridSize: 43
Generation 16 | Revalues: 3324 | GridSize: 36
Generation 17 | Revalues: 3512 | GridSize: 29
Generation 18 | Revalues: 3708 | GridSize: 39
Generation 19 | Revalues: 3894 | GridSize: 43
Generation 20 | Revalues: 4094 | GridSize: 48
Generation 21 | Revalues: 4292 | GridSize: 55
Generation 22 | Revalues: 4488 | GridSize: 52
Generation 23 | Revalues: 4676 | GridSize: 50
Generation 24 | Revalues: 4852 | GridSize: 57
Generation 25 | Revalues: 5066 | GridSize: 59
Generation 26 | Revalues: 5278 | GridSize: 63
Generation 27 | Revalues: 5470 | GridSize: 68
Generation 28 | Revalues: 5678 | GridSize: 78
Generation 29 | Revalues: 5888 | GridSize: 79
Generation 30 | Revalues: 6106 | GridSize: 87
Generation 31 | Revalues: 6312 | GridSize: 79
Generation 32 | Revalues: 6514 | GridSize: 83
Generation 33 | Revalues: 6716 | GridSize: 87
Generation 34 | Revalues: 6930 | GridSize: 78
Generation 35 | Revalues: 7126 | GridSize: 82
Generation 36 | Revalues: 7322 | GridSize: 89
Generation 37 | Revalues: 7506 | GridSize: 92
Generation 38 | Revalues: 7714 | GridSize: 91
Generation 39 | Revalues: 7918 | GridSize: 85
Generation 40 | Revalues: 8120 | GridSize: 87
Generation 41 | Revalues: 8328 | GridSize: 95
Generation 42 | Revalues: 8504 | GridSize: 103
Generation 43 | Revalues: 8708 | GridSize: 94
Generation 44 | Revalues: 8920 | GridSize: 99
Generation 45 | Revalues: 9124 | GridSize: 100
Generation 46 | Revalues: 9334 | GridSize: 95
Generation 47 | Revalues: 9534 | GridSize: 92
Generation 48 | Revalues: 9730 | GridSize: 88
Generation 49 | Revalues: 9898 | GridSize: 92
Generation 50 | Revalues: 10086 | GridSize: 91
Generation 51 | Revalues: 10282 | GridSize: 91
Generation 52 | Revalues: 10498 | GridSize: 99
Generation 53 | Revalues: 10692 | GridSize: 95
Generation 54 | Revalues: 10884 | GridSize: 97
Generation 55 | Revalues: 11074 | GridSize: 96
Generation 56 | Revalues: 11270 | GridSize: 102
Generation 57 | Revalues: 11466 | GridSize: 105
Generation 58 | Revalues: 11680 | GridSize: 107
Generation 59 | Revalues: 11876 | GridSize: 107
Generation 60 | Revalues: 12070 | GridSize: 112
Generation 61 | Revalues: 12262 | GridSize: 115
Generation 62 | Revalues: 12464 | GridSize: 113
Generation 63 | Revalues: 12668 | GridSize: 109
Generation 64 | Revalues: 12866 | GridSize: 114
Generation 65 | Revalues: 13062 | GridSize: 117
Generation 66 | Revalues: 13258 | GridSize: 118
Generation 67 | Revalues: 13464 | GridSize: 118
Generation 68 | Revalues: 13658 | GridSize: 115
Generation 69 | Revalues: 13864 | GridSize: 124
Generation 70 | Revalues: 14052 | GridSize: 120
Generation 71 | Revalues: 14230 | GridSize: 131
Generation 72 | Revalues: 14418 | GridSize: 133
Generation 73 | Revalues: 14646 | GridSize: 135
Generation 74 | Revalues: 14868 | GridSize: 141
Generation 75 | Revalues: 15048 | GridSize: 143
Generation 76 | Revalues: 15238 | GridSize: 144
Generation 77 | Revalues: 15420 | GridSize: 145
Generation 78 | Revalues: 15610 | GridSize: 147
Generation 79 | Revalues: 15828 | GridSize: 146
Generation 80 | Revalues: 16028 | GridSize: 151
Generation 81 | Revalues: 16208 | GridSize: 150
Generation 82 | Revalues: 16408 | GridSize: 149
Generation 83 | Revalues: 16620 | GridSize: 153
Generation 84 | Revalues: 16822 | GridSize: 147
Generation 85 | Revalues: 17000 | GridSize: 149
Generation 86 | Revalues: 17214 | GridSize: 152
Generation 87 | Revalues: 17422 | GridSize: 156
Generation 88 | Revalues: 17606 | GridSize: 158
Generation 89 | Revalues: 17812 | GridSize: 159
Generation 90 | Revalues: 18012 | GridSize: 165
Generation 91 | Revalues: 18202 | GridSize: 160
Generation 92 | Revalues: 18398 | GridSize: 165
Generation 93 | Revalues: 18618 | GridSize: 162
Generation 94 | Revalues: 18824 | GridSize: 152
Generation 95 | Revalues: 19016 | GridSize: 154
Generation 96 | Revalues: 19224 | GridSize: 153
Generation 97 | Revalues: 19438 | GridSize: 150
Generation 98 | Revalues: 19620 | GridSize: 154
Generation 99 | Revalues: 19786 | GridSize: 158
Generation 100 | Revalues: 19992 | GridSize: 157
Generation 101 | Revalues: 20180 | GridSize: 162
Generation 102 | Revalues: 20352 | GridSize: 162
Generation 103 | Revalues: 20542 | GridSize: 157
Generation 104 | Revalues: 20726 | GridSize: 156
Generation 105 | Revalues: 20910 | GridSize: 158
Generation 106 | Revalues: 21124 | GridSize: 165
Generation 107 | Revalues: 21330 | GridSize: 157
Generation 108 | Revalues: 21550 | GridSize: 159
Generation 109 | Revalues: 21760 | GridSize: 161
Generation 110 | Revalues: 21972 | GridSize: 164
Generation 111 | Revalues: 22160 | GridSize: 157
Generation 112 | Revalues: 22376 | GridSize: 152
Generation 113 | Revalues: 22556 | GridSize: 153
Generation 114 | Revalues: 22752 | GridSize: 157
Generation 115 | Revalues: 22976 | GridSize: 165
Generation 116 | Revalues: 23144 | GridSize: 165
Generation 117 | Revalues: 23346 | GridSize: 163
Generation 118 | Revalues: 23548 | GridSize: 164
Generation 119 | Revalues: 23744 | GridSize: 156
Generation 120 | Revalues: 23956 | GridSize: 157
Generation 121 | Revalues: 24150 | GridSize: 159
Generation 122 | Revalues: 24360 | GridSize: 163
Generation 123 | Revalues: 24544 | GridSize: 153
Generation 124 | Revalues: 24748 | GridSize: 153
Generation 125 | Revalues: 24950 | GridSize: 153
Generation 126 | Revalues: 25140 | GridSize: 143
Generation 127 | Revalues: 25334 | GridSize: 146
Generation 128 | Revalues: 25528 | GridSize: 141
Generation 129 | Revalues: 25742 | GridSize: 125
Generation 130 | Revalues: 25930 | GridSize: 131
Generation 131 | Revalues: 26122 | GridSize: 128
Generation 132 | Revalues: 26334 | GridSize: 131
Generation 133 | Revalues: 26552 | GridSize: 139
Generation 134 | Revalues: 26758 | GridSize: 139
Generation 135 | Revalues: 26950 | GridSize: 148
Generation 136 | Revalues: 27158 | GridSize: 150
Generation 137 | Revalues: 27346 | GridSize: 146
Generation 138 | Revalues: 27550 | GridSize: 137
Generation 139 | Revalues: 27774 | GridSize: 137
Generation 140 | Revalues: 27960 | GridSize: 137
Generation 141 | Revalues: 28174 | GridSize: 141
Generation 142 | Revalues: 28354 | GridSize: 146
Generation 143 | Revalues: 28574 | GridSize: 147
Generation 144 | Revalues: 28770 | GridSize: 147
Generation 145 | Revalues: 28968 | GridSize: 138
Generation 146 | Revalues: 29178 | GridSize: 140
Generation 147 | Revalues: 29408 | GridSize: 148
Generation 148 | Revalues: 29606 | GridSize: 150
Generation 149 | Revalues: 29806 | GridSize: 151
Generation 150 | Revalues: 29988 | GridSize: 159
Generation 151 | Revalues: 30188 | GridSize: 162
Generation 152 | Revalues: 30382 | GridSize: 163
Generation 153 | Revalues: 30602 | GridSize: 154
Generation 154 | Revalues: 30792 | GridSize: 146
Generation 155 | Revalues: 30994 | GridSize: 137
Generation 156 | Revalues: 31202 | GridSize: 139
Generation 157 | Revalues: 31412 | GridSize: 142
Generation 158 | Revalues: 31604 | GridSize: 144
Generation 159 | Revalues: 31804 | GridSize: 152
Generation 160 | Revalues: 31998 | GridSize: 161
Generation 161 | Revalues: 32222 | GridSize: 161
Generation 162 | Revalues: 32426 | GridSize: 160
Generation 163 | Revalues: 32626 | GridSize: 163
Generation 164 | Revalues: 32796 | GridSize: 167
Generation 165 | Revalues: 33010 | GridSize: 161
Generation 166 | Revalues: 33208 | GridSize: 166
Generation 167 | Revalues: 33406 | GridSize: 161
Generation 168 | Revalues: 33598 | GridSize: 162
Generation 169 | Revalues: 33804 | GridSize: 148
Generation 170 | Revalues: 34006 | GridSize: 145
