Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 306 | GridSize: 13
Generation 2 | Revalues: 498 | GridSize: 15
Generation 3 | Revalues: 704 | GridSize: 13
Generation 4 | Revalues: 892 | GridSize: 17
Generation 5 | Revalues: 1090 | GridSize: 18
Generation 6 | Revalues: 1274 | GridSize: 23
Generation 7 | Revalues: 1464 | GridSize: 24
Generation 8 | Revalues: 1644 | GridSize: 25
Generation 9 | Revalues: 1860 | GridSize: 30
Generation 10 | Revalues: 2064 | GridSize: 37
Generation 11 | Revalues: 2266 | GridSize: 33
Generation 12 | Revalues: 2488 | GridSize: 26
Generation 13 | Revalues: 2698 | GridSize: 30
Generation 14 | Revalues: 2896 | GridSize: 36
Generation 15 | Revalues: 3094 | GridSize: 43
Generation 16 | Revalues: 3300 | GridSize: 46
Generation 17 | Revalues: 3518 | GridSize: 49
Generation 18 | Revalues: 3750 | GridSize: 55
Generation 19 | Revalues: 3952 | GridSize: 48
Generation 20 | Revalues: 4172 | GridSize: 54
Generation 21 | Revalues: 4348 | GridSize: 57
Generation 22 | Revalues: 4546 | GridSize: 54
Generation 23 | Revalues: 4736 | GridSize: 54
Generation 24 | Revalues: 4940 | GridSize: 46
Generation 25 | Revalues: 5154 | GridSize: 49
Generation 26 | Revalues: 5352 | GridSize: 55
Generation 27 | Revalues: 5540 | GridSize: 57
Generation 28 | Revalues: 5752 | GridSize: 54
Generation 29 | Revalues: 5926 | GridSize: 57
Generation 30 | Revalues: 6124 | GridSize: 55
Generation 31 | Revalues: 6326 | GridSize: 60
Generation 32 | Revalues: 6536 | GridSize: 60
Generation 33 | Revalues: 6742 | GridSize: 65
Generation 34 | Revalues: 6940 | GridSize: 65
Generation 35 | Revalues: 7138 | GridSize: 69
Generation 36 | Revalues: 7356 | GridSize: 71
Generation 37 | Revalues: 7542 | GridSize: 74
Generation 38 | Revalues: 7754 | GridSize: 71
Generation 39 | Revalues: 7948 | GridSize: 67
Generation 40 | Revalues: 8166 | GridSize: 68
Generation 41 | Revalues: 8368 | GridSize: 61
Generation 42 | Revalues: 8528 | GridSize: 66
Generation 43 | Revalues: 8720 | GridSize: 63
Generation 44 | Revalues: 8914 | GridSize: 64
Generation 45 | Revalues: 9132 | GridSize: 68
Generation 46 | Revalues: 9364 | GridSize: 75
Generation 47 | Revalues: 9552 | GridSize: 75
Generation 48 | Revalues: 9738 | GridSize: 80
Generation 49 | Revalues: 9936 | GridSize: 76
Generation 50 | Revalues: 10132 | GridSize: 67
Generation 51 | Revalues: 10308 | GridSize: 78
Generation 52 | Revalues: 10520 | GridSize: 72
Generation 53 | Revalues: 10740 | GridSize: 66
Generation 54 | Revalues: 10922 | GridSize: 76
Generation 55 | Revalues: 11136 | GridSize: 79
Generation 56 | Revalues: 11346 | GridSize: 79
Generation 57 | Revalues: 11552 | GridSize: 82
Generation 58 | Revalues: 11744 | GridSize: 88
Generation 59 | Revalues: 11942 | GridSize: 90
Generation 60 | Revalues: 12146 | GridSize: 91
Generation 61 | Revalues: 12350 | GridSize: 99
Generation 62 | Revalues: 12562 | GridSize: 103
Generation 63 | Revalues: 12748 | GridSize: 99
Generation 64 | Revalues: 12930 | GridSize: 100
Generation 65 | Revalues: 13132 | GridSize: 101
Generation 66 | Revalues: 13324 | GridSize: 98
Generation 67 | Revalues: 13558 | GridSize: 98
Generation 68 | Revalues: 13732 | GridSize: 104
Generation 69 | Revalues: 13912 | GridSize: 94
Generation 70 | Revalues: 14088 | GridSize: 95
Generation 71 | Revalues: 14300 | GridSize: 101
Generation 72 | Revalues: 14510 | GridSize: 105
Generation 73 | Revalues: 14706 | GridSize: 101
Generation 74 | Revalues: 14906 | GridSize: 97
Generation 75 | Revalues: 15112 | GridSize: 101
Generation 76 | Revalues: 15332 | GridSize: 102
Generation 77 | Revalues: 15518 | GridSize: 101
Generation 78 | Revalues: 15718 | GridSize: 101
Generation 79 | Revalues: 15920 | GridSize: 102
Generation 80 | Revalues: 16134 | GridSize: 104
Generation 81 | Revalues: 16338 | GridSize: 112
Generation 82 | Revalues: 16548 | GridSize: 101
Generation 83 | Revalues: 16738 | GridSize: 103
Generation 84 | Revalues: 16930 | GridSize: 104
Generation 85 | Revalues: 17128 | GridSize: 107
Generation 86 | Revalues: 17334 | GridSize: 110
Generation 87 | Revalues: 17552 | GridSize: 101
Generation 88 | Revalues: 17756 | GridSize: 108
Generation 89 | Revalues: 17958 | GridSize: 104
Generation 90 | Revalues: 18176 | GridSize: 111
Generation 91 | Revalues: 18378 | GridSize: 118
Generation 92 | Revalues: 18570 | GridSize: 125
Generation 93 | Revalues: 18780 | GridSize: 130
Generation 94 | Revalues: 18974 | GridSize: 116
Generation 95 | Revalues: 19200 | GridSize: 112
Generation 96 | Revalues: 19404 | GridSize: 114
Generation 97 | Revalues: 19612 | GridSize: 114
Generation 98 | Revalues: 19794 | GridSize: 122
Generation 99 | Revalues: 19978 | GridSize: 112
Generation 100 | Revalues: 20200 | GridSize: 98
Generation 101 | Revalues: 20384 | GridSize: 94
Generation 102 | Revalues: 20588 | GridSize: 100
Generation 103 | Revalues: 20802 | GridSize: 112
Generation 104 | Revalues: 20988 | GridSize: 101
Generation 105 | Revalues: 21168 | GridSize: 103
Generation 106 | Revalues: 21370 | GridSize: 108
Generation 107 | Revalues: 21578 | GridSize: 108
Generation 108 | Revalues: 21780 | GridSize: 104
Generation 109 | Revalues: 22014 | GridSize: 101
Generation 110 | Revalues: 22206 | GridSize: 104
Generation 111 | Revalues: 22396 | GridSize: 104
Generation 112 | Revalues: 22624 | GridSize: 111
Generation 113 | Revalues: 22798 | GridSize: 119
Generation 114 | Revalues: 22986 | GridSize: 117
Generation 115 | Revalues: 23192 | GridSize: 118
Generation 116 | Revalues: 23370 | GridSize: 117
Generation 117 | Revalues: 23578 | GridSize: 120
Generation 118 | Revalues: 23802 | GridSize: 125
Generation 119 | Revalues: 24008 | GridSize: 117
Generation 120 | Revalues: 24218 | GridSize: 123
Generation 121 | Revalues: 24414 | GridSize: 118
Generation 122 | Revalues: 24630 | GridSize: 118
Generation 123 | Revalues: 24818 | GridSize: 115
Generation 124 | Revalues: 25032 | GridSize: 119
Generation 125 | Revalues: 25236 | GridSize: 116
Generation 126 | Revalues: 25458 | GridSize: 109
Generation 127 | Revalues: 25672 | GridSize: 106
Generation 128 | Revalues: 25850 | GridSize: 108
Generation 129 | Revalues: 26028 | GridSize: 109
Generation 130 | Revalues: 26248 | GridSize: 112
Generation 131 | Revalues: 26464 | GridSize: 117
Generation 132 | Revalues: 26672 | GridSize: 116
Generation 133 | Revalues: 26900 | GridSize: 111
Generation 134 | Revalues: 27126 | GridSize: 112
Generation 135 | Revalues: 27302 | GridSize: 101
Generation 136 | Revalues: 27504 | GridSize: 109
Generation 137 | Revalues: 27712 | GridSize: 98
Generation 138 | Revalues: 27920 | GridSize: 104
Generation 139 | Revalues: 28128 | GridSize: 108
Generation 140 | Revalues: 28318 | GridSize: 108
Generation 141 | Revalues: 28534 | GridSize: 107
Generation 142 | Revalues: 28768 | GridSize: 108
Generation 143 | Revalues: 28958 | GridSize: 114
Generation 144 | Revalues: 29160 | GridSize: 112
Generation 145 | Revalues: 29360 | GridSize: 108
Generation 146 | Revalues: 29578 | GridSize: 113
Generation 147 | Revalues: 29804 | GridSize: 114
Generation 148 | Revalues: 29996 | GridSize: 115
Generation 149 | Revalues: 30190 | GridSize: 119
Generation 150 | Revalues: 30406 | GridSize: 122
Generation 151 | Revalues: 30576 | GridSize: 126
Generation 152 | Revalues: 30784 | GridSize: 122
Generation 153 | Revalues: 30986 | GridSize: 122
Generation 154 | Revalues: 31234 | GridSize: 127
Generation 155 | Revalues: 31452 | GridSize: 131
Generation 156 | Revalues: 31644 | GridSize: 130
Generation 157 | Revalues: 31836 | GridSize: 133
Generation 158 | Revalues: 32042 | GridSize: 129
Generation 159 | Revalues: 32268 | GridSize: 126
Generation 160 | Revalues: 32456 | GridSize: 130
Generation 161 | Revalues: 32656 | GridSize: 130
Generation 162 | Revalues: 32882 | GridSize: 117
Generation 163 | Revalues: 33080 | GridSize: 117
Generation 164 | Revalues: 33264 | GridSize: 117
Generation 165 | Revalues: 33448 | GridSize: 115
Generation 166 | Revalues: 33656 | GridSize: 118
Generation 167 | Revalues: 33848 | GridSize: 111
Generation 168 | Revalues: 34038 | GridSize: 114
Generation 169 | Revalues: 34270 | GridSize: 106
Generation 170 | Revalues: 34500 | GridSize: 109
Generation 171 | Revalues: 34730 | GridSize: 108
Generation 172 | Revalues: 34956 | GridSize: 109
Generation 173 | Revalues: 35138 | GridSize: 107
Generation 174 | Revalues: 35340 | GridSize: 115
Generation 175 | Revalues: 35518 | GridSize: 116
Generation 176 | Revalues: 35702 | GridSize: 121
Generation 177 | Revalues: 35910 | GridSize: 118
Generation 178 | Revalues: 36096 | GridSize: 118
Generation 179 | Revalues: 36304 | GridSize: 115
Generation 180 | Revalues: 36486 | GridSize: 115
Generation 181 | Revalues: 36670 | GridSize: 117
Generation 182 | Revalues: 36900 | GridSize: 117
Generation 183 | Revalues: 37076 | GridSize: 123
Generation 184 | Revalues: 37282 | GridSize: 112
Generation 185 | Revalues: 37496 | GridSize: 110
Generation 186 | Revalues: 37698 | GridSize: 114
Generation 187 | Revalues: 37870 | GridSize: 116
Generation 188 | Revalues: 38078 | GridSize: 120
Generation 189 | Revalues: 38290 | GridSize: 120
Generation 190 | Revalues: 38488 | GridSize: 118
Generation 191 | Revalues: 38670 | GridSize: 124
Generation 192 | Revalues: 38860 | GridSize: 126
Generation 193 | Revalues: 39064 | GridSize: 122
Generation 194 | Revalues: 39260 | GridSize: 124
Generation 195 | Revalues: 39440 | GridSize: 127
Generation 196 | Revalues: 39664 | GridSize: 125
Generation 197 | Revalues: 39842 | GridSize: 134
Generation 198 | Revalues: 40046 | GridSize: 137
Generation 199 | Revalues: 40262 | GridSize: 137
Generation 200 | Revalues: 40412 | GridSize: 137
Generation 201 | Revalues: 40618 | GridSize: 139
Generation 202 | Revalues: 40826 | GridSize: 139
Generation 203 | Revalues: 41008 | GridSize: 136
Generation 204 | Revalues: 41226 | GridSize: 130
Generation 205 | Revalues: 41400 | GridSize: 137
Generation 206 | Revalues: 41622 | GridSize: 133
Generation 207 | Revalues: 41832 | GridSize: 126
Generation 208 | Revalues: 42048 | GridSize: 123
Generation 209 | Revalues: 42248 | GridSize: 124
Generation 210 | Revalues: 42456 | GridSize: 124
Generation 211 | Revalues: 42654 | GridSize: 124
Generation 212 | Revalues: 42846 | GridSize: 114
Generation 213 | Revalues: 43034 | GridSize: 116
Generation 214 | Revalues: 43214 | GridSize: 123
Generation 215 | Revalues: 43412 | GridSize: 122
Generation 216 | Revalues: 43598 | GridSize: 119
Generation 217 | Revalues: 43784 | GridSize: 116
Generation 218 | Revalues: 43980 | GridSize: 119
Generation 219 | Revalues: 44192 | GridSize: 125
Generation 220 | Revalues: 44408 | GridSize: 128
Generation 221 | Revalues: 44624 | GridSize: 128
Generation 222 | Revalues: 44870 | GridSize: 124
Generation 223 | Revalues: 45068 | GridSize: 127
Generation 224 | Revalues: 45272 | GridSize: 130
Generation 225 | Revalues: 45496 | GridSize: 134
Generation 226 | Revalues: 45708 | GridSize: 137
Generation 227 | Revalues: 45920 | GridSize: 136
Generation 228 | Revalues: 46126 | GridSize: 136
Generation 229 | Revalues: 46344 | GridSize: 142
Generation 230 | Revalues: 46534 | GridSize: 146
Generation 231 | Revalues: 46742 | GridSize: 141
Generation 232 | Revalues: 46950 | GridSize: 145
Generation 233 | Revalues: 47164 | GridSize: 153
Generation 234 | Revalues: 47368 | GridSize: 150
Generation 235 | Revalues: 47566 | GridSize: 148
Generation 236 | Revalues: 47770 | GridSize: 149
Generation 237 | Revalues: 47958 | GridSize: 143
Generation 238 | Revalues: 48158 | GridSize: 144
Generation 239 | Revalues: 48378 | GridSize: 141
Generation 240 | Revalues: 48576 | GridSize: 142
Generation 241 | Revalues: 48782 | GridSize: 142
Generation 242 | Revalues: 48998 | GridSize: 145
Generation 243 | Revalues: 49194 | GridSize: 152
Generation 244 | Revalues: 49372 | GridSize: 154
Generation 245 | Revalues: 49580 | GridSize: 159
Generation 246 | Revalues: 49788 | GridSize: 159
Generation 247 | Revalues: 50006 | GridSize: 160
Generation 248 | Revalues: 50208 | GridSize: 155
Generation 249 | Revalues: 50420 | GridSize: 164
Generation 250 | Revalues: 50608 | GridSize: 158
Generation 251 | Revalues: 50772 | GridSize: 162
Generation 252 | Revalues: 50986 | GridSize: 164
Generation 253 | Revalues: 51176 | GridSize: 161
Generation 254 | Revalues: 51404 | GridSize: 168
Generation 255 | Revalues: 51580 | GridSize: 168
Generation 256 | Revalues: 51798 | GridSize: 171
Generation 257 | Revalues: 52014 | GridSize: 174
