Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 298 | GridSize: 16
Generation 2 | Revalues: 510 | GridSize: 20
Generation 3 | Revalues: 706 | GridSize: 17
Generation 4 | Revalues: 914 | GridSize: 13
Generation 5 | Revalues: 1118 | GridSize: 18
Generation 6 | Revalues: 1318 | GridSize: 27
Generation 7 | Revalues: 1512 | GridSize: 30
Generation 8 | Revalues: 1690 | GridSize: 35
Generation 9 | Revalues: 1904 | GridSize: 35
Generation 10 | Revalues: 2064 | GridSize: 31
Generation 11 | Revalues: 2292 | GridSize: 30
Generation 12 | Revalues: 2504 | GridSize: 25
Generation 13 | Revalues: 2706 | GridSize: 29
Generation 14 | Revalues: 2914 | GridSize: 28
Generation 15 | Revalues: 3112 | GridSize: 28
Generation 16 | Revalues: 3312 | GridSize: 31
Generation 17 | Revalues: 3502 | GridSize: 36
Generation 18 | Revalues: 3682 | GridSize: 42
Generation 19 | Revalues: 3892 | GridSize: 37
Generation 20 | Revalues: 4082 | GridSize: 37
Generation 21 | Revalues: 4276 | GridSize: 42
Generation 22 | Revalues: 4494 | GridSize: 46
Generation 23 | Revalues: 4678 | GridSize: 43
Generation 24 | Revalues: 4892 | GridSize: 44
Generation 25 | Revalues: 5100 | GridSize: 47
Generation 26 | Revalues: 5326 | GridSize: 51
Generation 27 | Revalues: 5524 | GridSize: 54
Generation 28 | Revalues: 5724 | GridSize: 58
Generation 29 | Revalues: 5906 | GridSize: 67
Generation 30 | Revalues: 6090 | GridSize: 67
Generation 31 | Revalues: 6304 | GridSize: 68
Generation 32 | Revalues: 6532 | GridSize: 63
Generation 33 | Revalues: 6724 | GridSize: 57
Generation 34 | Revalues: 6890 | GridSize: 60
Generation 35 | Revalues: 7058 | GridSize: 63
Generation 36 | Revalues: 7254 | GridSize: 66
Generation 37 | Revalues: 7432 | GridSize: 61
Generation 38 | Revalues: 7636 | GridSize: 67
Generation 39 | Revalues: 7814 | GridSize: 70
Generation 40 | Revalues: 8018 | GridSize: 73
Generation 41 | Revalues: 8206 | GridSize: 70
Generation 42 | Revalues: 8426 | GridSize: 72
Generation 43 | Revalues: 8636 | GridSize: 75
Generation 44 | Revalues: 8826 | GridSize: 79
Generation 45 | Revalues: 8996 | GridSize: 75
Generation 46 | Revalues: 9226 | GridSize: 72
Generation 47 | Revalues: 9448 | GridSize: 68
Generation 48 | Revalues: 9652 | GridSize: 70
Generation 49 | Revalues: 9842 | GridSize: 69
Generation 50 | Revalues: 10054 | GridSize: 67
Generation 51 | Revalues: 10284 | GridSize: 70
Generation 52 | Revalues: 10482 | GridSize: 76
Generation 53 | Revalues: 10678 | GridSize: 77
Generation 54 | Revalues: 10874 | GridSize: 73
Generation 55 | Revalues: 11080 | GridSize: 72
Generation 56 | Revalues: 11298 | GridSize: 74
Generation 57 | Revalues: 11504 | GridSize: 70
Generation 58 | Revalues: 11722 | GridSize: 73
Generation 59 | Revalues: 11916 | GridSize: 74
Generation 60 | Revalues: 12108 | GridSize: 82
Generation 61 | Revalues: 12308 | GridSize: 85
Generation 62 | Revalues: 12504 | GridSize: 83
Generation 63 | Revalues: 12700 | GridSize: 84
Generation 64 | Revalues: 12890 | GridSize: 83
Generation 65 | Revalues: 13098 | GridSize: 84
Generation 66 | Revalues: 13316 | GridSize: 86
Generation 67 | Revalues: 13512 | GridSize: 88
Generation 68 | Revalues: 13696 | GridSize: 89
Generation 69 | Revalues: 13890 | GridSize: 84
Generation 70 | Revalues: 14100 | GridSize: 92
