Feature,Importance
INF_r1,0.14357761451410928
INF_avg,0.1280488618774684
SUP_sd,0.11170317905862538
SUP_r1,0.07887399926713919
SUP_avg,0.07581927079606453
INF_sk,0.06017315357469594
INF_kr,0.04413496343791862
IND_avg,0.04233813075571029
INC_avg,0.04203540981710182
INF_sd,0.0419956788405605
SUP_sk,0.03746401697402399
IND_r1,0.03322025182171704
INC_r1,0.031603107851572616
IND_kr,0.024326368936879672
INC_kr,0.023315971516209476
SUP_kr,0.022690476369273814
IND_sd,0.015563430295328324
IND_sk,0.014547739660369298
INC_sk,0.014288185484301276
INC_sd,0.014280189150930642
