Feature,Importance
SUP_sk,0.1977211904886851
IND_r1,0.1019361269310501
INC_r1,0.09355550697855676
INF_sd,0.07580541152767603
SUP_r1,0.058437552568307856
INF_r1,0.047366327269947044
SUP_sd,0.04505722928633911
INF_sk,0.04263695910701155
SUP_kr,0.0409049938183071
IND_sd,0.039785884480707925
INC_sd,0.037868777115810846
SUP_avg,0.03580481997851299
IND_kr,0.03555064575492219
INC_kr,0.0345856346519369
INF_avg,0.03157421314730643
INF_kr,0.024331845664957767
IND_sk,0.018400373636364424
INC_sk,0.01829451614550213
IND_avg,0.010262810496598575
INC_avg,0.010119180951499053
