Feature,Importance
INF_sd,0.18714016260866123
INF_kr,0.10187354819239333
SUP_sk,0.0975796988677208
IND_r1,0.08032979075375467
INF_sk,0.07777601834779191
INC_r1,0.07586541380571932
SUP_sd,0.05306734162072144
INF_r1,0.04960322026956897
SUP_kr,0.03575054104423141
IND_sd,0.0350604336842785
INC_sd,0.03466089971184807
SUP_r1,0.03248427609133266
SUP_avg,0.029611276702983042
INF_avg,0.027053756499329607
IND_sk,0.019393097872016703
INC_sk,0.019146909792689598
IND_kr,0.012064267404444691
INC_kr,0.011592154007989382
IND_avg,0.010108647487634357
INC_avg,0.009838545234890412
