Feature,Importance
SUP_kr,0.09783464790669294
IND_kr,0.09518063601571385
INC_kr,0.09500676705160059
INF_sd,0.07942953755276645
INC_sd,0.07395177114235865
IND_sd,0.07354313900865365
INF_kr,0.06490205629123579
SUP_sk,0.06026971650962702
SUP_sd,0.04520095380914101
SUP_r1,0.04412006209694089
INF_r1,0.041292844083285186
SUP_avg,0.03999758426300906
INF_avg,0.034356342934405745
IND_sk,0.031127798951609713
INC_sk,0.03074889668727966
INF_sk,0.02396341985247995
INC_avg,0.017777569335039035
IND_r1,0.017575930446859706
IND_avg,0.017318147431606302
INC_r1,0.016402178629694873
