Feature,Importance
INF_sd,0.10717734313379788
INF_sk,0.08788635153804726
IND_kr,0.07642293610692255
INF_r1,0.07562425800706492
INC_kr,0.0738366302197472
SUP_kr,0.06750180063326049
IND_avg,0.05186113845732532
INC_avg,0.050999684439060465
SUP_sk,0.042140955167018275
SUP_avg,0.0416051455987576
SUP_r1,0.04123441346537041
IND_r1,0.04018149177590474
INC_sk,0.0396694638378828
IND_sk,0.0385519451807059
INF_avg,0.038182264759132084
INC_r1,0.03770038364936846
SUP_sd,0.033754196848151244
INF_kr,0.023864049952117487
IND_sd,0.016637843428505633
INC_sd,0.01516770380185931
