Feature,Importance
INF_kr,0.22728937839268576
INF_sk,0.17714758051424528
INF_r1,0.08517037643853709
INF_sd,0.0803026045096426
SUP_sk,0.04832662334884648
SUP_avg,0.04169821201568811
SUP_r1,0.03646377060593535
IND_r1,0.035049917069545335
SUP_kr,0.03483377440776416
IND_kr,0.0328815294602037
INC_kr,0.032289216725769544
INC_r1,0.031811623527348364
IND_sd,0.022933390797306122
INF_avg,0.02236477042944689
INC_sd,0.022353883222371404
SUP_sd,0.021263843763353794
IND_sk,0.017732797930919003
INC_sk,0.0175258934509133
INC_avg,0.006292351745532109
IND_avg,0.006268461643945619
