Feature,Importance
SUP_kr,0.18647281965752488
INF_r1,0.17153389908162683
INF_sd,0.07492725607495664
SUP_r1,0.056716131579738496
INC_sk,0.05571927576503717
IND_sk,0.05256787439382836
INF_avg,0.04906930031854222
INF_sk,0.04385410306260231
IND_sd,0.04087496678735942
INF_kr,0.039431052663040055
INC_sd,0.039428447596403564
SUP_sd,0.03750937197517729
SUP_sk,0.028956116608338477
SUP_avg,0.021347087916993628
IND_r1,0.020754555212974632
INC_r1,0.01960674864970068
INC_avg,0.018094466903226646
IND_avg,0.018072608818402666
IND_kr,0.012916012852662462
INC_kr,0.012147904081863685
