Feature,Importance
INF_sk,0.16370050107118062
INF_avg,0.12944292142492342
SUP_sd,0.0941342347075775
SUP_kr,0.07280432165687589
SUP_r1,0.05518875631280577
SUP_avg,0.05323778732413494
SUP_sk,0.05123556096403579
INF_kr,0.04930657100415099
INC_sk,0.04854252571323087
IND_sk,0.04702648552699396
INF_sd,0.03596118004995734
INF_r1,0.030104026947122425
IND_avg,0.028283882027486124
INC_avg,0.02717806270828411
IND_kr,0.021252535605390616
INC_kr,0.020831286511966095
IND_sd,0.01847078186005513
INC_sd,0.01789066058647146
IND_r1,0.017757538977003762
INC_r1,0.017650379020353043
