Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.261,0.0658710862,0.1615979185,2.5352524186,0.1355493882,0.2458,0.0575704785,0.0299436327,2.882514033,0.5667178117,0.4932,0.060214284,0.1298953484,3.6959151212,-0.1339305766,0.4932,0.060214284,0.1298953484,3.6959151212,-0.1339305766,0.71176977605,0.7119888226
2,0.2592,0.0671070786,-0.0941500042,2.9135929968,0.0712377683,0.2104,0.0746983266,0.3734187821,3.118580606,0.5926615549,0.5304,0.0875205119,0.236717289,2.4720990168,-0.0820292908,0.5304,0.0875205119,0.236717289,2.4720990168,-0.0820292908,0.78983422385,0.7898593295
3,0.2662,0.0655862791,0.0807878902,3.0407354674,0.1241749767,0.266,0.0762889245,0.0967138861,3.5514804974,0.4576200338,0.4678,0.0800447375,0.3032294978,2.3793799514,-0.2731393536,0.4678,0.0800447375,0.3032294978,2.3793799514,-0.2731393536,0.800794240515,0.8017430957000002
4,0.2806,0.066480373,0.0693366078,3.2285586371,0.081561799,0.269,0.0744244583,0.2443194848,3.636400992,0.356780137,0.4504,0.0697125527,0.1455629678,3.1022168882,0.3590645031,0.4504,0.0697125527,0.1455629678,3.1022168882,0.3590645031,0.77398164805,0.7742030026499999
5,0.3036,0.0755449535,0.2272985672,2.3912390741,0.2555035598,0.1874,0.0685072259,0.2309561492,2.4769884776,0.0197960659,0.509,0.0776337555,0.0810813524,3.0011336079,-0.2616335854,0.509,0.0776337555,0.0810813524,3.0011336079,-0.2616335854,0.7053284405900001,0.7065731888499999
6,0.2772,0.0597340774,0.2323260788,2.7140454219,0.3133821074,0.2232,0.0624,0.0139096839,2.4960743542,0.3570272594,0.4996,0.0705963172,0.0727516645,2.8750760818,-0.2099226088,0.4996,0.0705963172,0.0727516645,2.8750760818,-0.2099226088,0.8400510180000001,0.84050517255
7,0.2372,0.0727747209,0.3576370259,2.7443544856,-0.0991377019,0.263,0.0716868189,0.2534427806,2.6856453068,0.1030460048,0.4998,0.0818044009,0.0790915893,3.5193154723,-0.0366526329,0.4998,0.0818044009,0.0790915893,3.5193154723,-0.0366526329,0.81681554876,0.8170895733500002
8,0.25,0.0588897275,0.1211153064,3.1480106799,0.356069879,0.2414,0.0656204236,0.3175713067,2.6904307555,0.2777135129,0.5086,0.0716801228,0.0922616134,2.7347674701,0.0777704984,0.5086,0.0716801228,0.0922616134,2.7347674701,0.0777704984,0.7818474831500001,0.7820877881
9,0.2478,0.0787347446,0.3937437471,2.1683327187,0.0042309964,0.29,0.0760263112,0.1551694179,2.4748865555,-0.0120155088,0.4622,0.0676990399,0.1172014737,2.4256905833,0.0553717398,0.4622,0.0676990399,0.1172014737,2.4256905833,0.0553717398,0.76403364875,0.7645986961000002
10,0.297,0.0797684148,0.2742518478,3.1390854112,0.178605195,0.2422,0.0855520894,0.3908970561,2.6913401753,0.1894741107,0.4608,0.0784815902,0.0111022401,3.2326122752,-0.2890856974,0.4608,0.0784815902,0.0111022401,3.2326122752,-0.2890856974,0.68008450385,0.6811542617499999
11,0.2556,0.0690263718,0.1326037443,3.0234294265,0.0664620704,0.2328,0.0653923543,0.1498312544,2.716186624,0.105062033,0.5116,0.0675384335,-0.0423763383,2.7199602303,0.0369425754,0.5116,0.0675384335,-0.0423763383,2.7199602303,0.0369425754,0.7663275058,0.76652139405
12,0.278,0.0590931468,0.1024609753,2.5288120515,-0.0628049174,0.2492,0.0722451382,-0.0236716683,2.3029934348,0.08647382,0.4728,0.0762375236,0.0662606987,2.5654239188,-0.0213134646,0.4728,0.0762375236,0.0662606987,2.5654239188,-0.0213134646,0.7606499918499998,0.7607151004999999
13,0.25,0.0579309934,0.0008941878,3.7233226456,0.206155433,0.2434,0.0637529607,0.069607498,2.7655486767,0.3582254478,0.5066,0.0744609965,-0.057780995,2.4654150344,-0.1823141716,0.5066,0.0744609965,-0.057780995,2.4654150344,-0.1823141716,0.7375424576149999,0.7395493140499999
14,0.2816,0.0675088142,0.233109019,3.2775420268,0.3974428353,0.2762,0.071648866,0.1633556983,3.0156054916,0.4879030617,0.4422,0.0786839247,0.1177864212,2.9498457163,-0.0505646487,0.4422,0.0786839247,0.1177864212,2.9498457163,-0.0505646487,0.6372191278150001,0.63777533035
15,0.2728,0.0631518804,0.1970786925,2.2295249688,0.2634700063,0.2516,0.0659199515,0.1752837977,2.7402186071,0.0140260962,0.4756,0.0660048483,0.2299800153,2.620918323,-0.2081210903,0.4756,0.0660048483,0.2299800153,2.620918323,-0.2081210903,0.6346159763999999,0.6365972518499999
16,0.284,0.0782815432,0.2973886168,3.1192250271,0.4392660337,0.2854,0.0733678404,0.2459744843,2.5816651312,-0.0188375712,0.4306,0.0897754978,0.2152997294,3.3400600923,0.3764070875,0.4306,0.0897754978,0.2152997294,3.3400600923,0.3764070875,0.800114596455,0.80277666225
17,0.2442,0.0613380795,0.0761216438,3.2202414474,0.5835971368,0.2326,0.0593063234,0.0614441147,2.6387603641,0.2585299858,0.5232,0.0650980798,0.1662747672,3.6171322395,0.0362661202,0.5232,0.0650980798,0.1662747672,3.6171322395,0.0362661202,0.77366263085,0.77518693965
18,0.2354,0.0566289679,-0.0228966527,3.2808254621,0.5644917722,0.2156,0.0595704625,0.0680225011,2.6250147779,0.1024022399,0.549,0.0728491592,-0.0088344258,2.8078890014,-0.1397220243,0.549,0.0728491592,-0.0088344258,2.8078890014,-0.1397220243,0.7283013139050001,0.7290264868499998
19,0.2366,0.0649956922,0.0543879781,2.7014304755,-0.2831747613,0.2278,0.0603917213,0.0373024579,3.0838011105,0.3611301584,0.5356,0.0708564747,-0.0319639046,2.8298468813,0.2409525585,0.5356,0.0708564747,-0.0319639046,2.8298468813,0.2409525585,0.82442057335,0.8270755761499998
20,0.2424,0.0642046727,0.2060152096,2.6021110829,0.034707937,0.2732,0.0711741526,0.3390319258,3.4755686111,0.4250601481,0.4844,0.070403409,0.2635563356,3.2322806253,0.2395865573,0.4844,0.070403409,0.2635563356,3.2322806253,0.2395865573,0.7875467973999999,0.7891424392500002
21,0.215,0.0706753139,0.2055994763,3.3118012908,0.3592115263,0.2726,0.0859606887,0.4155406257,3.2039427172,0.4869868801,0.5124,0.0722650676,0.015059736,2.9198764857,0.2055882976,0.5124,0.0722650676,0.015059736,2.9198764857,0.2055882976,0.8173009849000001,0.8184101963000001
22,0.2458,0.0584667427,-0.0450159352,3.279254923,0.1621403146,0.2188,0.0587755051,-0.0227283794,2.965296691,0.0328902117,0.5354,0.0676375635,-0.0059559773,2.7400752879,0.196845571,0.5354,0.0676375635,-0.0059559773,2.7400752879,0.196845571,0.7410255091999999,0.7421007761000001
23,0.2396,0.0651140538,0.0444189025,3.098160479,0.329071717,0.2642,0.0588078226,0.0331299073,2.3570220659,0.0060506655,0.4962,0.0690330356,-0.0527273522,3.6821637985,0.1242085316,0.4962,0.0690330356,-0.0527273522,3.6821637985,0.1242085316,0.68077319268,0.685975915
