Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
1,0.26,0.0114017543,-0.5882352941,1.4349112426,0.0,0.257,0.0132664992,0.4866385373,1.432463843,0.2081456157,0.483,0.0196468827,0.332460733,1.3957555908,-0.3133036679,0.483,0.0196468827,0.332460733,1.3957555908,-0.3133036679,0.71176977605,0.7119888226
2,0.249,0.0210713075,-0.8097281831,2.6108473338,-0.9825067902,0.255,0.0273861279,-0.7558139535,1.412,0.4016632088,0.496,0.0239582971,-0.46566748,2.8436729838,-1.2360327736,0.496,0.0239582971,-0.46566748,2.8436729838,-1.2360327736,0.78983422385,0.7898593295
3,0.259,0.02310844,0.2974302898,1.4233682616,-0.066613144,0.331,0.0243721152,0.0735400144,1.8944835561,0.386266901,0.41,0.0167332005,-0.085106383,1.4094387755,0.4802257805,0.41,0.0167332005,-0.085106383,1.4094387755,0.4802257805,0.800794240515,0.8017430957000002
4,0.25,0.031144823,-0.2894736842,2.3023169306,0.7646353613,0.251,0.0274590604,-0.2143256855,2.5564838984,-1.0571802989,0.499,0.0058309519,-0.2337662338,2.6660899654,1.1500493357,0.499,0.0058309519,-0.2337662338,2.6660899654,1.1500493357,0.77398164805,0.7742030026499999
5,0.228,0.0398246155,-0.8904388259,2.0414924728,0.5323467445,0.287,0.0261916017,-0.252785737,1.7398405426,-0.4938934321,0.485,0.0320936131,-0.6509433962,1.56683005,-0.5036842847,0.485,0.0320936131,-0.6509433962,1.56683005,-0.5036842847,0.7053284405900001,0.7065731888499999
6,0.251,0.0124096736,-0.2534059946,2.9432450666,1.2621071359,0.297,0.0220454077,0.4674835061,1.9338261444,-0.6322528394,0.452,0.0269443872,0.8343627176,1.7745486419,0.4695928871,0.452,0.0269443872,0.8343627176,1.7745486419,0.4695928871,0.8400510180000001,0.84050517255
7,0.272,0.0143527001,-0.7408906883,1.8296257894,0.4078932113,0.199,0.0313687743,0.4839221913,1.8715422368,-0.2112944778,0.529,0.0381313519,-0.3194921071,2.3490678846,0.597695084,0.529,0.0381313519,-0.3194921071,2.3490678846,0.597695084,0.81681554876,0.8170895733500002
8,0.275,0.033015148,0.0099009901,3.1009595152,1.383851841,0.221,0.02310844,-0.0581745236,2.0798510289,0.5285291061,0.504,0.0549909083,0.0156874808,2.7544931553,-1.1182223635,0.504,0.0549909083,0.0156874808,2.7544931553,-1.1182223635,0.7818474831500001,0.7820877881
9,0.26,0.0296647939,-0.3157894737,2.133910124,0.0172380647,0.244,0.0333766385,-0.284853052,1.8110952815,-0.4715238621,0.496,0.0198494332,-0.739015352,1.3247056095,-0.2439686582,0.496,0.0198494332,-0.739015352,1.3247056095,-0.2439686582,0.76403364875,0.7645986961000002
10,0.306,0.058685603,-0.717510302,1.3581070144,0.1568032042,0.179,0.008,-0.0563380282,2.078125,-0.84375,0.515,0.0570964097,-0.711323764,1.5531728706,-0.0483521856,0.515,0.0570964097,-0.711323764,1.5531728706,-0.0483521856,0.68008450385,0.6811542617499999
