Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
288,0.2884,0.0487179638,-0.0413599827,7.149334492,1.5272670127,0.2136,0.0468939228,-0.2495327015,3.773764905,0.8130566454,0.498,0.0481663783,0.0743445302,3.2082282996,-0.6782524794,0.498,0.0481663783,0.0743445302,3.2082282996,-0.6782524794,0.8470881909300001,0.8435009739
289,0.2392,0.0402909419,0.003934877,3.2033037347,0.2785123701,0.1952,0.0388967865,-0.4431379521,5.4881681494,0.849240878,0.5656,0.0386864317,-0.3162679856,2.78516317,-0.2618179051,0.5656,0.0386864317,-0.3162679856,2.78516317,-0.2618179051,0.7246643570899999,0.7185220971999999
290,0.2372,0.0375787174,-0.1033494862,2.4389682514,-0.1974084103,0.2908,0.0446246569,-0.170965184,2.7492381228,0.9896073189,0.472,0.042332021,-0.0839054927,4.1967075893,-0.6897007962,0.472,0.042332021,-0.0839054927,4.1967075893,-0.6897007962,0.81987177975,0.8145073000999998
291,0.2752,0.0361242301,-0.3085559331,2.9300286757,-0.6070762418,0.2652,0.0450883577,-0.2603568594,2.307983274,0.4829134899,0.4596,0.0357189026,-0.2155760802,3.5653200781,-0.6097860328,0.4596,0.0357189026,-0.2155760802,3.5653200781,-0.6097860328,0.7867387521500001,0.7813230146500001
292,0.2648,0.048009999,-0.0805774045,2.5939159912,0.0157054608,0.2748,0.0447320914,-0.2853353216,2.3222733913,0.2774704677,0.4604,0.0524960951,-0.3454322991,2.9556418727,0.1117912092,0.4604,0.0524960951,-0.3454322991,2.9556418727,0.1117912092,0.8766200691500001,0.8683743392500001
293,0.2372,0.04494619,0.0079607493,2.6378089344,0.4166511337,0.2744,0.0516975821,-0.2284695834,2.8675678549,-0.3986713492,0.4884,0.0565459106,0.1907882784,3.2383022912,0.1530502101,0.4884,0.0565459106,0.1907882784,3.2383022912,0.1530502101,0.806021531065,0.8025293424000001
294,0.2384,0.0282389802,0.0261314329,2.9435780372,-0.0714152355,0.268,0.0401995025,-9.98104e-05,2.5117145378,-0.3893945044,0.4936,0.0429772033,-0.057937741,2.3112456471,-0.0205930381,0.4936,0.0429772033,-0.057937741,2.3112456471,-0.0205930381,0.850828896775,0.8475177983
295,0.228,0.0473286383,0.262482484,2.5735586735,0.2811647101,0.2692,0.042039981,0.0788195893,2.389509604,0.4145661761,0.5028,0.0506375355,0.066689855,2.0723831963,0.0486673637,0.5028,0.0506375355,0.066689855,2.0723831963,0.0486673637,0.7717136141800001,0.74919975311
296,0.2184,0.041921832,0.1384292045,2.9564681979,0.3697288005,0.3096,0.0386243447,-0.204587306,2.9381810106,0.0803568923,0.472,0.0493963561,0.2943844204,2.7969846815,-0.5499841534,0.472,0.0493963561,0.2943844204,2.7969846815,-0.5499841534,0.7774361915500002,0.77424955295
297,0.2856,0.0665179675,0.3799290596,2.2924740215,0.0757358622,0.2704,0.0453854602,0.2835162732,2.5283391789,0.0510032293,0.444,0.0609261848,-0.0606530275,2.3944476442,-0.4459183439,0.444,0.0609261848,-0.0606530275,2.3944476442,-0.4459183439,0.8410473582550001,0.8405389445999999
298,0.2128,0.0384208277,0.2275522934,2.4119919018,-0.4045063757,0.2944,0.0560770898,0.2140757682,2.9420250532,-0.1381088801,0.4928,0.0482924425,-0.0915016094,2.8370460675,0.1756961647,0.4928,0.0482924425,-0.0915016094,2.8370460675,0.1756961647,0.8385488845,0.8363505045999998
299,0.238,0.0380525952,0.0394146802,2.0154299319,0.3197087031,0.284,0.0364417343,0.2534743574,2.9105820874,-0.0247961431,0.478,0.0430813185,0.1183901037,2.1159334126,-0.1872961601,0.478,0.0430813185,0.1183901037,2.1159334126,-0.1872961601,0.8577118554099998,0.8531043690499999
300,0.2652,0.0366736963,-0.209799797,2.6815595842,0.5165371399,0.2276,0.0407214931,0.3980420424,1.8879554945,0.191232271,0.5072,0.0489505873,0.1270932749,2.1505017537,-0.3114437108,0.5072,0.0489505873,0.1270932749,2.1505017537,-0.3114437108,0.84002270972,0.8301707172199999
