Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 302 | GridSize: 15
Generation 2 | Revalues: 548 | GridSize: 23
Generation 3 | Revalues: 754 | GridSize: 32
Generation 4 | Revalues: 952 | GridSize: 35
Generation 5 | Revalues: 1156 | GridSize: 33
Generation 6 | Revalues: 1326 | GridSize: 32
Generation 7 | Revalues: 1512 | GridSize: 36
Generation 8 | Revalues: 1692 | GridSize: 42
Generation 9 | Revalues: 1886 | GridSize: 46
Generation 10 | Revalues: 2102 | GridSize: 52
Generation 11 | Revalues: 2316 | GridSize: 57
Generation 12 | Revalues: 2494 | GridSize: 58
Generation 13 | Revalues: 2690 | GridSize: 59
Generation 14 | Revalues: 2908 | GridSize: 59
Generation 15 | Revalues: 3094 | GridSize: 53
Generation 16 | Revalues: 3310 | GridSize: 59
Generation 17 | Revalues: 3516 | GridSize: 55
Generation 18 | Revalues: 3706 | GridSize: 54
Generation 19 | Revalues: 3920 | GridSize: 48
Generation 20 | Revalues: 4112 | GridSize: 51
Generation 21 | Revalues: 4328 | GridSize: 48
Generation 22 | Revalues: 4552 | GridSize: 47
Generation 23 | Revalues: 4728 | GridSize: 47
Generation 24 | Revalues: 4906 | GridSize: 53
Generation 25 | Revalues: 5094 | GridSize: 58
Generation 26 | Revalues: 5316 | GridSize: 57
Generation 27 | Revalues: 5526 | GridSize: 64
Generation 28 | Revalues: 5712 | GridSize: 61
Generation 29 | Revalues: 5926 | GridSize: 61
Generation 30 | Revalues: 6148 | GridSize: 60
Generation 31 | Revalues: 6334 | GridSize: 61
Generation 32 | Revalues: 6522 | GridSize: 57
Generation 33 | Revalues: 6696 | GridSize: 61
Generation 34 | Revalues: 6900 | GridSize: 61
Generation 35 | Revalues: 7096 | GridSize: 51
Generation 36 | Revalues: 7292 | GridSize: 52
Generation 37 | Revalues: 7492 | GridSize: 55
Generation 38 | Revalues: 7678 | GridSize: 55
Generation 39 | Revalues: 7888 | GridSize: 57
Generation 40 | Revalues: 8110 | GridSize: 60
Generation 41 | Revalues: 8300 | GridSize: 64
Generation 42 | Revalues: 8476 | GridSize: 67
Generation 43 | Revalues: 8660 | GridSize: 67
Generation 44 | Revalues: 8826 | GridSize: 74
Generation 45 | Revalues: 9028 | GridSize: 74
Generation 46 | Revalues: 9252 | GridSize: 74
Generation 47 | Revalues: 9436 | GridSize: 76
Generation 48 | Revalues: 9650 | GridSize: 88
Generation 49 | Revalues: 9842 | GridSize: 85
Generation 50 | Revalues: 10030 | GridSize: 87
Generation 51 | Revalues: 10248 | GridSize: 89
Generation 52 | Revalues: 10440 | GridSize: 85
Generation 53 | Revalues: 10626 | GridSize: 67
Generation 54 | Revalues: 10812 | GridSize: 51
Generation 55 | Revalues: 11000 | GridSize: 56
Generation 56 | Revalues: 11210 | GridSize: 60
Generation 57 | Revalues: 11400 | GridSize: 65
Generation 58 | Revalues: 11606 | GridSize: 68
Generation 59 | Revalues: 11804 | GridSize: 62
Generation 60 | Revalues: 11992 | GridSize: 72
Generation 61 | Revalues: 12186 | GridSize: 72
Generation 62 | Revalues: 12428 | GridSize: 72
Generation 63 | Revalues: 12634 | GridSize: 77
Generation 64 | Revalues: 12836 | GridSize: 88
Generation 65 | Revalues: 13030 | GridSize: 87
Generation 66 | Revalues: 13240 | GridSize: 81
Generation 67 | Revalues: 13422 | GridSize: 82
Generation 68 | Revalues: 13628 | GridSize: 78
Generation 69 | Revalues: 13834 | GridSize: 83
Generation 70 | Revalues: 14038 | GridSize: 72
Generation 71 | Revalues: 14212 | GridSize: 69
Generation 72 | Revalues: 14392 | GridSize: 65
Generation 73 | Revalues: 14590 | GridSize: 82
Generation 74 | Revalues: 14776 | GridSize: 84
Generation 75 | Revalues: 14998 | GridSize: 84
Generation 76 | Revalues: 15210 | GridSize: 88
Generation 77 | Revalues: 15402 | GridSize: 99
Generation 78 | Revalues: 15610 | GridSize: 92
Generation 79 | Revalues: 15828 | GridSize: 86
Generation 80 | Revalues: 16038 | GridSize: 89
Generation 81 | Revalues: 16218 | GridSize: 83
Generation 82 | Revalues: 16436 | GridSize: 83
Generation 83 | Revalues: 16634 | GridSize: 96
Generation 84 | Revalues: 16832 | GridSize: 86
Generation 85 | Revalues: 17024 | GridSize: 88
Generation 86 | Revalues: 17224 | GridSize: 78
Generation 87 | Revalues: 17408 | GridSize: 74
Generation 88 | Revalues: 17618 | GridSize: 84
Generation 89 | Revalues: 17816 | GridSize: 86
Generation 90 | Revalues: 18032 | GridSize: 90
Generation 91 | Revalues: 18226 | GridSize: 96
Generation 92 | Revalues: 18430 | GridSize: 100
