Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 306 | GridSize: 6
Generation 2 | Revalues: 526 | GridSize: 9
Generation 3 | Revalues: 752 | GridSize: 12
Generation 4 | Revalues: 1002 | GridSize: 17
Generation 5 | Revalues: 1214 | GridSize: 17
Generation 6 | Revalues: 1428 | GridSize: 21
Generation 7 | Revalues: 1666 | GridSize: 21
Generation 8 | Revalues: 1922 | GridSize: 24
Generation 9 | Revalues: 2158 | GridSize: 18
Generation 10 | Revalues: 2380 | GridSize: 18
Generation 11 | Revalues: 2582 | GridSize: 22
Generation 12 | Revalues: 2808 | GridSize: 21
Generation 13 | Revalues: 3054 | GridSize: 27
Generation 14 | Revalues: 3272 | GridSize: 20
Generation 15 | Revalues: 3488 | GridSize: 16
Generation 16 | Revalues: 3730 | GridSize: 32
Generation 17 | Revalues: 3930 | GridSize: 20
Generation 18 | Revalues: 4140 | GridSize: 25
Generation 19 | Revalues: 4362 | GridSize: 37
Generation 20 | Revalues: 4586 | GridSize: 31
Generation 21 | Revalues: 4806 | GridSize: 27
Generation 22 | Revalues: 5020 | GridSize: 26
Generation 23 | Revalues: 5248 | GridSize: 28
Generation 24 | Revalues: 5466 | GridSize: 28
Generation 25 | Revalues: 5698 | GridSize: 30
Generation 26 | Revalues: 5940 | GridSize: 29
Generation 27 | Revalues: 6170 | GridSize: 21
Generation 28 | Revalues: 6392 | GridSize: 29
Generation 29 | Revalues: 6608 | GridSize: 42
Generation 30 | Revalues: 6848 | GridSize: 40
Generation 31 | Revalues: 7070 | GridSize: 39
Generation 32 | Revalues: 7306 | GridSize: 38
Generation 33 | Revalues: 7546 | GridSize: 36
Generation 34 | Revalues: 7730 | GridSize: 39
Generation 35 | Revalues: 7954 | GridSize: 46
Generation 36 | Revalues: 8168 | GridSize: 41
Generation 37 | Revalues: 8400 | GridSize: 42
Generation 38 | Revalues: 8616 | GridSize: 35
Generation 39 | Revalues: 8832 | GridSize: 27
Generation 40 | Revalues: 9044 | GridSize: 24
Generation 41 | Revalues: 9246 | GridSize: 27
Generation 42 | Revalues: 9466 | GridSize: 31
Generation 43 | Revalues: 9680 | GridSize: 29
Generation 44 | Revalues: 9894 | GridSize: 19
Generation 45 | Revalues: 10112 | GridSize: 28
Generation 46 | Revalues: 10358 | GridSize: 32
Generation 47 | Revalues: 10576 | GridSize: 41
Generation 48 | Revalues: 10778 | GridSize: 36
Generation 49 | Revalues: 10984 | GridSize: 43
Generation 50 | Revalues: 11194 | GridSize: 41
Generation 51 | Revalues: 11414 | GridSize: 37
Generation 52 | Revalues: 11652 | GridSize: 32
Generation 53 | Revalues: 11890 | GridSize: 34
Generation 54 | Revalues: 12102 | GridSize: 34
Generation 55 | Revalues: 12312 | GridSize: 31
Generation 56 | Revalues: 12532 | GridSize: 35
Generation 57 | Revalues: 12752 | GridSize: 32
Generation 58 | Revalues: 12964 | GridSize: 33
Generation 59 | Revalues: 13182 | GridSize: 42
Generation 60 | Revalues: 13368 | GridSize: 45
Generation 61 | Revalues: 13598 | GridSize: 38
Generation 62 | Revalues: 13788 | GridSize: 39
Generation 63 | Revalues: 14012 | GridSize: 40
Generation 64 | Revalues: 14244 | GridSize: 35
Generation 65 | Revalues: 14466 | GridSize: 38
Generation 66 | Revalues: 14676 | GridSize: 38
Generation 67 | Revalues: 14892 | GridSize: 38
Generation 68 | Revalues: 15130 | GridSize: 42
Generation 69 | Revalues: 15364 | GridSize: 48
Generation 70 | Revalues: 15584 | GridSize: 55
Generation 71 | Revalues: 15810 | GridSize: 50
Generation 72 | Revalues: 16062 | GridSize: 48
Generation 73 | Revalues: 16282 | GridSize: 46
Generation 74 | Revalues: 16500 | GridSize: 41
Generation 75 | Revalues: 16720 | GridSize: 36
Generation 76 | Revalues: 16950 | GridSize: 42
Generation 77 | Revalues: 17152 | GridSize: 40
Generation 78 | Revalues: 17370 | GridSize: 40
Generation 79 | Revalues: 17584 | GridSize: 38
Generation 80 | Revalues: 17802 | GridSize: 35
Generation 81 | Revalues: 18028 | GridSize: 36
Generation 82 | Revalues: 18250 | GridSize: 37
Generation 83 | Revalues: 18480 | GridSize: 36
Generation 84 | Revalues: 18710 | GridSize: 41
Generation 85 | Revalues: 18926 | GridSize: 45
Generation 86 | Revalues: 19118 | GridSize: 48
Generation 87 | Revalues: 19352 | GridSize: 54
Generation 88 | Revalues: 19566 | GridSize: 51
Generation 89 | Revalues: 19784 | GridSize: 57
Generation 90 | Revalues: 20046 | GridSize: 60
Generation 91 | Revalues: 20260 | GridSize: 56
