Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 332 | GridSize: 10
Generation 2 | Revalues: 532 | GridSize: 8
Generation 3 | Revalues: 732 | GridSize: 12
Generation 4 | Revalues: 974 | GridSize: 7
Generation 5 | Revalues: 1194 | GridSize: 12
Generation 6 | Revalues: 1428 | GridSize: 16
Generation 7 | Revalues: 1632 | GridSize: 16
Generation 8 | Revalues: 1872 | GridSize: 21
Generation 9 | Revalues: 2100 | GridSize: 16
Generation 10 | Revalues: 2322 | GridSize: 16
Generation 11 | Revalues: 2532 | GridSize: 17
Generation 12 | Revalues: 2776 | GridSize: 14
Generation 13 | Revalues: 3004 | GridSize: 18
Generation 14 | Revalues: 3242 | GridSize: 21
Generation 15 | Revalues: 3438 | GridSize: 16
Generation 16 | Revalues: 3650 | GridSize: 16
Generation 17 | Revalues: 3860 | GridSize: 21
Generation 18 | Revalues: 4082 | GridSize: 23
Generation 19 | Revalues: 4294 | GridSize: 20
Generation 20 | Revalues: 4504 | GridSize: 24
Generation 21 | Revalues: 4726 | GridSize: 20
Generation 22 | Revalues: 4952 | GridSize: 17
Generation 23 | Revalues: 5170 | GridSize: 20
Generation 24 | Revalues: 5376 | GridSize: 21
Generation 25 | Revalues: 5594 | GridSize: 29
Generation 26 | Revalues: 5812 | GridSize: 23
Generation 27 | Revalues: 6052 | GridSize: 22
Generation 28 | Revalues: 6282 | GridSize: 16
Generation 29 | Revalues: 6518 | GridSize: 24
Generation 30 | Revalues: 6732 | GridSize: 21
Generation 31 | Revalues: 6940 | GridSize: 23
Generation 32 | Revalues: 7166 | GridSize: 29
Generation 33 | Revalues: 7384 | GridSize: 34
Generation 34 | Revalues: 7592 | GridSize: 26
Generation 35 | Revalues: 7818 | GridSize: 28
Generation 36 | Revalues: 8044 | GridSize: 20
Generation 37 | Revalues: 8266 | GridSize: 23
Generation 38 | Revalues: 8466 | GridSize: 19
Generation 39 | Revalues: 8698 | GridSize: 21
Generation 40 | Revalues: 8924 | GridSize: 18
Generation 41 | Revalues: 9164 | GridSize: 21
Generation 42 | Revalues: 9372 | GridSize: 22
Generation 43 | Revalues: 9572 | GridSize: 27
Generation 44 | Revalues: 9826 | GridSize: 19
Generation 45 | Revalues: 10032 | GridSize: 28
Generation 46 | Revalues: 10248 | GridSize: 25
Generation 47 | Revalues: 10436 | GridSize: 23
Generation 48 | Revalues: 10656 | GridSize: 30
Generation 49 | Revalues: 10864 | GridSize: 30
Generation 50 | Revalues: 11084 | GridSize: 33
Generation 51 | Revalues: 11312 | GridSize: 29
Generation 52 | Revalues: 11538 | GridSize: 38
Generation 53 | Revalues: 11772 | GridSize: 30
Generation 54 | Revalues: 11996 | GridSize: 34
Generation 55 | Revalues: 12230 | GridSize: 26
Generation 56 | Revalues: 12452 | GridSize: 27
Generation 57 | Revalues: 12684 | GridSize: 28
Generation 58 | Revalues: 12882 | GridSize: 31
Generation 59 | Revalues: 13090 | GridSize: 24
Generation 60 | Revalues: 13294 | GridSize: 24
Generation 61 | Revalues: 13506 | GridSize: 32
Generation 62 | Revalues: 13718 | GridSize: 42
Generation 63 | Revalues: 13942 | GridSize: 43
Generation 64 | Revalues: 14174 | GridSize: 39
Generation 65 | Revalues: 14404 | GridSize: 37
Generation 66 | Revalues: 14624 | GridSize: 33
Generation 67 | Revalues: 14838 | GridSize: 34
Generation 68 | Revalues: 15040 | GridSize: 29
Generation 69 | Revalues: 15250 | GridSize: 43
Generation 70 | Revalues: 15458 | GridSize: 39
Generation 71 | Revalues: 15668 | GridSize: 40
Generation 72 | Revalues: 15890 | GridSize: 40
Generation 73 | Revalues: 16130 | GridSize: 42
Generation 74 | Revalues: 16352 | GridSize: 44
Generation 75 | Revalues: 16584 | GridSize: 41
Generation 76 | Revalues: 16816 | GridSize: 39
Generation 77 | Revalues: 17024 | GridSize: 40
Generation 78 | Revalues: 17248 | GridSize: 37
Generation 79 | Revalues: 17460 | GridSize: 42
Generation 80 | Revalues: 17684 | GridSize: 34
Generation 81 | Revalues: 17908 | GridSize: 38
Generation 82 | Revalues: 18126 | GridSize: 32
Generation 83 | Revalues: 18336 | GridSize: 38
Generation 84 | Revalues: 18548 | GridSize: 39
Generation 85 | Revalues: 18786 | GridSize: 38
Generation 86 | Revalues: 19018 | GridSize: 41
Generation 87 | Revalues: 19212 | GridSize: 35
Generation 88 | Revalues: 19446 | GridSize: 42
Generation 89 | Revalues: 19686 | GridSize: 35
Generation 90 | Revalues: 19910 | GridSize: 30
Generation 91 | Revalues: 20140 | GridSize: 38
Generation 92 | Revalues: 20338 | GridSize: 39
Generation 93 | Revalues: 20548 | GridSize: 41
Generation 94 | Revalues: 20762 | GridSize: 38
Generation 95 | Revalues: 20976 | GridSize: 40
Generation 96 | Revalues: 21174 | GridSize: 43
Generation 97 | Revalues: 21414 | GridSize: 50
Generation 98 | Revalues: 21632 | GridSize: 45
Generation 99 | Revalues: 21856 | GridSize: 47
Generation 100 | Revalues: 22076 | GridSize: 45
Generation 101 | Revalues: 22274 | GridSize: 37
Generation 102 | Revalues: 22478 | GridSize: 32
Generation 103 | Revalues: 22714 | GridSize: 33
Generation 104 | Revalues: 22932 | GridSize: 36
Generation 105 | Revalues: 23142 | GridSize: 38
Generation 106 | Revalues: 23378 | GridSize: 43
Generation 107 | Revalues: 23606 | GridSize: 51
Generation 108 | Revalues: 23822 | GridSize: 45
Generation 109 | Revalues: 24048 | GridSize: 42
Generation 110 | Revalues: 24256 | GridSize: 45
Generation 111 | Revalues: 24452 | GridSize: 43
Generation 112 | Revalues: 24654 | GridSize: 47
Generation 113 | Revalues: 24888 | GridSize: 44
Generation 114 | Revalues: 25120 | GridSize: 44
Generation 115 | Revalues: 25364 | GridSize: 48
Generation 116 | Revalues: 25580 | GridSize: 50
Generation 117 | Revalues: 25804 | GridSize: 59
Generation 118 | Revalues: 26004 | GridSize: 64
Generation 119 | Revalues: 26236 | GridSize: 57
Generation 120 | Revalues: 26478 | GridSize: 45
Generation 121 | Revalues: 26714 | GridSize: 42
Generation 122 | Revalues: 26928 | GridSize: 46
Generation 123 | Revalues: 27156 | GridSize: 53
Generation 124 | Revalues: 27390 | GridSize: 59
Generation 125 | Revalues: 27614 | GridSize: 52
Generation 126 | Revalues: 27854 | GridSize: 62
Generation 127 | Revalues: 28070 | GridSize: 53
Generation 128 | Revalues: 28290 | GridSize: 50
Generation 129 | Revalues: 28482 | GridSize: 54
Generation 130 | Revalues: 28716 | GridSize: 52
Generation 131 | Revalues: 28932 | GridSize: 51
Generation 132 | Revalues: 29178 | GridSize: 60
Generation 133 | Revalues: 29398 | GridSize: 55
Generation 134 | Revalues: 29624 | GridSize: 58
Generation 135 | Revalues: 29846 | GridSize: 49
Generation 136 | Revalues: 30062 | GridSize: 45
Generation 137 | Revalues: 30296 | GridSize: 51
Generation 138 | Revalues: 30556 | GridSize: 51
Generation 139 | Revalues: 30770 | GridSize: 53
Generation 140 | Revalues: 30986 | GridSize: 63
Generation 141 | Revalues: 31214 | GridSize: 58
Generation 142 | Revalues: 31416 | GridSize: 56
Generation 143 | Revalues: 31636 | GridSize: 64
Generation 144 | Revalues: 31854 | GridSize: 64
Generation 145 | Revalues: 32090 | GridSize: 69
Generation 146 | Revalues: 32304 | GridSize: 60
Generation 147 | Revalues: 32524 | GridSize: 58
Generation 148 | Revalues: 32750 | GridSize: 55
Generation 149 | Revalues: 32970 | GridSize: 57
Generation 150 | Revalues: 33196 | GridSize: 58
Generation 151 | Revalues: 33428 | GridSize: 66
