Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 300 | GridSize: 12
Generation 2 | Revalues: 528 | GridSize: 9
Generation 3 | Revalues: 752 | GridSize: 12
Generation 4 | Revalues: 974 | GridSize: 14
Generation 5 | Revalues: 1202 | GridSize: 7
Generation 6 | Revalues: 1428 | GridSize: 9
Generation 7 | Revalues: 1654 | GridSize: 12
Generation 8 | Revalues: 1858 | GridSize: 11
Generation 9 | Revalues: 2088 | GridSize: 19
Generation 10 | Revalues: 2300 | GridSize: 17
Generation 11 | Revalues: 2536 | GridSize: 18
Generation 12 | Revalues: 2760 | GridSize: 16
Generation 13 | Revalues: 2992 | GridSize: 15
Generation 14 | Revalues: 3200 | GridSize: 20
Generation 15 | Revalues: 3388 | GridSize: 23
Generation 16 | Revalues: 3594 | GridSize: 28
Generation 17 | Revalues: 3832 | GridSize: 27
Generation 18 | Revalues: 4084 | GridSize: 21
Generation 19 | Revalues: 4308 | GridSize: 15
Generation 20 | Revalues: 4514 | GridSize: 18
Generation 21 | Revalues: 4746 | GridSize: 16
Generation 22 | Revalues: 4954 | GridSize: 17
Generation 23 | Revalues: 5182 | GridSize: 18
Generation 24 | Revalues: 5396 | GridSize: 21
Generation 25 | Revalues: 5612 | GridSize: 20
Generation 26 | Revalues: 5820 | GridSize: 26
Generation 27 | Revalues: 6046 | GridSize: 26
Generation 28 | Revalues: 6232 | GridSize: 18
Generation 29 | Revalues: 6456 | GridSize: 25
Generation 30 | Revalues: 6682 | GridSize: 22
Generation 31 | Revalues: 6900 | GridSize: 26
Generation 32 | Revalues: 7124 | GridSize: 19
Generation 33 | Revalues: 7334 | GridSize: 28
Generation 34 | Revalues: 7534 | GridSize: 34
Generation 35 | Revalues: 7752 | GridSize: 35
Generation 36 | Revalues: 7966 | GridSize: 40
Generation 37 | Revalues: 8192 | GridSize: 29
Generation 38 | Revalues: 8422 | GridSize: 29
Generation 39 | Revalues: 8616 | GridSize: 33
Generation 40 | Revalues: 8856 | GridSize: 34
Generation 41 | Revalues: 9086 | GridSize: 23
Generation 42 | Revalues: 9320 | GridSize: 29
Generation 43 | Revalues: 9524 | GridSize: 29
Generation 44 | Revalues: 9720 | GridSize: 19
Generation 45 | Revalues: 9936 | GridSize: 22
Generation 46 | Revalues: 10142 | GridSize: 21
Generation 47 | Revalues: 10374 | GridSize: 19
Generation 48 | Revalues: 10600 | GridSize: 26
Generation 49 | Revalues: 10816 | GridSize: 27
Generation 50 | Revalues: 11032 | GridSize: 28
Generation 51 | Revalues: 11244 | GridSize: 28
Generation 52 | Revalues: 11452 | GridSize: 30
Generation 53 | Revalues: 11690 | GridSize: 32
Generation 54 | Revalues: 11912 | GridSize: 31
Generation 55 | Revalues: 12128 | GridSize: 26
Generation 56 | Revalues: 12358 | GridSize: 27
Generation 57 | Revalues: 12568 | GridSize: 32
Generation 58 | Revalues: 12800 | GridSize: 31
Generation 59 | Revalues: 13006 | GridSize: 29
Generation 60 | Revalues: 13224 | GridSize: 36
Generation 61 | Revalues: 13444 | GridSize: 35
Generation 62 | Revalues: 13642 | GridSize: 27
Generation 63 | Revalues: 13876 | GridSize: 31
Generation 64 | Revalues: 14086 | GridSize: 27
Generation 65 | Revalues: 14330 | GridSize: 36
Generation 66 | Revalues: 14564 | GridSize: 27
Generation 67 | Revalues: 14806 | GridSize: 24
Generation 68 | Revalues: 15036 | GridSize: 26
Generation 69 | Revalues: 15240 | GridSize: 25
Generation 70 | Revalues: 15448 | GridSize: 27
Generation 71 | Revalues: 15678 | GridSize: 30
Generation 72 | Revalues: 15906 | GridSize: 24
Generation 73 | Revalues: 16132 | GridSize: 20
Generation 74 | Revalues: 16326 | GridSize: 27
Generation 75 | Revalues: 16548 | GridSize: 32
Generation 76 | Revalues: 16788 | GridSize: 38
Generation 77 | Revalues: 16988 | GridSize: 37
Generation 78 | Revalues: 17186 | GridSize: 33
Generation 79 | Revalues: 17408 | GridSize: 32
Generation 80 | Revalues: 17618 | GridSize: 30
Generation 81 | Revalues: 17822 | GridSize: 34
Generation 82 | Revalues: 18028 | GridSize: 40
Generation 83 | Revalues: 18284 | GridSize: 29
Generation 84 | Revalues: 18504 | GridSize: 27
Generation 85 | Revalues: 18724 | GridSize: 31
Generation 86 | Revalues: 18940 | GridSize: 42
Generation 87 | Revalues: 19170 | GridSize: 32
Generation 88 | Revalues: 19392 | GridSize: 35
Generation 89 | Revalues: 19608 | GridSize: 30
Generation 90 | Revalues: 19810 | GridSize: 32
Generation 91 | Revalues: 20028 | GridSize: 27
Generation 92 | Revalues: 20226 | GridSize: 27
Generation 93 | Revalues: 20450 | GridSize: 34
Generation 94 | Revalues: 20650 | GridSize: 28
Generation 95 | Revalues: 20880 | GridSize: 24
Generation 96 | Revalues: 21082 | GridSize: 28
Generation 97 | Revalues: 21302 | GridSize: 34
Generation 98 | Revalues: 21520 | GridSize: 34
Generation 99 | Revalues: 21748 | GridSize: 34
Generation 100 | Revalues: 21952 | GridSize: 34
Generation 101 | Revalues: 22164 | GridSize: 26
Generation 102 | Revalues: 22402 | GridSize: 22
Generation 103 | Revalues: 22586 | GridSize: 29
Generation 104 | Revalues: 22810 | GridSize: 29
Generation 105 | Revalues: 23046 | GridSize: 32
Generation 106 | Revalues: 23234 | GridSize: 42
Generation 107 | Revalues: 23446 | GridSize: 44
Generation 108 | Revalues: 23672 | GridSize: 47
Generation 109 | Revalues: 23878 | GridSize: 44
Generation 110 | Revalues: 24088 | GridSize: 45
Generation 111 | Revalues: 24304 | GridSize: 39
Generation 112 | Revalues: 24526 | GridSize: 35
Generation 113 | Revalues: 24748 | GridSize: 33
Generation 114 | Revalues: 24932 | GridSize: 36
Generation 115 | Revalues: 25136 | GridSize: 41
Generation 116 | Revalues: 25366 | GridSize: 35
Generation 117 | Revalues: 25594 | GridSize: 46
Generation 118 | Revalues: 25800 | GridSize: 41
Generation 119 | Revalues: 26014 | GridSize: 37
Generation 120 | Revalues: 26244 | GridSize: 41
Generation 121 | Revalues: 26472 | GridSize: 35
Generation 122 | Revalues: 26682 | GridSize: 39
Generation 123 | Revalues: 26918 | GridSize: 32
Generation 124 | Revalues: 27146 | GridSize: 33
Generation 125 | Revalues: 27362 | GridSize: 33
Generation 126 | Revalues: 27600 | GridSize: 38
Generation 127 | Revalues: 27828 | GridSize: 45
Generation 128 | Revalues: 28040 | GridSize: 49
Generation 129 | Revalues: 28254 | GridSize: 49
Generation 130 | Revalues: 28484 | GridSize: 48
Generation 131 | Revalues: 28668 | GridSize: 53
Generation 132 | Revalues: 28900 | GridSize: 53
Generation 133 | Revalues: 29140 | GridSize: 63
Generation 134 | Revalues: 29368 | GridSize: 60
Generation 135 | Revalues: 29584 | GridSize: 66
Generation 136 | Revalues: 29778 | GridSize: 69
Generation 137 | Revalues: 30006 | GridSize: 55
Generation 138 | Revalues: 30206 | GridSize: 61
Generation 139 | Revalues: 30432 | GridSize: 62
Generation 140 | Revalues: 30642 | GridSize: 49
Generation 141 | Revalues: 30860 | GridSize: 59
Generation 142 | Revalues: 31086 | GridSize: 60
Generation 143 | Revalues: 31314 | GridSize: 47
Generation 144 | Revalues: 31524 | GridSize: 49
Generation 145 | Revalues: 31762 | GridSize: 35
Generation 146 | Revalues: 32002 | GridSize: 38
Generation 147 | Revalues: 32236 | GridSize: 40
Generation 148 | Revalues: 32464 | GridSize: 49
Generation 149 | Revalues: 32712 | GridSize: 49
Generation 150 | Revalues: 32936 | GridSize: 60
Generation 151 | Revalues: 33164 | GridSize: 53
Generation 152 | Revalues: 33394 | GridSize: 53
Generation 153 | Revalues: 33608 | GridSize: 57
Generation 154 | Revalues: 33836 | GridSize: 49
Generation 155 | Revalues: 34064 | GridSize: 49
Generation 156 | Revalues: 34298 | GridSize: 54
Generation 157 | Revalues: 34522 | GridSize: 44
Generation 158 | Revalues: 34746 | GridSize: 49
Generation 159 | Revalues: 34948 | GridSize: 62
Generation 160 | Revalues: 35180 | GridSize: 53
Generation 161 | Revalues: 35402 | GridSize: 54
Generation 162 | Revalues: 35638 | GridSize: 52
Generation 163 | Revalues: 35850 | GridSize: 58
Generation 164 | Revalues: 36088 | GridSize: 49
Generation 165 | Revalues: 36306 | GridSize: 53
Generation 166 | Revalues: 36540 | GridSize: 58
Generation 167 | Revalues: 36766 | GridSize: 56
Generation 168 | Revalues: 37006 | GridSize: 55
Generation 169 | Revalues: 37238 | GridSize: 54
Generation 170 | Revalues: 37436 | GridSize: 49
Generation 171 | Revalues: 37652 | GridSize: 56
Generation 172 | Revalues: 37876 | GridSize: 57
Generation 173 | Revalues: 38078 | GridSize: 59
Generation 174 | Revalues: 38268 | GridSize: 54
Generation 175 | Revalues: 38504 | GridSize: 57
Generation 176 | Revalues: 38722 | GridSize: 61
Generation 177 | Revalues: 38948 | GridSize: 58
Generation 178 | Revalues: 39174 | GridSize: 51
Generation 179 | Revalues: 39382 | GridSize: 54
