Instance,SBS_Prediction
0,0.7245669413659996
1,0.7887594363214997
10,0.7889504243744997
100,0.7653519636305
101,0.7851432526815006
102,0.7871577974795008
103,0.7628489506285002
104,0.7468095199130002
105,0.7271127435330004
106,0.7161069148430002
107,0.7182625968829996
108,0.7245270071524998
109,0.7580688006819994
11,0.7762229903164993
110,0.7676747736230003
111,0.7797858901149999
112,0.7581105204005002
113,0.7484567878744999
114,0.7455332711680001
115,0.7409422784439996
116,0.7465576643269993
117,0.7382077787059995
118,0.7356512185559996
119,0.7300789606715
12,0.7364377793150001
120,0.7444502578574999
121,0.7385657643065001
122,0.7481985078115003
123,0.7476893815189999
124,0.7607301955255004
125,0.7630817661485
126,0.7799959380164997
127,0.7554641558754993
128,0.7615516843770004
129,0.7798269005120005
13,0.7749289909175002
130,0.7740853260770004
131,0.7627856977810002
132,0.7461048284715001
133,0.7619259753930001
134,0.7480854650829998
135,0.7840854672924995
136,0.7976777278604996
137,0.7935132556900001
138,0.7884573827994995
139,0.7697414223459994
14,0.7717160043584996
140,0.7985093379849998
141,0.8117081715640001
142,0.8185870691850002
143,0.8064863124373001
144,0.8206915497395503
145,0.8049274072003003
146,0.8040611710705998
147,0.7968771502299998
148,0.8076559683307996
149,0.80885817748305
15,0.8101478069172998
150,0.8051990253055499
151,0.8195166000406995
152,0.8125629567515505
153,0.8120714804581499
154,0.8055738661780499
155,0.8075852994021498
156,0.8053173562857997
157,0.8093648783418999
158,0.80810821219495
159,0.8189949435179001
16,0.8111201181771999
160,0.8059262355241998
161,0.8085091732085001
162,0.7987389442908999
163,0.8077724469143
164,0.8211505703591999
