Instance,SBS_Prediction
0,0.7341490775179997
1,0.7895234643389997
10,0.7835867536604995
100,0.7601117390029998
101,0.7938149959065005
102,0.7997737885470005
103,0.7668715431440003
104,0.7433385545450002
105,0.729097360138
106,0.7316334143750001
107,0.7135513474175003
108,0.7153180490839998
109,0.7386933707249997
11,0.7616512021020001
110,0.7777256472079999
111,0.7804053387454999
112,0.7705302890675
113,0.7537321670095003
114,0.7442006982634994
115,0.7506383054434997
116,0.7338419235779997
117,0.7407390414734997
118,0.7466881289174997
119,0.7392961731874997
12,0.7248262092210003
120,0.7336823100009997
121,0.7383305444135005
122,0.7445937503904999
123,0.7524160139280004
124,0.7566894916414998
125,0.759903118876
126,0.7545542949730002
127,0.7615499854714995
128,0.764344117486
129,0.7731746226740006
13,0.7524462834010005
130,0.7820918275630002
131,0.7697598259755003
132,0.7517571590505
133,0.7563854900014998
134,0.7617345710649999
135,0.7714741761939997
136,0.7946938936149999
137,0.7870558368209999
138,0.7828585728764993
139,0.7734780504849996
14,0.7785984486734996
140,0.7954849529814999
141,0.8120643046145004
142,0.8185461882759999
143,0.8118288217383998
144,0.8130871507127001
145,0.8085361073689501
146,0.8140712409130498
147,0.8024474348353998
148,0.8033906033162996
149,0.8096154611942498
15,0.8169225697552998
150,0.8142217717528004
151,0.8176014764354999
152,0.8096850681820993
153,0.7942843357299499
154,0.8080753291332998
155,0.8166554747886502
156,0.8029628748970998
157,0.8169418375162002
158,0.8076327042407
159,0.8173945972570995
16,0.7999353799883991
160,0.8094290475967
161,0.8127285622549496
162,0.8131519126025496
163,0.8154869570841004
164,0.8147746189844999
