Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 296 | GridSize: 22
Generation 2 | Revalues: 502 | GridSize: 20
Generation 3 | Revalues: 722 | GridSize: 21
Generation 4 | Revalues: 950 | GridSize: 23
Generation 5 | Revalues: 1160 | GridSize: 22
Generation 6 | Revalues: 1368 | GridSize: 24
Generation 7 | Revalues: 1570 | GridSize: 21
Generation 8 | Revalues: 1770 | GridSize: 28
Generation 9 | Revalues: 1986 | GridSize: 31
Generation 10 | Revalues: 2196 | GridSize: 38
Generation 11 | Revalues: 2390 | GridSize: 41
Generation 12 | Revalues: 2594 | GridSize: 35
Generation 13 | Revalues: 2776 | GridSize: 38
Generation 14 | Revalues: 2966 | GridSize: 46
Generation 15 | Revalues: 3172 | GridSize: 47
Generation 16 | Revalues: 3386 | GridSize: 55
Generation 17 | Revalues: 3590 | GridSize: 54
Generation 18 | Revalues: 3800 | GridSize: 53
Generation 19 | Revalues: 4006 | GridSize: 64
Generation 20 | Revalues: 4206 | GridSize: 59
Generation 21 | Revalues: 4388 | GridSize: 67
Generation 22 | Revalues: 4596 | GridSize: 68
Generation 23 | Revalues: 4786 | GridSize: 71
Generation 24 | Revalues: 4976 | GridSize: 76
Generation 25 | Revalues: 5194 | GridSize: 66
Generation 26 | Revalues: 5394 | GridSize: 63
Generation 27 | Revalues: 5580 | GridSize: 63
Generation 28 | Revalues: 5788 | GridSize: 67
Generation 29 | Revalues: 5978 | GridSize: 67
Generation 30 | Revalues: 6164 | GridSize: 69
Generation 31 | Revalues: 6390 | GridSize: 81
Generation 32 | Revalues: 6596 | GridSize: 86
Generation 33 | Revalues: 6804 | GridSize: 89
Generation 34 | Revalues: 7004 | GridSize: 84
Generation 35 | Revalues: 7202 | GridSize: 83
Generation 36 | Revalues: 7402 | GridSize: 84
Generation 37 | Revalues: 7602 | GridSize: 87
Generation 38 | Revalues: 7796 | GridSize: 86
Generation 39 | Revalues: 7998 | GridSize: 93
Generation 40 | Revalues: 8176 | GridSize: 96
Generation 41 | Revalues: 8372 | GridSize: 93
Generation 42 | Revalues: 8564 | GridSize: 97
Generation 43 | Revalues: 8768 | GridSize: 102
Generation 44 | Revalues: 8952 | GridSize: 101
Generation 45 | Revalues: 9164 | GridSize: 107
Generation 46 | Revalues: 9370 | GridSize: 108
Generation 47 | Revalues: 9578 | GridSize: 113
Generation 48 | Revalues: 9760 | GridSize: 111
