Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 306 | GridSize: 13
Generation 2 | Revalues: 524 | GridSize: 20
Generation 3 | Revalues: 726 | GridSize: 28
Generation 4 | Revalues: 910 | GridSize: 26
Generation 5 | Revalues: 1130 | GridSize: 20
Generation 6 | Revalues: 1358 | GridSize: 24
Generation 7 | Revalues: 1550 | GridSize: 22
Generation 8 | Revalues: 1748 | GridSize: 35
Generation 9 | Revalues: 1950 | GridSize: 26
Generation 10 | Revalues: 2160 | GridSize: 28
Generation 11 | Revalues: 2370 | GridSize: 29
Generation 12 | Revalues: 2552 | GridSize: 22
Generation 13 | Revalues: 2754 | GridSize: 26
Generation 14 | Revalues: 2936 | GridSize: 33
Generation 15 | Revalues: 3130 | GridSize: 33
Generation 16 | Revalues: 3348 | GridSize: 40
Generation 17 | Revalues: 3556 | GridSize: 40
Generation 18 | Revalues: 3768 | GridSize: 44
Generation 19 | Revalues: 3956 | GridSize: 49
Generation 20 | Revalues: 4146 | GridSize: 47
Generation 21 | Revalues: 4358 | GridSize: 40
Generation 22 | Revalues: 4534 | GridSize: 52
Generation 23 | Revalues: 4740 | GridSize: 59
Generation 24 | Revalues: 4940 | GridSize: 57
Generation 25 | Revalues: 5142 | GridSize: 64
Generation 26 | Revalues: 5336 | GridSize: 64
Generation 27 | Revalues: 5538 | GridSize: 65
Generation 28 | Revalues: 5724 | GridSize: 78
Generation 29 | Revalues: 5924 | GridSize: 65
Generation 30 | Revalues: 6126 | GridSize: 70
Generation 31 | Revalues: 6326 | GridSize: 68
Generation 32 | Revalues: 6512 | GridSize: 72
Generation 33 | Revalues: 6738 | GridSize: 77
Generation 34 | Revalues: 6928 | GridSize: 79
Generation 35 | Revalues: 7154 | GridSize: 85
Generation 36 | Revalues: 7354 | GridSize: 77
Generation 37 | Revalues: 7540 | GridSize: 78
Generation 38 | Revalues: 7740 | GridSize: 77
Generation 39 | Revalues: 7924 | GridSize: 85
Generation 40 | Revalues: 8128 | GridSize: 88
Generation 41 | Revalues: 8330 | GridSize: 88
Generation 42 | Revalues: 8508 | GridSize: 95
Generation 43 | Revalues: 8690 | GridSize: 91
Generation 44 | Revalues: 8888 | GridSize: 94
Generation 45 | Revalues: 9084 | GridSize: 90
Generation 46 | Revalues: 9284 | GridSize: 89
Generation 47 | Revalues: 9502 | GridSize: 100
Generation 48 | Revalues: 9690 | GridSize: 102
Generation 49 | Revalues: 9886 | GridSize: 108
Generation 50 | Revalues: 10072 | GridSize: 111
Generation 51 | Revalues: 10290 | GridSize: 118
Generation 52 | Revalues: 10480 | GridSize: 126
Generation 53 | Revalues: 10696 | GridSize: 104
Generation 54 | Revalues: 10888 | GridSize: 104
Generation 55 | Revalues: 11096 | GridSize: 117
Generation 56 | Revalues: 11326 | GridSize: 120
Generation 57 | Revalues: 11538 | GridSize: 114
Generation 58 | Revalues: 11734 | GridSize: 117
Generation 59 | Revalues: 11928 | GridSize: 121
Generation 60 | Revalues: 12112 | GridSize: 130
Generation 61 | Revalues: 12302 | GridSize: 133
Generation 62 | Revalues: 12528 | GridSize: 129
Generation 63 | Revalues: 12716 | GridSize: 132
Generation 64 | Revalues: 12924 | GridSize: 138
Generation 65 | Revalues: 13140 | GridSize: 151
Generation 66 | Revalues: 13336 | GridSize: 158
Generation 67 | Revalues: 13514 | GridSize: 158
Generation 68 | Revalues: 13710 | GridSize: 159
Generation 69 | Revalues: 13890 | GridSize: 140
Generation 70 | Revalues: 14102 | GridSize: 139
Generation 71 | Revalues: 14250 | GridSize: 141
Generation 72 | Revalues: 14418 | GridSize: 150
Generation 73 | Revalues: 14596 | GridSize: 154
Generation 74 | Revalues: 14788 | GridSize: 150
Generation 75 | Revalues: 14978 | GridSize: 156
Generation 76 | Revalues: 15194 | GridSize: 157
Generation 77 | Revalues: 15398 | GridSize: 159
Generation 78 | Revalues: 15594 | GridSize: 147
Generation 79 | Revalues: 15808 | GridSize: 155
Generation 80 | Revalues: 16008 | GridSize: 167
Generation 81 | Revalues: 16210 | GridSize: 151
Generation 82 | Revalues: 16424 | GridSize: 166
Generation 83 | Revalues: 16626 | GridSize: 161
Generation 84 | Revalues: 16820 | GridSize: 168
Generation 85 | Revalues: 17044 | GridSize: 169
Generation 86 | Revalues: 17218 | GridSize: 168
Generation 87 | Revalues: 17432 | GridSize: 169
Generation 88 | Revalues: 17652 | GridSize: 165
Generation 89 | Revalues: 17864 | GridSize: 172
Generation 90 | Revalues: 18060 | GridSize: 179
Generation 91 | Revalues: 18256 | GridSize: 189
Generation 92 | Revalues: 18462 | GridSize: 198
Generation 93 | Revalues: 18662 | GridSize: 202
Generation 94 | Revalues: 18858 | GridSize: 203
Generation 95 | Revalues: 19054 | GridSize: 192
Generation 96 | Revalues: 19260 | GridSize: 197
Generation 97 | Revalues: 19454 | GridSize: 187
Generation 98 | Revalues: 19642 | GridSize: 188
Generation 99 | Revalues: 19834 | GridSize: 196
Generation 100 | Revalues: 20028 | GridSize: 205
Generation 101 | Revalues: 20228 | GridSize: 203
Generation 102 | Revalues: 20416 | GridSize: 203
Generation 103 | Revalues: 20628 | GridSize: 200
Generation 104 | Revalues: 20844 | GridSize: 199
Generation 105 | Revalues: 21036 | GridSize: 202
Generation 106 | Revalues: 21240 | GridSize: 206
Generation 107 | Revalues: 21454 | GridSize: 212
Generation 108 | Revalues: 21618 | GridSize: 215
Generation 109 | Revalues: 21836 | GridSize: 221
Generation 110 | Revalues: 22036 | GridSize: 218
Generation 111 | Revalues: 22224 | GridSize: 222
Generation 112 | Revalues: 22438 | GridSize: 224
Generation 113 | Revalues: 22650 | GridSize: 228
Generation 114 | Revalues: 22854 | GridSize: 237
Generation 115 | Revalues: 23046 | GridSize: 230
Generation 116 | Revalues: 23244 | GridSize: 237
Generation 117 | Revalues: 23470 | GridSize: 232
Generation 118 | Revalues: 23680 | GridSize: 228
Generation 119 | Revalues: 23896 | GridSize: 228
Generation 120 | Revalues: 24102 | GridSize: 231
Generation 121 | Revalues: 24302 | GridSize: 234
Generation 122 | Revalues: 24478 | GridSize: 241
Generation 123 | Revalues: 24680 | GridSize: 250
Generation 124 | Revalues: 24888 | GridSize: 245
Generation 125 | Revalues: 25074 | GridSize: 250
Generation 126 | Revalues: 25282 | GridSize: 248
Generation 127 | Revalues: 25472 | GridSize: 238
Generation 128 | Revalues: 25670 | GridSize: 232
Generation 129 | Revalues: 25872 | GridSize: 235
Generation 130 | Revalues: 26076 | GridSize: 248
Generation 131 | Revalues: 26278 | GridSize: 242
Generation 132 | Revalues: 26476 | GridSize: 243
Generation 133 | Revalues: 26674 | GridSize: 250
Generation 134 | Revalues: 26850 | GridSize: 253
Generation 135 | Revalues: 27056 | GridSize: 248
Generation 136 | Revalues: 27266 | GridSize: 250
Generation 137 | Revalues: 27464 | GridSize: 250
Generation 138 | Revalues: 27658 | GridSize: 253
Generation 139 | Revalues: 27848 | GridSize: 252
Generation 140 | Revalues: 28038 | GridSize: 252
Generation 141 | Revalues: 28234 | GridSize: 253
Generation 142 | Revalues: 28446 | GridSize: 259
Generation 143 | Revalues: 28652 | GridSize: 256
Generation 144 | Revalues: 28852 | GridSize: 258
Generation 145 | Revalues: 29048 | GridSize: 254
Generation 146 | Revalues: 29262 | GridSize: 256
Generation 147 | Revalues: 29470 | GridSize: 258
Generation 148 | Revalues: 29648 | GridSize: 257
Generation 149 | Revalues: 29832 | GridSize: 255
Generation 150 | Revalues: 30048 | GridSize: 259
Generation 151 | Revalues: 30246 | GridSize: 251
Generation 152 | Revalues: 30452 | GridSize: 248
Generation 153 | Revalues: 30636 | GridSize: 252
Generation 154 | Revalues: 30830 | GridSize: 256
Generation 155 | Revalues: 31026 | GridSize: 263
Generation 156 | Revalues: 31228 | GridSize: 268
