Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 312 | GridSize: 6
Generation 2 | Revalues: 534 | GridSize: 15
Generation 3 | Revalues: 706 | GridSize: 14
Generation 4 | Revalues: 914 | GridSize: 14
Generation 5 | Revalues: 1104 | GridSize: 9
Generation 6 | Revalues: 1300 | GridSize: 11
Generation 7 | Revalues: 1502 | GridSize: 14
Generation 8 | Revalues: 1702 | GridSize: 22
Generation 9 | Revalues: 1898 | GridSize: 22
Generation 10 | Revalues: 2086 | GridSize: 27
Generation 11 | Revalues: 2302 | GridSize: 27
Generation 12 | Revalues: 2488 | GridSize: 30
Generation 13 | Revalues: 2666 | GridSize: 33
Generation 14 | Revalues: 2866 | GridSize: 31
Generation 15 | Revalues: 3092 | GridSize: 28
Generation 16 | Revalues: 3284 | GridSize: 32
Generation 17 | Revalues: 3492 | GridSize: 36
Generation 18 | Revalues: 3714 | GridSize: 38
Generation 19 | Revalues: 3916 | GridSize: 45
Generation 20 | Revalues: 4112 | GridSize: 46
Generation 21 | Revalues: 4316 | GridSize: 45
Generation 22 | Revalues: 4530 | GridSize: 42
Generation 23 | Revalues: 4700 | GridSize: 42
Generation 24 | Revalues: 4912 | GridSize: 47
Generation 25 | Revalues: 5112 | GridSize: 49
Generation 26 | Revalues: 5308 | GridSize: 51
Generation 27 | Revalues: 5494 | GridSize: 52
Generation 28 | Revalues: 5700 | GridSize: 52
Generation 29 | Revalues: 5900 | GridSize: 47
Generation 30 | Revalues: 6078 | GridSize: 39
Generation 31 | Revalues: 6278 | GridSize: 42
Generation 32 | Revalues: 6472 | GridSize: 47
Generation 33 | Revalues: 6682 | GridSize: 48
Generation 34 | Revalues: 6898 | GridSize: 47
Generation 35 | Revalues: 7090 | GridSize: 51
Generation 36 | Revalues: 7296 | GridSize: 49
Generation 37 | Revalues: 7492 | GridSize: 49
Generation 38 | Revalues: 7704 | GridSize: 55
Generation 39 | Revalues: 7884 | GridSize: 59
Generation 40 | Revalues: 8096 | GridSize: 61
Generation 41 | Revalues: 8296 | GridSize: 64
Generation 42 | Revalues: 8506 | GridSize: 64
Generation 43 | Revalues: 8708 | GridSize: 63
Generation 44 | Revalues: 8926 | GridSize: 67
Generation 45 | Revalues: 9154 | GridSize: 68
Generation 46 | Revalues: 9352 | GridSize: 65
Generation 47 | Revalues: 9536 | GridSize: 69
Generation 48 | Revalues: 9728 | GridSize: 72
Generation 49 | Revalues: 9944 | GridSize: 75
Generation 50 | Revalues: 10146 | GridSize: 71
Generation 51 | Revalues: 10346 | GridSize: 72
Generation 52 | Revalues: 10536 | GridSize: 70
Generation 53 | Revalues: 10720 | GridSize: 77
Generation 54 | Revalues: 10942 | GridSize: 77
Generation 55 | Revalues: 11140 | GridSize: 77
Generation 56 | Revalues: 11356 | GridSize: 80
Generation 57 | Revalues: 11554 | GridSize: 76
Generation 58 | Revalues: 11782 | GridSize: 81
Generation 59 | Revalues: 11982 | GridSize: 83
Generation 60 | Revalues: 12172 | GridSize: 86
Generation 61 | Revalues: 12390 | GridSize: 82
Generation 62 | Revalues: 12600 | GridSize: 82
Generation 63 | Revalues: 12810 | GridSize: 81
Generation 64 | Revalues: 12996 | GridSize: 85
Generation 65 | Revalues: 13180 | GridSize: 79
Generation 66 | Revalues: 13378 | GridSize: 85
Generation 67 | Revalues: 13574 | GridSize: 84
Generation 68 | Revalues: 13762 | GridSize: 85
Generation 69 | Revalues: 13952 | GridSize: 86
Generation 70 | Revalues: 14140 | GridSize: 85
Generation 71 | Revalues: 14314 | GridSize: 93
Generation 72 | Revalues: 14522 | GridSize: 91
Generation 73 | Revalues: 14716 | GridSize: 88
Generation 74 | Revalues: 14894 | GridSize: 89
Generation 75 | Revalues: 15090 | GridSize: 91
Generation 76 | Revalues: 15268 | GridSize: 97
Generation 77 | Revalues: 15468 | GridSize: 101
Generation 78 | Revalues: 15694 | GridSize: 98
Generation 79 | Revalues: 15868 | GridSize: 100
Generation 80 | Revalues: 16064 | GridSize: 104
Generation 81 | Revalues: 16264 | GridSize: 101
Generation 82 | Revalues: 16454 | GridSize: 97
Generation 83 | Revalues: 16656 | GridSize: 97
Generation 84 | Revalues: 16838 | GridSize: 95
Generation 85 | Revalues: 17020 | GridSize: 99
Generation 86 | Revalues: 17212 | GridSize: 94
Generation 87 | Revalues: 17428 | GridSize: 97
Generation 88 | Revalues: 17632 | GridSize: 97
Generation 89 | Revalues: 17814 | GridSize: 98
Generation 90 | Revalues: 18012 | GridSize: 92
Generation 91 | Revalues: 18220 | GridSize: 93
Generation 92 | Revalues: 18404 | GridSize: 93
Generation 93 | Revalues: 18606 | GridSize: 95
Generation 94 | Revalues: 18816 | GridSize: 94
Generation 95 | Revalues: 19020 | GridSize: 94
Generation 96 | Revalues: 19234 | GridSize: 95
Generation 97 | Revalues: 19430 | GridSize: 100
Generation 98 | Revalues: 19638 | GridSize: 98
Generation 99 | Revalues: 19838 | GridSize: 99
Generation 100 | Revalues: 20036 | GridSize: 98
Generation 101 | Revalues: 20220 | GridSize: 96
Generation 102 | Revalues: 20426 | GridSize: 91
Generation 103 | Revalues: 20616 | GridSize: 90
Generation 104 | Revalues: 20810 | GridSize: 94
Generation 105 | Revalues: 21014 | GridSize: 94
Generation 106 | Revalues: 21234 | GridSize: 91
Generation 107 | Revalues: 21424 | GridSize: 92
Generation 108 | Revalues: 21606 | GridSize: 98
Generation 109 | Revalues: 21812 | GridSize: 101
Generation 110 | Revalues: 22020 | GridSize: 98
Generation 111 | Revalues: 22202 | GridSize: 99
Generation 112 | Revalues: 22388 | GridSize: 98
Generation 113 | Revalues: 22550 | GridSize: 102
Generation 114 | Revalues: 22750 | GridSize: 104
Generation 115 | Revalues: 22932 | GridSize: 97
Generation 116 | Revalues: 23144 | GridSize: 96
Generation 117 | Revalues: 23332 | GridSize: 95
Generation 118 | Revalues: 23506 | GridSize: 99
Generation 119 | Revalues: 23694 | GridSize: 104
Generation 120 | Revalues: 23902 | GridSize: 104
Generation 121 | Revalues: 24098 | GridSize: 101
Generation 122 | Revalues: 24298 | GridSize: 100
Generation 123 | Revalues: 24486 | GridSize: 103
Generation 124 | Revalues: 24692 | GridSize: 107
Generation 125 | Revalues: 24874 | GridSize: 106
Generation 126 | Revalues: 25066 | GridSize: 108
Generation 127 | Revalues: 25240 | GridSize: 104
Generation 128 | Revalues: 25420 | GridSize: 104
Generation 129 | Revalues: 25620 | GridSize: 106
Generation 130 | Revalues: 25812 | GridSize: 105
Generation 131 | Revalues: 26010 | GridSize: 108
Generation 132 | Revalues: 26182 | GridSize: 105
Generation 133 | Revalues: 26374 | GridSize: 106
