Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 322 | GridSize: 23
Generation 2 | Revalues: 524 | GridSize: 37
Generation 3 | Revalues: 728 | GridSize: 26
Generation 4 | Revalues: 884 | GridSize: 34
Generation 5 | Revalues: 1064 | GridSize: 18
Generation 6 | Revalues: 1252 | GridSize: 32
Generation 7 | Revalues: 1470 | GridSize: 36
Generation 8 | Revalues: 1684 | GridSize: 30
Generation 9 | Revalues: 1896 | GridSize: 40
Generation 10 | Revalues: 2092 | GridSize: 38
Generation 11 | Revalues: 2290 | GridSize: 30
Generation 12 | Revalues: 2468 | GridSize: 37
Generation 13 | Revalues: 2664 | GridSize: 53
Generation 14 | Revalues: 2856 | GridSize: 59
Generation 15 | Revalues: 3064 | GridSize: 60
Generation 16 | Revalues: 3270 | GridSize: 63
Generation 17 | Revalues: 3466 | GridSize: 56
Generation 18 | Revalues: 3676 | GridSize: 61
Generation 19 | Revalues: 3890 | GridSize: 50
Generation 20 | Revalues: 4100 | GridSize: 48
Generation 21 | Revalues: 4284 | GridSize: 56
Generation 22 | Revalues: 4494 | GridSize: 57
Generation 23 | Revalues: 4680 | GridSize: 63
Generation 24 | Revalues: 4860 | GridSize: 63
Generation 25 | Revalues: 5034 | GridSize: 74
Generation 26 | Revalues: 5210 | GridSize: 77
Generation 27 | Revalues: 5430 | GridSize: 72
Generation 28 | Revalues: 5646 | GridSize: 75
Generation 29 | Revalues: 5858 | GridSize: 70
Generation 30 | Revalues: 6062 | GridSize: 73
Generation 31 | Revalues: 6256 | GridSize: 80
Generation 32 | Revalues: 6428 | GridSize: 96
Generation 33 | Revalues: 6644 | GridSize: 86
Generation 34 | Revalues: 6838 | GridSize: 73
Generation 35 | Revalues: 7040 | GridSize: 77
Generation 36 | Revalues: 7258 | GridSize: 75
Generation 37 | Revalues: 7462 | GridSize: 88
Generation 38 | Revalues: 7654 | GridSize: 84
Generation 39 | Revalues: 7836 | GridSize: 94
Generation 40 | Revalues: 8026 | GridSize: 103
Generation 41 | Revalues: 8212 | GridSize: 109
Generation 42 | Revalues: 8392 | GridSize: 112
Generation 43 | Revalues: 8590 | GridSize: 107
Generation 44 | Revalues: 8776 | GridSize: 111
