Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 312 | GridSize: 7
Generation 2 | Revalues: 528 | GridSize: 10
Generation 3 | Revalues: 742 | GridSize: 16
Generation 4 | Revalues: 982 | GridSize: 6
Generation 5 | Revalues: 1196 | GridSize: 9
Generation 6 | Revalues: 1398 | GridSize: 8
Generation 7 | Revalues: 1646 | GridSize: 10
Generation 8 | Revalues: 1872 | GridSize: 18
Generation 9 | Revalues: 2102 | GridSize: 22
Generation 10 | Revalues: 2328 | GridSize: 24
Generation 11 | Revalues: 2534 | GridSize: 17
Generation 12 | Revalues: 2744 | GridSize: 15
Generation 13 | Revalues: 2968 | GridSize: 15
Generation 14 | Revalues: 3196 | GridSize: 8
Generation 15 | Revalues: 3384 | GridSize: 13
Generation 16 | Revalues: 3614 | GridSize: 21
Generation 17 | Revalues: 3840 | GridSize: 16
Generation 18 | Revalues: 4074 | GridSize: 25
Generation 19 | Revalues: 4300 | GridSize: 22
Generation 20 | Revalues: 4502 | GridSize: 20
Generation 21 | Revalues: 4722 | GridSize: 22
Generation 22 | Revalues: 4938 | GridSize: 13
Generation 23 | Revalues: 5154 | GridSize: 17
Generation 24 | Revalues: 5374 | GridSize: 27
Generation 25 | Revalues: 5580 | GridSize: 26
Generation 26 | Revalues: 5790 | GridSize: 23
Generation 27 | Revalues: 6016 | GridSize: 22
Generation 28 | Revalues: 6242 | GridSize: 24
Generation 29 | Revalues: 6474 | GridSize: 20
Generation 30 | Revalues: 6698 | GridSize: 21
Generation 31 | Revalues: 6922 | GridSize: 23
Generation 32 | Revalues: 7128 | GridSize: 28
Generation 33 | Revalues: 7366 | GridSize: 20
Generation 34 | Revalues: 7594 | GridSize: 23
Generation 35 | Revalues: 7810 | GridSize: 24
Generation 36 | Revalues: 8046 | GridSize: 27
Generation 37 | Revalues: 8262 | GridSize: 22
Generation 38 | Revalues: 8474 | GridSize: 18
Generation 39 | Revalues: 8706 | GridSize: 26
Generation 40 | Revalues: 8910 | GridSize: 20
Generation 41 | Revalues: 9106 | GridSize: 19
Generation 42 | Revalues: 9318 | GridSize: 17
Generation 43 | Revalues: 9530 | GridSize: 14
Generation 44 | Revalues: 9756 | GridSize: 20
Generation 45 | Revalues: 9958 | GridSize: 23
Generation 46 | Revalues: 10188 | GridSize: 22
Generation 47 | Revalues: 10412 | GridSize: 26
Generation 48 | Revalues: 10640 | GridSize: 28
Generation 49 | Revalues: 10844 | GridSize: 26
Generation 50 | Revalues: 11064 | GridSize: 32
Generation 51 | Revalues: 11278 | GridSize: 22
Generation 52 | Revalues: 11506 | GridSize: 24
Generation 53 | Revalues: 11716 | GridSize: 24
Generation 54 | Revalues: 11938 | GridSize: 25
Generation 55 | Revalues: 12148 | GridSize: 25
Generation 56 | Revalues: 12378 | GridSize: 26
Generation 57 | Revalues: 12584 | GridSize: 33
Generation 58 | Revalues: 12828 | GridSize: 23
Generation 59 | Revalues: 13036 | GridSize: 29
Generation 60 | Revalues: 13248 | GridSize: 42
Generation 61 | Revalues: 13480 | GridSize: 28
Generation 62 | Revalues: 13708 | GridSize: 26
Generation 63 | Revalues: 13932 | GridSize: 25
Generation 64 | Revalues: 14144 | GridSize: 30
Generation 65 | Revalues: 14354 | GridSize: 35
Generation 66 | Revalues: 14568 | GridSize: 32
Generation 67 | Revalues: 14782 | GridSize: 47
Generation 68 | Revalues: 14976 | GridSize: 52
Generation 69 | Revalues: 15204 | GridSize: 41
Generation 70 | Revalues: 15442 | GridSize: 39
Generation 71 | Revalues: 15668 | GridSize: 45
Generation 72 | Revalues: 15872 | GridSize: 39
Generation 73 | Revalues: 16106 | GridSize: 40
Generation 74 | Revalues: 16304 | GridSize: 33
Generation 75 | Revalues: 16540 | GridSize: 35
Generation 76 | Revalues: 16768 | GridSize: 39
Generation 77 | Revalues: 16976 | GridSize: 27
Generation 78 | Revalues: 17212 | GridSize: 40
Generation 79 | Revalues: 17436 | GridSize: 35
