Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 322 | GridSize: 11
Generation 2 | Revalues: 566 | GridSize: 7
Generation 3 | Revalues: 758 | GridSize: 7
Generation 4 | Revalues: 966 | GridSize: 11
Generation 5 | Revalues: 1178 | GridSize: 13
Generation 6 | Revalues: 1406 | GridSize: 10
Generation 7 | Revalues: 1646 | GridSize: 16
Generation 8 | Revalues: 1888 | GridSize: 12
Generation 9 | Revalues: 2130 | GridSize: 11
Generation 10 | Revalues: 2358 | GridSize: 12
Generation 11 | Revalues: 2588 | GridSize: 22
Generation 12 | Revalues: 2812 | GridSize: 26
Generation 13 | Revalues: 3056 | GridSize: 19
Generation 14 | Revalues: 3294 | GridSize: 19
Generation 15 | Revalues: 3502 | GridSize: 16
Generation 16 | Revalues: 3724 | GridSize: 13
Generation 17 | Revalues: 3942 | GridSize: 21
Generation 18 | Revalues: 4174 | GridSize: 14
Generation 19 | Revalues: 4400 | GridSize: 15
Generation 20 | Revalues: 4618 | GridSize: 22
Generation 21 | Revalues: 4840 | GridSize: 14
Generation 22 | Revalues: 5082 | GridSize: 23
Generation 23 | Revalues: 5304 | GridSize: 26
Generation 24 | Revalues: 5512 | GridSize: 26
Generation 25 | Revalues: 5718 | GridSize: 23
Generation 26 | Revalues: 5970 | GridSize: 26
Generation 27 | Revalues: 6206 | GridSize: 23
Generation 28 | Revalues: 6394 | GridSize: 26
Generation 29 | Revalues: 6618 | GridSize: 22
Generation 30 | Revalues: 6834 | GridSize: 24
Generation 31 | Revalues: 7036 | GridSize: 23
Generation 32 | Revalues: 7274 | GridSize: 36
Generation 33 | Revalues: 7482 | GridSize: 25
Generation 34 | Revalues: 7726 | GridSize: 29
Generation 35 | Revalues: 7940 | GridSize: 34
Generation 36 | Revalues: 8174 | GridSize: 33
Generation 37 | Revalues: 8384 | GridSize: 31
Generation 38 | Revalues: 8592 | GridSize: 33
Generation 39 | Revalues: 8818 | GridSize: 30
Generation 40 | Revalues: 9064 | GridSize: 27
